@relation Daily_average_cost_of_tKWhe_electry_energy_in_Spain_in_2003
@attribute hidraul real [27881.8, 206035.0]
@attribute nucleal real [114760.0, 187105.0]
@attribute carbon real [33537.0, 234833.0]
@attribute fuel real [0.0, 67986.5]
@attribute gas real [0.0, 84452.2]
@attribute regesp real [5307.0, 16357.0]
@attribute precio real [0.765853, 5.11875]
@data
93318.4, 163295, 204819, 17091.6, 56626.6, 11740, 3.05575
76963.5, 177090, 173704, 8027.85, 37416.5, 14315, 2.62054
65364.7, 169095, 206430, 21612.3, 65550, 10656, 3.46614
80264, 125600, 208545, 29729.5, 64423.7, 14382, 4.85385
134311, 163733, 201342, 36983.3, 53541.4, 10123, 3.90895
70312.3, 130864, 193201, 53914, 62919.5, 11988, 4.4184
104118, 176606, 119897, 6528.36, 6349.15, 12477, 1.85067
122083, 168587, 203287, 13701.2, 52674.7, 13938, 2.42807
113283, 140823, 192779, 5948.66, 31383.5, 11461, 3.75844
48739.9, 167125, 208599, 19174.7, 53758.8, 11261, 3.84271
175491, 168194, 156442, 18313.2, 21957.7, 10262, 1.54912
30619.1, 160290, 196883, 7369.53, 27411.6, 12457, 2.31852
47781.7, 167791, 218489, 26475.6, 51444.5, 13543, 4.1751
170242, 176367, 201165, 37503.1, 10862.8, 7700, 3.48928
105836, 148476, 131649, 4112.91, 4661.19, 9301, 2.17032
109162, 177075, 171452, 11558.6, 48428.3, 13620, 2.34377
47287.8, 163804, 211482, 30888, 60054.5, 13077, 3.6817
67530.6, 119345, 183565, 59874.3, 74423.2, 11213, 4.34402
124726, 183397, 126596, 6072.95, 9670.8, 14116, 2.54653
149087, 148350, 144864, 9066.5, 1781.42, 10208, 1.78434
63326.9, 152798, 196286, 9348.34, 30025.9, 14353, 3.3186
86897.3, 150575, 211594, 43073.2, 59991.9, 10564, 3.93299
82003.1, 143023, 153182, 5985.84, 2064.71, 10845, 2.27033
65899.8, 182958, 142836, 6005.65, 7294.94, 13110, 2.21485
44003.1, 171258, 198570, 13893, 38694.6, 11737, 4.08326
47263.1, 125408, 218817, 46716.1, 74618.8, 13956, 4.00831
44247.6, 164260, 182316, 9401.7, 42806.2, 11647, 2.25221
85104.8, 174706, 206714, 10804.5, 53137.2, 14231, 2.70608
63669, 167259, 227493, 51963.9, 63232, 12377, 4.98802
34111.4, 116452, 211378, 6378.88, 41674.1, 14065, 2.89857
79492, 169150, 190808, 52006.3, 70044.6, 11793, 4.92926
149569, 175344, 144693, 12887.6, 24285.2, 16357, 1.81222
42157.7, 141079, 202522, 15424, 60504.9, 12521, 4.02609
155313, 176860, 149264, 9994.27, 18958.3, 13128, 2.268
206035, 186774, 79129.5, 4342.43, 5715.18, 8159, 1.5835
172992, 187105, 152094, 17147.2, 16824.6, 7362, 3.03418
126120, 149154, 199565, 6495.41, 22143.8, 11638, 2.21261
170866, 180046, 156710, 16183.3, 17754, 7808, 1.1095
102000, 131861, 132941, 0, 6841.77, 11912, 2.03694
126910, 142827, 173434, 5434.28, 30677.9, 9356, 4.14838
83333.9, 165600, 206695, 47673.2, 61947.3, 12218, 4.60696
72621.5, 173577, 135842, 6204.55, 22526.3, 13720, 1.83238
37298.1, 162842, 197343, 13794.5, 35518.3, 12382, 3.10319
56976.5, 165652, 206558, 46501.8, 59991.7, 11132, 4.30393
59207, 169197, 206089, 37655, 64712.3, 11517, 4.81435
47754.1, 167997, 211844, 60663.6, 67510.9, 11230, 4.20809
71488.7, 118654, 209610, 51569.6, 81724.9, 14420, 4.41967
123984, 142033, 181550, 6127.47, 44832.2, 11237, 3.27322
37298.2, 126262, 192405, 0, 35531.5, 12075, 2.65464
180530, 161300, 162285, 8367.5, 27579.7, 8110, 1.81792
