@relation Daily_average_cost_of_tKWhe_electry_energy_in_Spain_in_2003
@attribute hidraul real [27881.8, 206035.0]
@attribute nucleal real [114760.0, 187105.0]
@attribute carbon real [33537.0, 234833.0]
@attribute fuel real [0.0, 67986.5]
@attribute gas real [0.0, 84452.2]
@attribute regesp real [5307.0, 16357.0]
@attribute precio real [0.765853, 5.11875]
@data
129342, 177287, 124973, 6030.14, 5889.54, 13023, 1.42735
176506, 162967, 128097, 6418.12, 18572.7, 8742, 1.84853
61643.8, 124868, 206819, 1028.61, 37401.5, 14409, 3.11875
165339, 152126, 89567.4, 6305, 12133.1, 9589, 0.960987
77292.6, 123921, 195372, 37311.5, 45609.6, 12652, 3.97595
41484.2, 167288, 221540, 26155.5, 71400.4, 12277, 3.60711
109162, 177075, 171452, 11558.6, 48428.3, 13620, 2.34377
179183, 175973, 78429.1, 4680.73, 8117.13, 8023, 1.7328
63882.8, 149256, 208243, 27790.8, 58954.1, 13856, 3.95571
100925, 153313, 175629, 6573.14, 41637.7, 10176, 2.53251
35461.6, 124984, 208905, 6384.44, 23139.1, 12959, 2.80529
79989.4, 171302, 198078, 51799.3, 72268.1, 10930, 4.03569
75205.1, 123541, 201792, 17931.5, 59511.6, 12030, 3.88321
159795, 168571, 193359, 17329.1, 55332.7, 14084, 2.82287
178383, 175790, 126510, 4953.62, 0, 9159, 1.63666
103216, 142308, 113931, 0, 980.974, 12018, 1.96036
70135.7, 125062, 215592, 36865.4, 70654, 14438, 4.13404
137741, 152334, 141613, 0, 21169, 11907, 2.1057
136204, 142446, 171006, 0, 17637.7, 11297, 2.4202
87092.9, 145612, 207016, 49603.7, 53124.3, 11070, 4.25188
54252.6, 167598, 221658, 53467.3, 72976.5, 11468, 4.29773
150122, 172673, 177446, 17518.2, 37597.9, 9551, 2.7289
132942, 152130, 165062, 1903.99, 18713.1, 10609, 2.59007
42131.6, 119151, 223502, 4451.5, 57740.4, 14366, 3.11447
158758, 172485, 195032, 12306.2, 37469.8, 9791, 2.47207
95590.8, 157468, 145455, 6255.32, 0, 11982, 1.88574
30513, 147022, 210044, 6919.61, 41282.8, 12475, 3.00515
101577, 168244, 115724, 4408.39, 2264.44, 15389, 1.79736
64015.4, 132247, 222417, 14169.1, 55401.4, 13567, 3.26226
110599, 138621, 183065, 5879.09, 26131.6, 8882, 2.22508
199096, 168691, 126091, 13155.7, 24428, 8525, 1.87965
59207, 169197, 206089, 37655, 64712.3, 11517, 4.81435
36954.6, 169151, 192350, 16542.2, 45076.8, 11276, 3.74995
154110, 171142, 190515, 17831.4, 36734.9, 10583, 2.33082
154571, 182180, 33537, 4963.88, 0, 5630, 0.765853
72621.5, 173577, 135842, 6204.55, 22526.3, 13720, 1.83238
123189, 153571, 108454, 0, 830.934, 11543, 1.8381
105054, 154754, 152361, 44.8934, 6057.11, 11805, 2.05321
120000, 146287, 194171, 6445.11, 26976.2, 11060, 2.5725
155727, 172762, 185218, 17813.6, 34197.5, 10542, 2.03545
104118, 176606, 119897, 6528.36, 6349.15, 12477, 1.85067
129482, 174271, 129081, 6352.87, 1957.91, 15925, 1.67147
158342, 138540, 168346, 5623.44, 27861.8, 9344, 2.17487
62028.9, 116130, 214557, 20450.1, 62717.9, 14275, 3.84052
151905, 140613, 170505, 5801.43, 27574.9, 9431, 3.00451
140921, 168626, 177857, 0, 18967.2, 10408, 1.96765
114440, 148506, 195347, 5873.44, 34522.3, 12240, 2.77649
155313, 176860, 149264, 9994.27, 18958.3, 13128, 2.268
71971.7, 121645, 192129, 17191.8, 32351.7, 11177, 3.38977
156215, 146078, 154821, 2669.52, 17667.6, 12246, 2.25699
175491, 168194, 156442, 18313.2, 21957.7, 10262, 1.54912
140675, 173080, 179470, 16057, 27923, 13167, 2.50409
151017, 178514, 187563, 24604.4, 19834.4, 7070, 2.13306
73390.9, 166138, 212488, 55017.9, 61546.4, 12365, 3.98641
