@relation Daily_average_cost_of_tKWhe_electry_energy_in_Spain_in_2003
@attribute hidraul real [27881.8, 206035.0]
@attribute nucleal real [114760.0, 187105.0]
@attribute carbon real [33537.0, 234833.0]
@attribute fuel real [0.0, 67986.5]
@attribute gas real [0.0, 84452.2]
@attribute regesp real [5307.0, 16357.0]
@attribute precio real [0.765853, 5.11875]
@data
121491, 181619, 144875, 11030.9, 24745.9, 14761, 1.99174
124726, 183397, 126596, 6072.95, 9670.8, 14116, 2.54653
154110, 171142, 190515, 17831.4, 36734.9, 10583, 2.33082
149702, 175063, 138467, 5525.03, 11007.9, 10714, 1.93015
150010, 144417, 119162, 5133.27, 9892.63, 9149, 2.13452
42457.3, 173163, 212528, 27041.8, 61670.4, 12555, 3.56624
120149, 164574, 117496, 5215.38, 6711.5, 14318, 1.87193
106148, 152550, 200310, 17163.3, 59514.9, 12382, 2.98392
172518, 161910, 165860, 8332.7, 25865, 9115, 1.78204
47539.5, 159098, 204316, 14439.7, 50024.6, 10443, 3.42371
79492, 169150, 190808, 52006.3, 70044.6, 11793, 4.92926
80881.7, 161988, 207252, 45438, 61181.6, 12516, 3.34136
112841, 174227, 190568, 21612.8, 41869, 9534, 3.39448
65067.3, 149612, 202815, 37766.1, 56342.6, 12263, 4.47261
34111.4, 116452, 211378, 6378.88, 41674.1, 14065, 2.89857
49483.9, 164612, 212220, 35623.1, 71319.3, 12257, 3.76466
100730, 139326, 173984, 5839.45, 7113.33, 10849, 2.40433
76996.7, 162111, 206832, 32894.4, 63103.8, 11351, 4.49787
74297, 183421, 151230, 8528.64, 6736.05, 12361, 2.2336
84919, 169511, 175126, 5989.34, 15004.8, 9495, 1.79773
63496.9, 166323, 206291, 56266, 55062.4, 11382, 5.06181
156303, 174563, 158795, 8579.52, 27278, 14887, 2.00228
120000, 146287, 194171, 6445.11, 26976.2, 11060, 2.5725
159149, 175571, 103228, 3741.2, 1147.85, 8546, 1.21431
166824, 175563, 193745, 18903, 37661.2, 15229, 2.47074
84501.5, 145513, 187673, 17517.4, 42649.8, 11923, 3.14143
149500, 139614, 171480, 5866.72, 41343.1, 9164, 3.03649
114560, 167277, 179313, 0, 10601.9, 11025, 2.2995
40681.6, 167113, 187190, 6645.15, 44738.1, 11102, 2.47629
53308.4, 130997, 197042, 5577.08, 46182.3, 12981, 2.10912
173086, 161469, 175422, 24027.3, 24311.6, 10603, 2.95668
151017, 178514, 187563, 24604.4, 19834.4, 7070, 2.13306
170717, 172028, 190312, 23401.5, 62375, 13227, 3.2984
114440, 148506, 195347, 5873.44, 34522.3, 12240, 2.77649
187029, 171382, 51913.4, 5342.54, 0, 8346, 0.955205
175491, 168194, 156442, 18313.2, 21957.7, 10262, 1.54912
180700, 165416, 151031, 14308.8, 18351.4, 7845, 1.84856
98100.5, 123089, 199536, 19647.5, 45339.3, 12532, 3.58072
164042, 170119, 193373, 21788.7, 57254.4, 13891, 2.97633
163063, 177445, 132722, 6257.35, 11992.7, 7475, 1.61606
108789, 148989, 173104, 9750.08, 24408.3, 12616, 2.64659
190729, 176396, 170338, 27696.3, 28071.3, 8986, 2.27647
137741, 152334, 141613, 0, 21169, 11907, 2.1057
46205.2, 153917, 199505, 4780.34, 28673.4, 10898, 2.9788
109797, 172697, 96596.3, 5803.86, 3245.38, 11801, 2.06576
206035, 186774, 79129.5, 4342.43, 5715.18, 8159, 1.5835
38125.9, 169420, 203519, 11665.7, 29710.9, 13620, 3.6237
64027.3, 149331, 201417, 37537.2, 74080.6, 11456, 2.82325
149569, 175344, 144693, 12887.6, 24285.2, 16357, 1.81222
60805.1, 166566, 224252, 42200.3, 63524.2, 10889, 4.02768
76963.5, 177090, 173704, 8027.85, 37416.5, 14315, 2.62054
154571, 182180, 33537, 4963.88, 0, 5630, 0.765853
102236, 143928, 179307, 6519.57, 31083.9, 11614, 2.4381
96320.6, 164871, 191439, 60577.6, 65040.5, 11222, 3.78707
116123, 150104, 168863, 4583.57, 19575.1, 10758, 2.5444
85104.8, 174706, 206714, 10804.5, 53137.2, 14231, 2.70608
116144, 142120, 173316, 15297, 35214.5, 12343, 3.25564
66095.1, 121080, 195422, 23690.4, 69462, 10814, 4.0713
66328.2, 122245, 220162, 38774.4, 84452.2, 13849, 4.31132
34334.3, 166607, 196699, 10072, 20790.5, 11856, 2.74576
107450, 145090, 169750, 6969.19, 31542.5, 10986, 2.23359
122083, 168587, 203287, 13701.2, 52674.7, 13938, 2.42807
127643, 172389, 221011, 33218.1, 52620.7, 9850, 4.02099
196005, 174005, 163366, 18572, 35587.1, 8751, 2.17647
87045.1, 148676, 114246, 0, 8085.92, 11620, 1.83525
72563.7, 167922, 194537, 37806.2, 60504.1, 12227, 3.59718
47668.4, 173686, 212013, 18690.8, 65984.4, 12307, 3.97146
126836, 169283, 203663, 11297.8, 56377, 11922, 2.93009
142078, 156647, 155779, 4307.56, 19619.9, 12097, 2.23691
158115, 175634, 181930, 16199.3, 19897.6, 7652, 1.90918
191098, 169601, 171592, 24518.3, 33458.4, 8875, 2.21565
59599.9, 163995, 220774, 46064.4, 70375.6, 13094, 4.18805
173467, 169555, 185398, 15964.6, 42709.1, 13868, 2.83895
185484, 170355, 140182, 12438.9, 21384.5, 9251, 2.32848
110599, 138621, 183065, 5879.09, 26131.6, 8882, 2.22508
79880, 172226, 194140, 16284.2, 44195, 13158, 2.66678
99429.8, 125937, 204207, 50159.4, 53067.9, 11064, 4.33837
105428, 152943, 181860, 6325.76, 34569.5, 9982, 2.49441
179183, 175973, 78429.1, 4680.73, 8117.13, 8023, 1.7328
75205.1, 123541, 201792, 17931.5, 59511.6, 12030, 3.88321
173246, 178497, 170487, 16439.5, 18514, 6532, 1.97025
177566, 168075, 179508, 19331.8, 33001.3, 9780, 2.48464
172992, 187105, 152094, 17147.2, 16824.6, 7362, 3.03418
140675, 173080, 179470, 16057, 27923, 13167, 2.50409
53754.5, 136149, 194044, 16630.5, 49205.4, 11380, 3.73669
38681.7, 146761, 186825, 13147.3, 63203.1, 14070, 3.16433
63882.8, 149256, 208243, 27790.8, 58954.1, 13856, 3.95571
165339, 152126, 89567.4, 6305, 12133.1, 9589, 0.960987
100934, 167726, 201212, 11546.2, 53495.1, 13882, 3.12349
139750, 149921, 143836, 1569.08, 10118.8, 11066, 2.13202
160804, 171392, 193737, 20046.4, 38465.8, 15547, 1.6984
44447.3, 173617, 215120, 28877.2, 65568.3, 12374, 3.8337
64015.4, 132247, 222417, 14169.1, 55401.4, 13567, 3.26226
60484.4, 125255, 185242, 34147.8, 62966.5, 11342, 3.56192
59340.5, 161366, 197941, 37713.3, 55034.2, 11503, 4.00095
73279, 176666, 204627, 19916.5, 54127.8, 12861, 2.96751
113627, 141405, 198537, 5966.32, 41732.7, 10970, 3.25505
181480, 164466, 157650, 13904.4, 22813.6, 8713, 1.83484
169322, 178653, 185004, 16895.3, 53582.5, 12893, 2.46265
113283, 140823, 192779, 5948.66, 31383.5, 11461, 3.75844
62703.8, 166242, 218338, 64833.4, 67793.4, 11876, 4.74766
170242, 176367, 201165, 37503.1, 10862.8, 7700, 3.48928
144906, 180711, 136896, 1453.89, 0, 7449, 1.3288
134311, 163733, 201342, 36983.3, 53541.4, 10123, 3.90895
41279.8, 148730, 203791, 8413.76, 43748.8, 13337, 2.89231
66786.8, 165010, 212832, 59086.8, 66547.7, 12337, 4.51785
52683.4, 119118, 199181, 6376.4, 47915.2, 10466, 3.51308
