@relation Daily_average_cost_of_tKWhe_electry_energy_in_Spain_in_2003
@attribute hidraul real [27881.8, 206035.0]
@attribute nucleal real [114760.0, 187105.0]
@attribute carbon real [33537.0, 234833.0]
@attribute fuel real [0.0, 67986.5]
@attribute gas real [0.0, 84452.2]
@attribute regesp real [5307.0, 16357.0]
@attribute precio real [0.765853, 5.11875]
@data
53114.4, 143601, 219273, 24965.3, 79383.7, 11902, 4.00929
77552.2, 155563, 212405, 37301.3, 45520, 10711, 3.68031
84919, 169511, 175126, 5989.34, 15004.8, 9495, 1.79773
93318.4, 163295, 204819, 17091.6, 56626.6, 11740, 3.05575
48814.5, 149600, 234833, 19233.6, 73929.8, 11834, 4.19821
172518, 161910, 165860, 8332.7, 25865, 9115, 1.78204
47539.5, 159098, 204316, 14439.7, 50024.6, 10443, 3.42371
44447.3, 173617, 215120, 28877.2, 65568.3, 12374, 3.8337
92355.1, 118043, 191787, 65886.9, 66510.9, 11166, 4.81924
117456, 149908, 203245, 9612.5, 22077.2, 10494, 2.50617
177566, 168075, 179508, 19331.8, 33001.3, 9780, 2.48464
145519, 175426, 177686, 1568.88, 11043.8, 7347, 1.76612
57257.5, 118513, 217288, 50405, 78925.1, 14105, 4.15444
67522.6, 165662, 209094, 53089.4, 68190.7, 11092, 4.33662
102000, 131861, 132941, 0, 6841.77, 11912, 2.03694
112108, 153029, 140531, 0, 6504.34, 10517, 2.18537
132774, 170147, 196610, 19177.4, 44171.3, 12751, 2.11697
162730, 146965, 165217, 12339.5, 13109.5, 10149, 2.28642
39727.6, 158745, 172958, 7902.3, 41210, 10362, 3.08476
66786.8, 165010, 212832, 59086.8, 66547.7, 12337, 4.51785
165608, 173858, 199218, 22549.1, 56126.5, 12971, 2.90098
113277, 143640, 187440, 13215.2, 35775.6, 12595, 3.23269
61937.9, 168412, 203308, 67986.5, 68160.7, 11391, 4.79927
60484.4, 125255, 185242, 34147.8, 62966.5, 11342, 3.56192
60221.8, 141099, 221512, 20197.2, 73884.1, 14264, 3.96876
55566.1, 167637, 223361, 62411.2, 66958.9, 13280, 4.68581
63067.4, 168602, 220343, 45839.3, 59585, 12808, 4.63285
132942, 152130, 165062, 1903.99, 18713.1, 10609, 2.59007
96320.6, 164871, 191439, 60577.6, 65040.5, 11222, 3.78707
191098, 169601, 171592, 24518.3, 33458.4, 8875, 2.21565
119129, 178550, 219030, 19326.6, 50630, 10413, 3.32405
115336, 151694, 177387, 6021.38, 5369.65, 11986, 2.24068
78322.4, 115606, 207893, 41228.1, 65587.2, 14516, 4.04956
158499, 174473, 113437, 6469.85, 1628.43, 13918, 1.87801
170380, 173539, 171161, 16252.8, 24674.2, 10888, 2.20589
124726, 183397, 126596, 6072.95, 9670.8, 14116, 2.54653
93085.1, 141693, 193262, 24672.8, 35058.6, 12814, 3.86681
