@relation Daily_average_cost_of_tKWhe_electry_energy_in_Spain_in_2003
@attribute hidraul real [27881.8, 206035.0]
@attribute nucleal real [114760.0, 187105.0]
@attribute carbon real [33537.0, 234833.0]
@attribute fuel real [0.0, 67986.5]
@attribute gas real [0.0, 84452.2]
@attribute regesp real [5307.0, 16357.0]
@attribute precio real [0.765853, 5.11875]
@data
60897.9, 157374, 136216, 1760, 10020.2, 12176, 1.94924
113283, 140823, 192779, 5948.66, 31383.5, 11461, 3.75844
121491, 181619, 144875, 11030.9, 24745.9, 14761, 1.99174
134625, 171156, 182985, 15525.9, 43333.7, 13018, 2.54192
60805.1, 166566, 224252, 42200.3, 63524.2, 10889, 4.02768
177753, 168362, 215844, 45232.2, 10296.6, 8079, 4.08083
96675.4, 141761, 162634, 7325.52, 18889.8, 11249, 2.01601
63326.9, 152798, 196286, 9348.34, 30025.9, 14353, 3.3186
164649, 166545, 154624, 9638.12, 13303.7, 10234, 2.17373
151905, 140613, 170505, 5801.43, 27574.9, 9431, 3.00451
149569, 175344, 144693, 12887.6, 24285.2, 16357, 1.81222
88635.5, 120492, 194975, 67061.8, 68409.5, 11113, 4.34364
30619.1, 160290, 196883, 7369.53, 27411.6, 12457, 2.31852
87092.9, 145612, 207016, 49603.7, 53124.3, 11070, 4.25188
126836, 169283, 203663, 11297.8, 56377, 11922, 2.93009
146445, 149376, 99627.2, 0, 11283, 10672, 2.11948
71971.7, 121645, 192129, 17191.8, 32351.7, 11177, 3.38977
30513, 147022, 210044, 6919.61, 41282.8, 12475, 3.00515
47287.8, 163804, 211482, 30888, 60054.5, 13077, 3.6817
59928.9, 169654, 208665, 46421.9, 61896.7, 11805, 4.52502
57859.6, 163891, 206241, 42565, 57384, 12161, 4.61312
100925, 153313, 175629, 6573.14, 41637.7, 10176, 2.53251
38681.7, 146761, 186825, 13147.3, 63203.1, 14070, 3.16433
84501.5, 145513, 187673, 17517.4, 42649.8, 11923, 3.14143
172546, 150002, 179549, 28671.3, 28052.5, 9787, 3.28301
173467, 169555, 185398, 15964.6, 42709.1, 13868, 2.83895
115415, 157140, 184303, 0, 15070.6, 11725, 2.39342
142590, 152259, 175601, 2018.07, 13172.5, 11793, 2.22464
172963, 139915, 167767, 6955.2, 21323.7, 8678, 2.26839
76963.5, 177090, 173704, 8027.85, 37416.5, 14315, 2.62054
170242, 176367, 201165, 37503.1, 10862.8, 7700, 3.48928
175066, 172162, 173109, 21701.9, 29528.9, 9046, 2.78725
104688, 146940, 189343, 6315.17, 43412.2, 11448, 3.13517
136204, 142446, 171006, 0, 17637.7, 11297, 2.4202
114195, 152607, 169814, 5713.87, 4864.28, 11473, 2.04242
158758, 172485, 195032, 12306.2, 37469.8, 9791, 2.47207
156817, 174604, 188411, 24222.8, 20350.5, 5307, 2.1768
159795, 168571, 193359, 17329.1, 55332.7, 14084, 2.82287
