%The problem concerns Relative CPU Performance Data. More information can be obtained in the UCI Machine
% Learning repository (http://www.ics.uci.edu/~mlearn/MLSummary.html).
% The used attributes are :
% MYCT: machine cycle time in nanoseconds (integer)
% MMIN: minimum main memory in kilobytes (integer)
% MMAX: maximum main memory in kilobytes (integer)
% CACH: cache memory in kilobytes (integer)
% CHMIN: minimum channels in units (integer)
% CHMAX: maximum channels in units (integer)
% PRP: published relative performance (integer) (target variable)
% 
% Original source: UCI machine learning repository. 
% Source: collection of regression datasets by Luis Torgo (ltorgo@ncc.up.pt) at
% http://www.ncc.up.pt/~ltorgo/Regression/DataSets.html
% Characteristics: 209 cases; 6 continuous variables 

@relation machine_cpu
@attribute MYCT real
@attribute MMIN real
@attribute MMAX real
@attribute CACH real
@attribute CHMIN real
@attribute CHMAX real
@attribute class real
@data
50,2620,10480,30,12,24,63
56,2000,6000,0,1,8,21
50,2000,32000,24,6,26,114
810,512,512,8,1,1,18
185,2000,16000,16,1,6,76
105,2000,8000,16,4,14,58
1500,768,2000,0,0,0,18
30,8000,64000,96,12,176,915
17,4000,16000,8,6,12,100
98,1000,8000,32,2,8,46
26,16000,32000,64,8,24,465
400,2000,4000,0,1,1,32
810,1000,5000,0,1,1,20
38,8000,16000,64,4,8,100
250,512,4000,0,1,7,25
56,2000,8000,0,1,8,24
320,256,6000,0,1,6,33
350,64,64,0,1,4,10
92,2000,8000,4,1,6,50
40,8000,32000,64,8,24,277
92,2000,8000,32,1,6,62
75,4000,16000,16,1,6,66
320,256,3000,4,1,3,27
26,16000,32000,64,16,24,465
72,4000,16000,64,8,16,143
225,2000,4000,8,3,6,34
25,2000,12000,8,1,4,49
23,16000,32000,64,16,32,489
38,4000,8000,32,16,32,116
75,2000,8000,64,1,38,144
150,512,4000,0,8,128,30
25,2000,12000,16,3,5,66
50,2000,8000,8,1,5,71
50,2000,16000,8,3,6,52
300,768,3000,0,6,24,36
59,8000,16000,64,12,24,188
240,512,2000,8,1,5,11
35,8000,32000,64,8,24,370
26,8000,32000,128,24,32,405
225,1000,4000,2,3,6,24
38,4000,8000,32,16,32,51
60,2000,16000,64,5,8,74
29,8000,32000,32,8,32,172
225,2000,4000,8,3,6,40
800,768,2000,0,0,0,20
200,512,16000,0,4,32,35
200,1000,2000,0,1,2,25
143,1000,2000,0,5,16,31
110,1000,4000,16,1,2,26
320,256,5000,4,1,6,27
320,512,8000,4,1,5,40
200,512,8000,8,1,8,62
50,2000,16000,24,1,6,80
26,8000,16000,0,8,16,185
180,2000,8000,8,1,6,50
320,512,2000,4,1,3,69
57,4000,16000,1,6,12,132
30,16000,32000,256,16,24,510
23,32000,64000,128,32,64,1144
17,4000,16000,32,6,12,133
180,262,4000,0,1,3,12
700,256,2000,0,1,1,24
100,1000,8000,0,2,6,16
50,4000,32000,112,52,104,397
110,3100,6200,0,6,64,76
140,1000,16000,16,1,3,138
800,256,8000,0,1,4,16
23,16000,64000,64,16,32,636
100,1000,8000,24,3,6,32
900,1000,4000,8,1,2,22
160,2000,8000,32,1,13,109
72,2000,8000,16,6,8,105
300,1000,4000,8,3,64,38
70,4000,12000,8,6,8,75
56,1000,4000,0,1,6,17
38,16000,32000,128,16,32,510
143,2300,6200,0,6,64,61
480,512,8000,32,0,0,67
1500,768,1000,0,0,0,12
300,1000,16000,8,2,112,38
56,4000,12000,0,1,8,42
200,2000,8000,64,1,5,41
60,4000,16000,32,1,6,86
900,1000,1000,0,1,2,11
320,512,5000,4,1,5,77
26,8000,32000,64,8,32,318
30,8000,64000,128,12,176,1150
75,2000,16000,128,1,38,259
50,2000,16000,12,3,16,45
115,2000,4000,2,1,5,40
50,1000,4000,8,1,5,29
25,1310,2620,131,12,24,274
84,1000,2000,0,1,6,12
400,4000,8000,0,1,1,32
26,8000,24000,32,8,16,173
900,1000,4000,4,1,2,18
124,1000,8000,0,1,8,42
100,1000,8000,24,2,6,26
800,256,8000,0,1,4,14
50,2000,32000,112,52,104,307
180,512,4000,0,1,3,14
50,500,2000,8,1,4,20
50,1000,4000,8,3,5,26
700,384,8000,0,1,1,24
140,2000,32000,32,1,20,134
