%The problem concerns Relative CPU Performance Data. More information can be obtained in the UCI Machine
% Learning repository (http://www.ics.uci.edu/~mlearn/MLSummary.html).
% The used attributes are :
% MYCT: machine cycle time in nanoseconds (integer)
% MMIN: minimum main memory in kilobytes (integer)
% MMAX: maximum main memory in kilobytes (integer)
% CACH: cache memory in kilobytes (integer)
% CHMIN: minimum channels in units (integer)
% CHMAX: maximum channels in units (integer)
% PRP: published relative performance (integer) (target variable)
% 
% Original source: UCI machine learning repository. 
% Source: collection of regression datasets by Luis Torgo (ltorgo@ncc.up.pt) at
% http://www.ncc.up.pt/~ltorgo/Regression/DataSets.html
% Characteristics: 209 cases; 6 continuous variables 

@relation machine_cpu
@attribute MYCT real
@attribute MMIN real
@attribute MMAX real
@attribute CACH real
@attribute CHMIN real
@attribute CHMAX real
@attribute class real
@data
220,1000,8000,16,1,2,71
160,1000,8000,16,1,14,60
59,4000,12000,32,6,12,113
180,512,4000,0,1,3,21
50,2000,16000,8,3,5,40
75,2000,8000,8,3,24,62
125,2000,8000,0,2,14,52
29,8000,16000,32,8,16,132
180,2000,16000,16,1,6,66
1100,512,1500,0,1,1,7
240,512,1000,8,1,3,6
50,2000,16000,24,1,6,70
800,256,8000,0,1,4,12
125,256,6000,256,16,128,198
143,512,5000,0,7,32,28
800,256,8000,0,1,4,22
480,1000,4000,0,0,0,45
160,512,4000,2,1,5,30
250,512,4000,0,4,7,50
50,2000,8000,8,1,6,56
800,256,8000,0,1,4,20
300,384,12000,6,1,24,53
140,2000,4000,8,1,20,35
116,2000,8000,32,5,28,70
400,512,3500,4,1,6,40
105,2000,4000,8,3,19,32
57,4000,24000,64,12,16,237
110,1000,12000,16,1,2,60
23,16000,32000,64,16,32,367
900,2000,4000,0,3,6,37
115,512,6000,16,1,6,45
105,256,2000,0,3,10,26
140,2000,4000,0,4,8,40
40,8000,16000,32,8,16,214
112,1000,1000,0,1,4,8
50,2000,16000,24,6,16,65
203,1000,2000,0,1,5,24
140,2000,32000,32,1,54,141
110,5000,5000,142,8,64,120
330,1000,3000,0,2,4,16
143,1500,6300,0,5,32,30
48,4000,24000,32,8,24,214
105,2000,4000,8,3,8,22
26,8000,32000,0,8,24,277
26,8000,32000,64,12,16,248
50,4000,16000,64,5,10,111
50,2000,16000,24,6,16,54
50,2000,8000,8,3,6,45
56,4000,8000,0,1,8,34
180,262,4000,0,1,3,18
115,2000,8000,16,1,3,50
200,1000,8000,0,1,2,36
140,2000,4000,0,3,6,29
56,5240,20970,30,12,24,106
133,1000,12000,9,3,12,72
140,2000,32000,32,1,54,189
38,8000,24000,160,4,8,140
29,8000,32000,32,8,32,220
300,768,12000,6,6,24,50
50,2000,32000,48,26,52,208
105,1000,4000,0,3,24,32
900,512,1000,0,1,2,11
90,256,1000,0,3,10,17
29,8000,32000,32,8,32,269
60,2000,8000,65,1,8,92
330,1000,2000,0,1,2,16
50,4000,16000,65,1,8,138
133,1000,8000,9,3,12,72
52,4000,16000,32,4,12,130
300,192,768,6,6,24,36
160,512,2000,2,3,8,32
160,1000,4000,8,1,14,38
50,2620,10480,30,12,24,32
200,1000,4000,0,1,4,30
250,1000,16000,1,1,8,50
143,3100,6200,0,5,20,33
75,3000,8000,8,3,48,64
140,2000,4000,8,1,20,22
38,8000,32000,64,8,24,326
400,1000,3000,0,1,2,38
320,128,6000,0,1,12,23
105,2000,6000,16,6,16,33
50,2000,4000,0,3,6,27
50,2000,16000,8,3,6,60
140,2000,8000,32,1,54,66
180,768,12000,6,1,31,84
50,8000,16000,48,1,10,136
25,1310,2620,131,12,24,368
480,96,512,0,1,1,6
92,2000,8000,32,1,6,60
600,768,2000,0,1,1,16
1100,768,2000,0,1,1,13
56,4000,16000,0,1,8,46
38,4000,16000,128,16,32,212
125,512,1000,0,8,20,36
167,524,2000,8,4,15,19
300,768,4500,0,1,24,45
50,1000,8000,8,3,5,36
175,256,2000,0,3,24,22
60,4000,16000,64,5,8,93
300,768,3000,6,6,24,44
75,2000,16000,64,1,38,144
64,5240,20970,30,12,24,208
330,1000,4000,0,3,6,22
