%The problem concerns Relative CPU Performance Data. More information can be obtained in the UCI Machine
% Learning repository (http://www.ics.uci.edu/~mlearn/MLSummary.html).
% The used attributes are :
% MYCT: machine cycle time in nanoseconds (integer)
% MMIN: minimum main memory in kilobytes (integer)
% MMAX: maximum main memory in kilobytes (integer)
% CACH: cache memory in kilobytes (integer)
% CHMIN: minimum channels in units (integer)
% CHMAX: maximum channels in units (integer)
% PRP: published relative performance (integer) (target variable)
% 
% Original source: UCI machine learning repository. 
% Source: collection of regression datasets by Luis Torgo (ltorgo@ncc.up.pt) at
% http://www.ncc.up.pt/~ltorgo/Regression/DataSets.html
% Characteristics: 209 cases; 6 continuous variables 

@relation machine_cpu
@attribute MYCT real
@attribute MMIN real
@attribute MMAX real
@attribute CACH real
@attribute CHMIN real
@attribute CHMAX real
@attribute class real
@data
185,2000,16000,16,1,6,76
160,512,2000,2,3,8,32
100,1000,8000,24,3,6,32
1100,768,2000,0,1,1,13
56,2000,8000,0,1,8,24
57,4000,16000,1,6,12,132
320,256,5000,4,1,6,27
140,1000,16000,16,1,3,138
72,4000,16000,64,8,16,143
59,8000,16000,64,12,24,188
29,8000,32000,32,8,32,220
50,2620,10480,30,12,24,63
350,64,64,0,1,4,10
1500,768,1000,0,0,0,12
200,1000,8000,0,1,2,36
400,512,3500,4,1,6,40
800,256,8000,0,1,4,14
60,2000,8000,65,1,8,92
92,2000,8000,32,1,6,62
140,2000,4000,8,1,20,35
167,524,2000,8,4,15,19
60,2000,16000,64,5,8,74
38,4000,8000,32,16,32,51
800,256,8000,0,1,4,12
600,768,2000,0,1,1,16
225,1000,4000,2,3,6,24
29,8000,32000,32,8,32,269
250,1000,16000,1,1,8,50
180,768,12000,6,1,31,84
220,1000,8000,16,1,2,71
98,1000,8000,32,2,8,46
125,256,6000,256,16,128,198
50,2000,16000,24,1,6,70
17,4000,16000,8,6,12,100
140,2000,4000,8,1,20,22
25,1310,2620,131,12,24,368
110,1000,4000,16,1,2,26
320,256,6000,0,1,6,33
26,8000,32000,128,24,32,405
900,512,1000,0,1,2,11
140,2000,32000,32,1,20,134
900,1000,1000,0,1,2,11
26,16000,32000,64,8,24,465
143,1000,2000,0,5,16,31
75,4000,16000,16,1,6,66
26,8000,32000,0,8,24,277
175,256,2000,0,3,24,22
810,1000,5000,0,1,1,20
300,192,768,6,6,24,36
115,512,6000,16,1,6,45
300,768,3000,6,6,24,44
50,2000,16000,24,1,6,80
300,1000,16000,8,2,112,38
105,2000,4000,8,3,19,32
112,1000,1000,0,1,4,8
143,1500,6300,0,5,32,30
75,3000,8000,8,3,48,64
30,8000,64000,96,12,176,915
143,3100,6200,0,5,20,33
105,2000,8000,16,4,14,58
60,4000,16000,32,1,6,86
203,1000,2000,0,1,5,24
160,512,4000,2,1,5,30
330,1000,4000,0,3,6,22
900,1000,4000,8,1,2,22
900,2000,4000,0,3,6,37
330,1000,2000,0,1,2,16
23,16000,32000,64,16,32,489
105,1000,4000,0,3,24,32
52,4000,16000,32,4,12,130
400,2000,4000,0,1,1,32
50,2000,32000,112,52,104,307
225,2000,4000,8,3,6,40
38,4000,16000,128,16,32,212
50,2000,4000,0,3,6,27
38,16000,32000,128,16,32,510
38,8000,24000,160,4,8,140
59,4000,12000,32,6,12,113
320,512,5000,4,1,5,77
26,8000,32000,64,8,32,318
72,2000,8000,16,6,8,105
180,262,4000,0,1,3,18
110,5000,5000,142,8,64,120
160,1000,8000,16,1,14,60
480,96,512,0,1,1,6
250,512,4000,0,1,7,25
110,1000,12000,16,1,2,60
240,512,1000,8,1,3,6
300,384,12000,6,1,24,53
300,768,12000,6,6,24,50
700,256,2000,0,1,1,24
30,16000,32000,256,16,24,510
140,2000,32000,32,1,54,141
25,2000,12000,8,1,4,49
60,4000,16000,64,5,8,93
50,1000,4000,8,1,5,29
400,4000,8000,0,1,1,32
200,512,8000,8,1,8,62
180,512,4000,0,1,3,21
48,4000,24000,32,8,24,214
50,2000,16000,8,3,6,52
40,8000,16000,32,8,16,214
800,256,8000,0,1,4,22
140,2000,4000,0,4,8,40
