%The problem concerns Relative CPU Performance Data. More information can be obtained in the UCI Machine
% Learning repository (http://www.ics.uci.edu/~mlearn/MLSummary.html).
% The used attributes are :
% MYCT: machine cycle time in nanoseconds (integer)
% MMIN: minimum main memory in kilobytes (integer)
% MMAX: maximum main memory in kilobytes (integer)
% CACH: cache memory in kilobytes (integer)
% CHMIN: minimum channels in units (integer)
% CHMAX: maximum channels in units (integer)
% PRP: published relative performance (integer) (target variable)
% 
% Original source: UCI machine learning repository. 
% Source: collection of regression datasets by Luis Torgo (ltorgo@ncc.up.pt) at
% http://www.ncc.up.pt/~ltorgo/Regression/DataSets.html
% Characteristics: 209 cases; 6 continuous variables 

@relation machine_cpu
@attribute MYCT real
@attribute MMIN real
@attribute MMAX real
@attribute CACH real
@attribute CHMIN real
@attribute CHMAX real
@attribute class real
@data
17,4000,16000,8,6,12,100
56,1000,4000,0,1,6,17
50,500,2000,8,1,4,20
105,256,2000,0,3,10,26
185,2000,16000,16,1,6,76
320,128,6000,0,1,12,23
800,256,8000,0,1,4,14
50,2000,4000,0,3,6,27
60,4000,16000,64,5,8,93
84,1000,2000,0,1,6,12
900,1000,4000,4,1,2,18
110,1000,4000,16,1,2,26
56,4000,8000,0,1,8,34
400,1000,3000,0,1,2,38
167,524,2000,8,4,15,19
48,4000,24000,32,8,24,214
23,16000,64000,64,16,32,636
180,2000,8000,8,1,6,50
800,256,8000,0,1,4,12
1100,512,1500,0,1,1,7
110,3100,6200,0,6,64,76
160,512,2000,2,3,8,32
320,256,3000,4,1,3,27
100,1000,8000,0,2,6,16
59,8000,16000,64,12,24,188
203,1000,2000,0,1,5,24
23,16000,32000,64,16,32,489
50,4000,16000,64,5,10,111
220,1000,8000,16,1,2,71
75,2000,16000,64,1,38,144
59,4000,12000,32,6,12,113
38,4000,8000,32,16,32,116
100,1000,8000,24,2,6,26
50,2000,16000,24,6,16,65
400,512,3500,4,1,6,40
56,4000,12000,0,1,8,42
105,2000,4000,8,3,8,22
115,512,6000,16,1,6,45
240,512,1000,8,1,3,6
90,256,1000,0,3,10,17
140,2000,4000,8,1,20,22
225,2000,4000,8,3,6,40
140,2000,32000,32,1,20,134
330,1000,3000,0,2,4,16
60,4000,16000,32,1,6,86
480,96,512,0,1,1,6
26,8000,32000,64,8,32,318
56,5240,20970,30,12,24,106
140,2000,4000,0,4,8,40
180,512,4000,0,1,3,14
480,1000,4000,0,0,0,45
50,2000,16000,8,3,5,40
26,16000,32000,64,8,24,465
300,768,3000,6,6,24,44
50,2000,32000,112,52,104,307
105,2000,4000,8,3,19,32
50,4000,32000,112,52,104,397
900,1000,1000,0,1,2,11
57,4000,16000,1,6,12,132
140,1000,16000,16,1,3,138
143,2300,6200,0,6,64,61
200,1000,4000,0,1,4,30
300,768,12000,6,6,24,50
1500,768,1000,0,0,0,12
50,2620,10480,30,12,24,32
38,4000,16000,128,16,32,212
75,2000,16000,128,1,38,259
250,1000,16000,1,1,8,50
480,512,8000,32,0,0,67
320,512,5000,4,1,5,77
50,2000,32000,48,26,52,208
50,2000,32000,24,6,26,114
29,8000,32000,32,8,32,172
50,2000,16000,12,3,16,45
38,16000,32000,128,16,32,510
180,2000,16000,16,1,6,66
26,8000,32000,64,12,16,248
200,512,16000,0,4,32,35
72,4000,16000,64,8,16,143
38,4000,8000,32,16,32,51
124,1000,8000,0,1,8,42
300,768,3000,0,6,24,36
60,2000,8000,65,1,8,92
700,384,8000,0,1,1,24
140,2000,32000,32,1,54,189
110,5000,5000,142,8,64,120
92,2000,8000,32,1,6,62
320,512,2000,4,1,3,69
115,2000,4000,2,1,5,40
29,8000,32000,32,8,32,220
64,5240,20970,30,12,24,208
200,2000,8000,64,1,5,41
50,2620,10480,30,12,24,63
180,262,4000,0,1,3,12
330,1000,2000,0,1,2,16
17,4000,16000,32,6,12,133
75,2000,8000,64,1,38,144
330,1000,4000,0,3,6,22
400,2000,4000,0,1,1,32
50,8000,16000,48,1,10,136
100,1000,8000,24,3,6,32
143,512,5000,0,7,32,28
125,512,1000,0,8,20,36
810,512,512,8,1,1,18
700,256,2000,0,1,1,24
