%The problem concerns Relative CPU Performance Data. More information can be obtained in the UCI Machine
% Learning repository (http://www.ics.uci.edu/~mlearn/MLSummary.html).
% The used attributes are :
% MYCT: machine cycle time in nanoseconds (integer)
% MMIN: minimum main memory in kilobytes (integer)
% MMAX: maximum main memory in kilobytes (integer)
% CACH: cache memory in kilobytes (integer)
% CHMIN: minimum channels in units (integer)
% CHMAX: maximum channels in units (integer)
% PRP: published relative performance (integer) (target variable)
% 
% Original source: UCI machine learning repository. 
% Source: collection of regression datasets by Luis Torgo (ltorgo@ncc.up.pt) at
% http://www.ncc.up.pt/~ltorgo/Regression/DataSets.html
% Characteristics: 209 cases; 6 continuous variables 

@relation machine_cpu
@attribute MYCT real
@attribute MMIN real
@attribute MMAX real
@attribute CACH real
@attribute CHMIN real
@attribute CHMAX real
@attribute class real
@data
38,16000,32000,128,16,32,510
160,1000,4000,8,1,14,38
105,2000,4000,8,3,19,32
800,256,8000,0,1,4,20
115,512,6000,16,1,6,45
56,2000,8000,0,1,8,24
50,1000,4000,8,3,5,26
900,512,1000,0,1,2,11
115,2000,8000,16,1,3,50
75,2000,8000,64,1,38,144
480,1000,4000,0,0,0,45
1100,512,1500,0,1,1,7
100,1000,8000,24,3,6,32
140,2000,4000,8,1,20,35
320,512,5000,4,1,5,77
57,4000,16000,1,6,12,132
56,1000,4000,0,1,6,17
40,8000,32000,64,8,24,277
110,3100,6200,0,6,64,76
26,8000,24000,32,8,16,173
320,256,6000,0,1,6,33
480,96,512,0,1,1,6
50,2000,16000,12,3,16,45
800,256,8000,0,1,4,14
180,262,4000,0,1,3,12
57,4000,24000,64,12,16,237
225,1000,4000,2,3,6,24
200,1000,8000,0,1,2,36
140,2000,8000,32,1,54,66
700,384,8000,0,1,1,24
50,4000,16000,64,5,10,111
100,1000,8000,0,2,6,16
56,4000,12000,0,1,8,42
900,1000,4000,8,1,2,22
75,3000,8000,8,3,48,64
250,512,4000,0,1,7,25
92,2000,8000,32,1,6,62
52,4000,16000,32,4,12,130
800,256,8000,0,1,4,22
200,1000,4000,0,1,4,30
143,1000,2000,0,5,16,31
92,2000,8000,32,1,6,60
125,256,6000,256,16,128,198
700,256,2000,0,1,1,24
330,1000,2000,0,1,2,16
38,8000,24000,160,4,8,140
38,4000,8000,32,16,32,116
320,512,2000,4,1,3,69
56,4000,16000,0,1,8,46
180,512,4000,0,1,3,21
180,512,4000,0,1,3,14
26,8000,32000,0,8,24,277
50,500,2000,8,1,4,20
26,16000,32000,64,16,24,465
30,16000,32000,256,16,24,510
200,512,8000,8,1,8,62
50,2000,8000,8,1,6,56
29,8000,16000,32,8,16,132
143,512,5000,0,7,32,28
60,4000,16000,64,5,8,93
160,512,4000,2,1,5,30
110,1000,12000,16,1,2,60
50,1000,4000,8,1,5,29
116,2000,8000,32,5,28,70
26,16000,32000,64,8,24,465
300,1000,16000,8,2,112,38
17,4000,16000,8,6,12,100
167,524,2000,8,4,15,19
26,8000,32000,64,8,32,318
140,1000,16000,16,1,3,138
105,2000,6000,16,6,16,33
112,1000,1000,0,1,4,8
300,768,12000,6,6,24,50
133,1000,8000,9,3,12,72
50,2000,32000,48,26,52,208
140,2000,32000,32,1,54,189
225,2000,4000,8,3,6,34
29,8000,32000,32,8,32,220
400,4000,8000,0,1,1,32
64,5240,20970,30,12,24,208
50,2000,8000,8,3,6,45
1100,768,2000,0,1,1,13
180,262,4000,0,1,3,18
150,512,4000,0,8,128,30
143,3100,6200,0,5,20,33
175,256,2000,0,3,24,22
25,1310,2620,131,12,24,368
70,4000,12000,8,6,8,75
30,8000,64000,96,12,176,915
50,2620,10480,30,12,24,32
59,8000,16000,64,12,24,188
50,2620,10480,30,12,24,63
300,768,3000,0,6,24,36
300,192,768,6,6,24,36
60,4000,16000,32,1,6,86
17,4000,16000,32,6,12,133
600,768,2000,0,1,1,16
140,2000,4000,8,1,20,22
75,2000,8000,8,3,24,62
240,512,2000,8,1,5,11
143,2300,6200,0,6,64,61
185,2000,16000,16,1,6,76
225,2000,4000,8,3,6,40
40,8000,16000,32,8,16,214
300,768,3000,6,6,24,44
