%The problem concerns Relative CPU Performance Data. More information can be obtained in the UCI Machine
% Learning repository (http://www.ics.uci.edu/~mlearn/MLSummary.html).
% The used attributes are :
% MYCT: machine cycle time in nanoseconds (integer)
% MMIN: minimum main memory in kilobytes (integer)
% MMAX: maximum main memory in kilobytes (integer)
% CACH: cache memory in kilobytes (integer)
% CHMIN: minimum channels in units (integer)
% CHMAX: maximum channels in units (integer)
% PRP: published relative performance (integer) (target variable)
% 
% Original source: UCI machine learning repository. 
% Source: collection of regression datasets by Luis Torgo (ltorgo@ncc.up.pt) at
% http://www.ncc.up.pt/~ltorgo/Regression/DataSets.html
% Characteristics: 209 cases; 6 continuous variables 

@relation machine_cpu
@attribute MYCT real
@attribute MMIN real
@attribute MMAX real
@attribute CACH real
@attribute CHMIN real
@attribute CHMAX real
@attribute class real
@data
92,2000,8000,4,1,6,50
105,1000,4000,0,3,24,32
26,16000,32000,64,16,24,465
23,16000,64000,64,16,32,636
50,2620,10480,30,12,24,32
330,1000,3000,0,2,4,16
240,512,1000,8,1,3,6
175,256,2000,0,3,24,22
400,1000,3000,0,1,2,38
133,1000,12000,9,3,12,72
143,3100,6200,0,5,20,33
105,2000,6000,16,6,16,33
50,2000,4000,0,3,6,27
40,8000,16000,32,8,16,214
110,3100,6200,0,6,64,76
105,256,2000,0,3,10,26
180,512,4000,0,1,3,21
72,2000,8000,16,6,8,105
125,2000,8000,0,2,14,52
180,512,4000,0,1,3,14
50,2000,8000,8,3,6,45
140,2000,32000,32,1,54,189
124,1000,8000,0,1,8,42
38,16000,32000,128,16,32,510
92,2000,8000,32,1,6,60
75,2000,8000,8,3,24,62
50,2000,16000,24,6,16,65
26,8000,24000,32,8,16,173
40,8000,32000,64,8,24,277
300,384,12000,6,1,24,53
180,2000,8000,8,1,6,50
225,1000,4000,2,3,6,24
29,8000,32000,32,8,32,172
800,256,8000,0,1,4,20
125,256,6000,256,16,128,198
320,256,6000,0,1,6,33
64,5240,20970,30,12,24,208
200,512,8000,8,1,8,62
50,500,2000,8,1,4,20
50,4000,32000,112,52,104,397
56,1000,4000,0,1,6,17
160,2000,8000,32,1,13,109
38,8000,24000,160,4,8,140
100,1000,8000,24,3,6,32
50,2000,16000,8,3,6,52
480,512,8000,32,0,0,67
320,512,2000,4,1,3,69
200,1000,2000,0,1,2,25
160,512,2000,2,3,8,32
150,512,4000,0,8,128,30
250,512,4000,0,4,7,50
25,1310,2620,131,12,24,274
25,2000,12000,16,3,5,66
30,8000,64000,128,12,176,1150
1100,512,1500,0,1,1,7
50,1000,4000,8,3,5,26
50,8000,16000,48,1,10,136
100,1000,8000,0,2,6,16
50,2620,10480,30,12,24,63
300,1000,4000,8,3,64,38
350,64,64,0,1,4,10
60,2000,8000,65,1,8,92
143,512,5000,0,7,32,28
38,4000,8000,32,16,32,51
50,2000,32000,112,52,104,307
115,2000,8000,16,1,3,50
180,262,4000,0,1,3,12
900,1000,4000,4,1,2,18
800,256,8000,0,1,4,12
75,2000,8000,64,1,38,144
116,2000,8000,32,5,28,70
140,2000,4000,8,1,20,35
180,262,4000,0,1,3,18
180,768,12000,6,1,31,84
50,2000,8000,8,1,5,71
56,4000,12000,0,1,8,42
400,4000,8000,0,1,1,32
50,2000,16000,12,3,16,45
50,1000,4000,8,1,5,29
400,512,3500,4,1,6,40
70,4000,12000,8,6,8,75
810,512,512,8,1,1,18
50,2000,16000,24,6,16,54
29,8000,32000,32,8,32,269
38,8000,32000,64,8,24,326
200,512,16000,0,4,32,35
56,4000,16000,0,1,8,46
300,768,4500,0,1,24,45
300,768,3000,6,6,24,44
75,2000,16000,128,1,38,259
480,96,512,0,1,1,6
140,2000,4000,8,1,20,22
330,1000,4000,0,3,6,22
35,8000,32000,64,8,24,370
330,1000,2000,0,1,2,16
300,192,768,6,6,24,36
56,5240,20970,30,12,24,106
105,2000,8000,16,4,14,58
50,2000,16000,24,1,6,70
600,768,2000,0,1,1,16
320,512,8000,4,1,5,40
810,1000,5000,0,1,1,20
56,2000,8000,0,1,8,24
185,2000,16000,16,1,6,76
