%The problem concerns Relative CPU Performance Data. More information can be obtained in the UCI Machine
% Learning repository (http://www.ics.uci.edu/~mlearn/MLSummary.html).
% The used attributes are :
% MYCT: machine cycle time in nanoseconds (integer)
% MMIN: minimum main memory in kilobytes (integer)
% MMAX: maximum main memory in kilobytes (integer)
% CACH: cache memory in kilobytes (integer)
% CHMIN: minimum channels in units (integer)
% CHMAX: maximum channels in units (integer)
% PRP: published relative performance (integer) (target variable)
% 
% Original source: UCI machine learning repository. 
% Source: collection of regression datasets by Luis Torgo (ltorgo@ncc.up.pt) at
% http://www.ncc.up.pt/~ltorgo/Regression/DataSets.html
% Characteristics: 209 cases; 6 continuous variables 

@relation machine_cpu
@attribute MYCT real
@attribute MMIN real
@attribute MMAX real
@attribute CACH real
@attribute CHMIN real
@attribute CHMAX real
@attribute class real
@data
300,192,768,6,6,24,36
26,8000,16000,0,8,16,185
29,8000,32000,32,8,32,269
98,1000,8000,32,2,8,46
26,8000,24000,32,8,16,173
110,1000,12000,16,1,2,60
140,2000,4000,8,1,20,35
250,512,4000,0,1,7,25
50,2000,16000,8,3,6,60
50,4000,16000,65,1,8,138
350,64,64,0,1,4,10
240,512,2000,8,1,5,11
30,8000,64000,128,12,176,1150
38,8000,16000,64,4,8,100
140,2000,8000,32,1,54,66
133,1000,8000,9,3,12,72
26,8000,32000,0,8,24,277
52,4000,16000,32,4,12,130
180,262,4000,0,1,3,18
105,2000,8000,16,4,14,58
38,8000,24000,160,4,8,140
800,256,8000,0,1,4,16
250,512,4000,0,4,7,50
25,2000,12000,8,1,4,49
900,512,1000,0,1,2,11
75,2000,8000,8,3,24,62
160,1000,4000,8,1,14,38
320,256,6000,0,1,6,33
125,256,6000,256,16,128,198
150,512,4000,0,8,128,30
116,2000,8000,32,5,28,70
160,512,4000,2,1,5,30
112,1000,1000,0,1,4,8
800,256,8000,0,1,4,20
50,1000,8000,8,3,5,36
23,16000,32000,64,16,32,367
143,1000,2000,0,5,16,31
50,2000,16000,24,1,6,70
160,1000,8000,16,1,14,60
50,1000,4000,8,3,5,26
175,256,2000,0,3,24,22
143,1500,6300,0,5,32,30
225,1000,4000,2,3,6,24
25,1310,2620,131,12,24,274
26,8000,32000,128,24,32,405
400,4000,8000,0,1,1,32
180,768,12000,6,1,31,84
50,2000,16000,8,3,6,52
200,1000,8000,0,1,2,36
50,1000,4000,8,1,5,29
56,2000,8000,0,1,8,24
1100,768,2000,0,1,1,13
900,2000,4000,0,3,6,37
50,2000,8000,8,1,6,56
50,2000,8000,8,3,6,45
92,2000,8000,4,1,6,50
25,2000,12000,16,3,5,66
200,512,8000,8,1,8,62
23,32000,64000,128,32,64,1144
900,1000,4000,8,1,2,22
50,2000,16000,24,6,16,54
300,384,12000,6,1,24,53
140,2000,32000,32,1,54,141
800,768,2000,0,0,0,20
320,256,5000,4,1,6,27
50,2000,16000,24,1,6,80
320,512,8000,4,1,5,40
300,1000,16000,8,2,112,38
56,4000,16000,0,1,8,46
38,8000,32000,64,8,24,326
105,2000,6000,16,6,16,33
180,512,4000,0,1,3,21
60,2000,16000,64,5,8,74
40,8000,32000,64,8,24,277
92,2000,8000,32,1,6,60
800,256,8000,0,1,4,22
35,8000,32000,64,8,24,370
26,16000,32000,64,16,24,465
57,4000,24000,64,12,16,237
25,1310,2620,131,12,24,368
75,4000,16000,16,1,6,66
115,2000,8000,16,1,3,50
40,8000,16000,32,8,16,214
200,1000,2000,0,1,2,25
72,2000,8000,16,6,8,105
810,1000,5000,0,1,1,20
1500,768,2000,0,0,0,18
300,1000,4000,8,3,64,38
105,1000,4000,0,3,24,32
29,8000,16000,32,8,16,132
75,3000,8000,8,3,48,64
125,2000,8000,0,2,14,52
56,2000,6000,0,1,8,21
50,2000,8000,8,1,5,71
133,1000,12000,9,3,12,72
30,8000,64000,96,12,176,915
140,2000,4000,0,3,6,29
143,3100,6200,0,5,20,33
30,16000,32000,256,16,24,510
70,4000,12000,8,6,8,75
300,768,4500,0,1,24,45
225,2000,4000,8,3,6,34
600,768,2000,0,1,1,16
160,2000,8000,32,1,13,109
