%The problem concerns Relative CPU Performance Data. More information can be obtained in the UCI Machine
% Learning repository (http://www.ics.uci.edu/~mlearn/MLSummary.html).
% The used attributes are :
% MYCT: machine cycle time in nanoseconds (integer)
% MMIN: minimum main memory in kilobytes (integer)
% MMAX: maximum main memory in kilobytes (integer)
% CACH: cache memory in kilobytes (integer)
% CHMIN: minimum channels in units (integer)
% CHMAX: maximum channels in units (integer)
% PRP: published relative performance (integer) (target variable)
% 
% Original source: UCI machine learning repository. 
% Source: collection of regression datasets by Luis Torgo (ltorgo@ncc.up.pt) at
% http://www.ncc.up.pt/~ltorgo/Regression/DataSets.html
% Characteristics: 209 cases; 6 continuous variables 

@relation machine_cpu
@attribute MYCT real
@attribute MMIN real
@attribute MMAX real
@attribute CACH real
@attribute CHMIN real
@attribute CHMAX real
@attribute class real
@data
240,512,2000,8,1,5,11
90,256,1000,0,3,10,17
160,1000,8000,16,1,14,60
26,8000,32000,0,8,24,277
100,1000,8000,24,2,6,26
220,1000,8000,16,1,2,71
200,2000,8000,64,1,5,41
50,2000,16000,24,1,6,80
800,768,2000,0,0,0,20
143,1500,6300,0,5,32,30
98,1000,8000,32,2,8,46
110,1000,12000,16,1,2,60
700,384,8000,0,1,1,24
900,1000,4000,8,1,2,22
50,1000,8000,8,3,5,36
59,4000,12000,32,6,12,113
75,4000,16000,16,1,6,66
84,1000,2000,0,1,6,12
50,2000,16000,8,3,5,40
133,1000,8000,9,3,12,72
60,4000,16000,32,1,6,86
140,2000,32000,32,1,54,141
50,2000,32000,24,6,26,114
225,2000,4000,8,3,6,40
125,512,1000,0,8,20,36
105,2000,4000,8,3,8,22
320,512,5000,4,1,5,77
203,1000,2000,0,1,5,24
115,2000,4000,2,1,5,40
140,2000,8000,32,1,54,66
57,4000,24000,64,12,16,237
115,512,6000,16,1,6,45
48,4000,24000,32,8,24,214
225,2000,4000,8,3,6,34
23,32000,64000,128,32,64,1144
110,5000,5000,142,8,64,120
50,4000,16000,64,5,10,111
400,2000,4000,0,1,1,32
26,16000,32000,64,8,24,465
92,2000,8000,32,1,6,62
25,2000,12000,8,1,4,49
1500,768,2000,0,0,0,18
23,16000,32000,64,16,32,367
59,8000,16000,64,12,24,188
38,8000,16000,64,4,8,100
140,2000,4000,0,3,6,29
23,16000,32000,64,16,32,489
167,524,2000,8,4,15,19
143,1000,2000,0,5,16,31
800,256,8000,0,1,4,22
250,1000,16000,1,1,8,50
26,8000,32000,64,12,16,248
52,4000,16000,32,4,12,130
110,1000,4000,16,1,2,26
900,1000,1000,0,1,2,11
480,1000,4000,0,0,0,45
320,128,6000,0,1,12,23
200,1000,8000,0,1,2,36
50,2000,16000,8,3,6,60
140,2000,32000,32,1,20,134
140,2000,4000,0,4,8,40
72,4000,16000,64,8,16,143
17,4000,16000,32,6,12,133
75,2000,16000,64,1,38,144
57,4000,16000,1,6,12,132
26,8000,16000,0,8,16,185
180,2000,16000,16,1,6,66
300,768,3000,0,6,24,36
50,2000,8000,8,1,6,56
50,4000,16000,65,1,8,138
17,4000,16000,8,6,12,100
250,512,4000,0,1,7,25
160,1000,4000,8,1,14,38
160,512,4000,2,1,5,30
1500,768,1000,0,0,0,12
56,4000,8000,0,1,8,34
25,1310,2620,131,12,24,368
140,1000,16000,16,1,3,138
900,512,1000,0,1,2,11
56,2000,6000,0,1,8,21
700,256,2000,0,1,1,24
30,8000,64000,96,12,176,915
30,16000,32000,256,16,24,510
29,8000,16000,32,8,16,132
60,2000,16000,64,5,8,74
200,1000,4000,0,1,4,30
60,4000,16000,64,5,8,93
800,256,8000,0,1,4,14
50,2000,32000,48,26,52,208
143,2300,6200,0,6,64,61
320,256,3000,4,1,3,27
26,8000,32000,128,24,32,405
75,3000,8000,8,3,48,64
320,256,5000,4,1,6,27
38,4000,8000,32,16,32,116
112,1000,1000,0,1,4,8
105,2000,4000,8,3,19,32
38,4000,16000,128,16,32,212
800,256,8000,0,1,4,16
1100,768,2000,0,1,1,13
300,768,12000,6,6,24,50
300,1000,16000,8,2,112,38
26,8000,32000,64,8,32,318
29,8000,32000,32,8,32,220
900,2000,4000,0,3,6,37
