@relation  glass
@attribute RI real[1.51115,1.53393]
@attribute Na real[10.73,17.38]
@attribute Mg real[0.0,4.49]
@attribute Al real[0.29,3.5]
@attribute Si real[69.81,75.41]
@attribute K real[0.0,6.21]
@attribute Ca real[5.43,16.19]
@attribute Ba real[0.0,3.15]
@attribute Fe real[0.0,0.51]
@attribute typeGlass{1,2,3,4,5,6,7}
@inputs RI,Na,Mg,Al,Si,K,Ca,Ba,Fe
@outputs typeGlass
@data
1.5176423, 12.9777, 3.53812, 1.21127, 73.002, 0.65205, 8.52888, 0.0, 0.0, 1
1.52212996, 14.20795, 3.82099, 0.46976, 71.77, 0.11178, 9.5726, 0.0, 0.0, 1
1.51777898, 13.21045, 3.38995, 1.33004, 72.7612, 0.58995, 8.59344, 0.0, 0.0, 1
1.51898632, 13.58285, 3.34954, 1.23053, 72.078, 0.58995, 8.90548, 0.0, 0.0, 1
1.51793844, 12.7915, 3.5022, 1.12139, 73.03, 0.63963, 8.7656, 0.0, 0.0, 1
1.51768786, 12.45235, 2.71196, 1.29152, 73.702, 0.5589, 9.05612, 0.0, 0.1224, 1
1.51919134, 14.417, 3.57853, 1.36856, 72.078, 0.5589, 8.30292, 0.0, 0.0, 1
1.52176548, 13.19715, 3.6818, 1.15028, 72.75, 0.54027, 8.51812, 0.0, 0.0, 2
1.51645774, 13.4432, 3.60996, 1.53869, 72.3916, 0.65826, 8.03392, 0.0, 0.0, 2
1.5173006, 12.3526, 2.72094, 1.62857, 72.8676, 0.70173, 9.22828, 0.0, 0.0, 2
1.5167311, 12.7915, 3.52016, 1.53869, 73.3604, 0.65826, 7.9048, 0.0, 0.0, 2
1.5266404, 11.22875, 0.0, 0.7715, 73.2092, 0.0, 14.6836, 0.0, 0.0, 2
1.51812068, 13.4299, 3.97814, 1.17917, 72.4924, 0.57753, 8.15228, 0.0, 0.0, 2
1.51709558, 12.99765, 3.47077, 1.78907, 72.722, 0.65826, 8.18456, 0.0, 0.0, 2
1.5159338, 13.09075, 3.592, 1.51943, 73.0972, 0.67068, 7.82948, 0.0, 0.0, 2
1.51645774, 13.03755, 3.39893, 1.25942, 73.0076, 0.52164, 8.58268, 0.0, 0.0, 3
1.51768786, 13.64935, 3.65935, 1.10855, 72.7724, 0.11178, 8.6042, 0.0, 0.0, 3
1.52058092, 12.85135, 1.61191, 2.17106, 72.1788, 0.75762, 9.70172, 0.2394, 0.2601, 5
1.51299518, 14.4008, 1.74212, 1.53869, 74.5476, 0.0, 7.59276, 0.0, 0.0, 6
1.51657164, 14.7998, 0.0, 1.9913, 73.1084, 0.0, 8.2814, 1.71045, 0.0, 7
1.51556932, 13.8688, 0.0, 2.54021, 73.2316, 0.14283, 9.4112, 0.80955, 0.0051, 7
1.51509094, 15.15225, 0.0, 2.25131, 73.5004, 0.0, 8.3352, 0.63, 0.0, 7
