@relation Glass_Identification_Database
@attribute RI real [1.51115, 1.53393]
@attribute Na real [10.73, 17.38]
@attribute Mg real [0.0, 4.49]
@attribute Al real [0.29, 3.5]
@attribute Si real [69.81, 75.41]
@attribute K real [0.0, 6.21]
@attribute Ca real [5.43, 16.19]
@attribute Ba real [0.0, 3.15]
@attribute Fe real [0.0, 0.51]
@attribute typeGlass {1, 2, 3, 4, 5, 6, 7}
@inputs RI, Na, Mg, Al, Si, K, Ca, Ba, Fe
@outputs typeGlass
@data
1.51761, 13.89, 3.60, 1.36, 72.73, 0.48, 7.83, 0.00, 0.00, 1
1.51618, 13.53, 3.55, 1.54, 72.99, 0.39, 7.78, 0.00, 0.00, 1
1.51596, 12.79, 3.61, 1.62, 72.97, 0.64, 8.07, 0.00, 0.26, 1
1.51918, 14.04, 3.58, 1.37, 72.08, 0.56, 8.30, 0.00, 0.00, 1
1.51755, 13.00, 3.60, 1.36, 72.99, 0.57, 8.40, 0.00, 0.11, 1
1.51589, 12.88, 3.43, 1.40, 73.28, 0.69, 8.05, 0.00, 0.24, 1
1.51748, 12.86, 3.56, 1.27, 73.21, 0.54, 8.38, 0.00, 0.17, 1
1.51735, 13.02, 3.54, 1.69, 72.73, 0.54, 8.44, 0.00, 0.07, 1
1.51750, 12.82, 3.55, 1.49, 72.75, 0.54, 8.52, 0.00, 0.19, 1
1.51966, 14.77, 3.75, 0.29, 72.02, 0.03, 9.00, 0.00, 0.00, 1
1.51720, 13.38, 3.50, 1.15, 72.85, 0.50, 8.43, 0.00, 0.00, 1
1.51764, 12.98, 3.54, 1.21, 73.00, 0.65, 8.53, 0.00, 0.00, 1
1.51793, 13.21, 3.48, 1.41, 72.64, 0.59, 8.43, 0.00, 0.00, 1
1.51784, 13.08, 3.49, 1.28, 72.86, 0.60, 8.49, 0.00, 0.00, 1
1.51747, 12.84, 3.50, 1.14, 73.27, 0.56, 8.55, 0.00, 0.00, 1
1.51753, 12.57, 3.47, 1.38, 73.39, 0.60, 8.55, 0.00, 0.06, 1
1.51783, 12.69, 3.54, 1.34, 72.95, 0.57, 8.75, 0.00, 0.00, 1
1.51797, 12.74, 3.48, 1.35, 72.96, 0.64, 8.68, 0.00, 0.00, 1
