@relation Glass_Identification_Database
@attribute RI real [1.51115, 1.53393]
@attribute Na real [10.73, 17.38]
@attribute Mg real [0.0, 4.49]
@attribute Al real [0.29, 3.5]
@attribute Si real [69.81, 75.41]
@attribute K real [0.0, 6.21]
@attribute Ca real [5.43, 16.19]
@attribute Ba real [0.0, 3.15]
@attribute Fe real [0.0, 0.51]
@attribute typeGlass {1, 2, 3, 4, 5, 6, 7}
@inputs RI, Na, Mg, Al, Si, K, Ca, Ba, Fe
@outputs typeGlass
@data
1.51766, 13.21, 3.69, 1.29, 72.61, 0.57, 8.22, 0.00, 0.00, 1
1.51742, 13.27, 3.62, 1.24, 73.08, 0.55, 8.07, 0.00, 0.00, 1
1.51756, 13.15, 3.61, 1.05, 73.24, 0.57, 8.24, 0.00, 0.00, 1
1.51918, 14.04, 3.58, 1.37, 72.08, 0.56, 8.30, 0.00, 0.00, 1
1.51755, 13.00, 3.60, 1.36, 72.99, 0.57, 8.40, 0.00, 0.11, 1
1.51571, 12.72, 3.46, 1.56, 73.20, 0.67, 8.09, 0.00, 0.24, 1
1.51748, 12.86, 3.56, 1.27, 73.21, 0.54, 8.38, 0.00, 0.17, 1
1.51763, 12.61, 3.59, 1.31, 73.29, 0.58, 8.50, 0.00, 0.00, 1
1.51784, 12.68, 3.67, 1.16, 73.11, 0.61, 8.70, 0.00, 0.00, 1
1.51911, 13.90, 3.73, 1.18, 72.12, 0.06, 8.89, 0.00, 0.00, 1
1.51966, 14.77, 3.75, 0.29, 72.02, 0.03, 9.00, 0.00, 0.00, 1
1.51720, 13.38, 3.50, 1.15, 72.85, 0.50, 8.43, 0.00, 0.00, 1
1.51793, 13.21, 3.48, 1.41, 72.64, 0.59, 8.43, 0.00, 0.00, 1
1.51768, 12.56, 3.52, 1.43, 73.15, 0.57, 8.54, 0.00, 0.00, 1
1.51784, 13.08, 3.49, 1.28, 72.86, 0.60, 8.49, 0.00, 0.00, 1
1.51753, 12.57, 3.47, 1.38, 73.39, 0.60, 8.55, 0.00, 0.06, 1
1.51567, 13.29, 3.45, 1.21, 72.74, 0.56, 8.57, 0.00, 0.00, 1
1.52213, 14.21, 3.82, 0.47, 71.77, 0.11, 9.57, 0.00, 0.00, 1
1.51793, 12.79, 3.50, 1.12, 73.03, 0.64, 8.77, 0.00, 0.00, 1
1.51779, 13.21, 3.39, 1.33, 72.76, 0.59, 8.59, 0.00, 0.00, 1
1.51900, 13.49, 3.48, 1.35, 71.95, 0.55, 9.00, 0.00, 0.00, 1
1.51869, 13.19, 3.37, 1.18, 72.72, 0.57, 8.83, 0.00, 0.16, 1
1.52667, 13.99, 3.70, 0.71, 71.57, 0.02, 9.82, 0.00, 0.10, 1
1.51898, 13.58, 3.35, 1.23, 72.08, 0.59, 8.91, 0.00, 0.00, 1
1.52320, 13.72, 3.72, 0.51, 71.75, 0.09, 10.06, 0.00, 0.16, 1
1.51837, 13.14, 2.84, 1.28, 72.85, 0.55, 9.07, 0.00, 0.00, 1
1.51778, 13.21, 2.81, 1.29, 72.98, 0.51, 9.02, 0.00, 0.09, 1
1.51769, 12.45, 2.71, 1.29, 73.70, 0.56, 9.06, 0.00, 0.24, 1
1.51824, 12.87, 3.48, 1.29, 72.95, 0.60, 8.43, 0.00, 0.00, 1
1.51905, 13.60, 3.62, 1.11, 72.64, 0.14, 8.76, 0.00, 0.00, 1
1.51977, 13.81, 3.58, 1.32, 71.72, 0.12, 8.67, 0.69, 0.00, 1
1.52227, 14.17, 3.81, 0.78, 71.35, 0.00, 9.69, 0.00, 0.00, 1
1.52099, 13.69, 3.59, 1.12, 71.96, 0.09, 9.40, 0.00, 0.00, 1
1.52152, 13.05, 3.65, 0.87, 72.22, 0.19, 9.85, 0.00, 0.17, 1
1.52152, 13.12, 3.58, 0.90, 72.20, 0.23, 9.82, 0.00, 0.16, 1
1.51574, 14.86, 3.67, 1.74, 71.87, 0.16, 7.36, 0.00, 0.12, 2
1.51631, 13.34, 3.57, 1.57, 72.87, 0.61, 7.89, 0.00, 0.00, 2
1.51590, 13.02, 3.58, 1.51, 73.12, 0.69, 7.96, 0.00, 0.00, 2
1.51627, 13.00, 3.58, 1.54, 72.83, 0.61, 8.04, 0.00, 0.00, 2
1.51613, 13.92, 3.52, 1.25, 72.88, 0.37, 7.94, 0.00, 0.14, 2
1.51593, 13.25, 3.45, 1.43, 73.17, 0.61, 7.86, 0.00, 0.00, 2
1.51646, 13.41, 3.55, 1.25, 72.81, 0.68, 8.10, 0.00, 0.00, 2
1.51594, 13.09, 3.52, 1.55, 72.87, 0.68, 8.05, 0.00, 0.09, 2
1.51625, 13.36, 3.58, 1.49, 72.72, 0.45, 8.21, 0.00, 0.00, 2
1.51618, 13.01, 3.50, 1.48, 72.89, 0.60, 8.12, 0.00, 0.00, 2
1.51640, 12.55, 3.48, 1.87, 73.23, 0.63, 8.08, 0.00, 0.09, 2
1.51605, 12.90, 3.44, 1.45, 73.06, 0.44, 8.27, 0.00, 0.00, 2
1.51588, 13.12, 3.41, 1.58, 73.26, 0.07, 8.39, 0.00, 0.19, 2
1.51860, 13.36, 3.43, 1.43, 72.26, 0.51, 8.60, 0.00, 0.00, 2
1.51743, 12.20, 3.25, 1.16, 73.55, 0.62, 8.90, 0.00, 0.24, 2
1.51689, 12.67, 2.88, 1.71, 73.21, 0.73, 8.54, 0.00, 0.00, 2
1.51811, 12.96, 2.96, 1.43, 72.92, 0.60, 8.79, 0.14, 0.00, 2
1.51820, 12.62, 2.76, 0.83, 73.81, 0.35, 9.42, 0.00, 0.20, 2
1.52222, 14.43, 0.00, 1.00, 72.67, 0.10, 11.52, 0.00, 0.08, 2
1.52664, 11.23, 0.00, 0.77, 73.21, 0.00, 14.68, 0.00, 0.00, 2
1.52777, 12.64, 0.00, 0.67, 72.02, 0.06, 14.40, 0.00, 0.00, 2
1.51892, 13.46, 3.83, 1.26, 72.55, 0.57, 8.21, 0.00, 0.14, 2
1.51846, 13.41, 3.89, 1.33, 72.38, 0.51, 8.28, 0.00, 0.00, 2
1.51829, 13.24, 3.90, 1.41, 72.33, 0.55, 8.31, 0.00, 0.10, 2
1.51844, 13.25, 3.76, 1.32, 72.40, 0.58, 8.42, 0.00, 0.00, 2
1.51663, 12.93, 3.54, 1.62, 72.96, 0.64, 8.03, 0.00, 0.21, 2
1.51687, 13.23, 3.54, 1.48, 72.84, 0.56, 8.10, 0.00, 0.00, 2
1.51707, 13.48, 3.48, 1.71, 72.52, 0.62, 7.99, 0.00, 0.00, 2
