@relation .a/glass/glass
@attribute RI real [1.51115, 1.53393]
@attribute Na real [10.73, 17.38]
@attribute Mg real [0.0, 4.49]
@attribute Al real [0.29, 3.5]
@attribute Si real [69.81, 75.41]
@attribute K real [0.0, 6.21]
@attribute Ca real [5.43, 16.19]
@attribute Ba real [0.0, 3.15]
@attribute Fe real [0.0, 0.51]
@attribute typeGlass {1, 2, 3, 4, 5, 6, 7}
@inputs RI, Na, Mg, Al, Si, K, Ca, Ba, Fe
@outputs typeGlass
@data
1.51784732, 12.67845, 3.66833, 1.15991, 73.1084, 0.60858, 8.70104, 0.0, 0.0, 1
1.51734616, 13.0176, 3.53812, 1.68956, 72.7276, 0.54027, 8.4428, 0.0, 0.0357, 1
1.5175284, 12.57205, 3.47077, 1.3814, 73.3884, 0.60237, 8.5504, 0.0, 0.0306, 1
1.52212996, 14.20795, 3.82099, 0.46976, 71.77, 0.11178, 9.5726, 0.0, 0.0, 1
1.5174145, 13.2703, 3.61894, 1.24016, 73.0804, 0.55269, 8.0662, 0.0, 0.0, 1
1.51768786, 12.45235, 2.71196, 1.29152, 73.702, 0.5589, 9.05612, 0.0, 0.1224, 1
1.51891798, 13.46315, 3.82997, 1.25942, 72.5484, 0.57132, 8.20608, 0.0, 0.0714, 2
1.52176548, 13.7491, 1.01025, 1.35893, 72.19, 0.32913, 11.14356, 0.0, 0.0, 2
1.51789288, 13.1905, 3.90181, 1.30115, 72.33, 0.55269, 8.4428, 0.0, 0.1428, 2
1.52080872, 13.78235, 2.28092, 1.42955, 71.9884, 0.49059, 9.85236, 0.0, 0.0867, 2
1.51632106, 13.3368, 3.56955, 1.57079, 72.8676, 0.60858, 7.89404, 0.0, 0.0, 2
1.53393, 12.2994, 0.0, 0.99941, 70.1628, 0.11799, 16.19, 0.0, 0.1224, 2
1.5193508, 13.6427, 3.53812, 0.74903, 72.6492, 0.16146, 8.89472, 0.1512, 0.1224, 3
1.523679, 13.4432, 0.0, 1.58042, 72.218, 0.32292, 12.24108, 0.0, 0.0, 5
1.5196925, 14.5604, 0.0, 0.55964, 73.478, 0.0, 11.21888, 0.0, 0.0, 6
1.51652608, 11.94695, 0.0, 1.1888, 75.1804, 2.70135, 8.927, 0.0, 0.0, 7
1.51837126, 14.321, 3.25974, 2.21921, 71.2492, 1.45935, 5.78508, 1.62855, 0.0, 7
1.51777898, 13.21045, 2.81074, 1.29152, 72.9796, 0.50922, 9.02384, 0.0, 0.459, 1
1.51709558, 12.99765, 3.47077, 1.78907, 72.722, 0.65826, 8.18456, 0.0, 0.0, 2
1.51850794, 13.19715, 3.62792, 1.07003, 72.8284, 0.57132, 8.41052, 0.09135, 0.0867, 2
1.51643496, 12.15975, 3.52016, 1.3493, 72.89, 0.57132, 8.52888, 0.0, 0.0, 3
1.51509094, 15.15225, 0.0, 2.25131, 73.5004, 0.0, 8.3352, 0.63, 0.0, 7
