@relation Glass_Identification_Database
@attribute RI real [1.51115, 1.53393]
@attribute Na real [10.73, 17.38]
@attribute Mg real [0.0, 4.49]
@attribute Al real [0.29, 3.5]
@attribute Si real [69.81, 75.41]
@attribute K real [0.0, 6.21]
@attribute Ca real [5.43, 16.19]
@attribute Ba real [0.0, 3.15]
@attribute Fe real [0.0, 0.51]
@attribute typeGlass {1, 2, 3, 4, 5, 6, 7}
@inputs RI, Na, Mg, Al, Si, K, Ca, Ba, Fe
@outputs typeGlass
@data
1.51618, 13.53, 3.55, 1.54, 72.99, 0.39, 7.78, 0.00, 0.00, 1
1.51743, 13.30, 3.60, 1.14, 73.09, 0.58, 8.17, 0.00, 0.00, 1
1.51571, 12.72, 3.46, 1.56, 73.20, 0.67, 8.09, 0.00, 0.24, 1
1.51763, 12.80, 3.66, 1.27, 73.01, 0.60, 8.56, 0.00, 0.00, 1
1.52196, 14.36, 3.85, 0.89, 71.36, 0.15, 9.15, 0.00, 0.00, 1
1.51911, 13.90, 3.73, 1.18, 72.12, 0.06, 8.89, 0.00, 0.00, 1
1.51966, 14.77, 3.75, 0.29, 72.02, 0.03, 9.00, 0.00, 0.00, 1
1.51736, 12.78, 3.62, 1.29, 72.79, 0.59, 8.70, 0.00, 0.00, 1
1.51764, 12.98, 3.54, 1.21, 73.00, 0.65, 8.53, 0.00, 0.00, 1
1.51793, 13.21, 3.48, 1.41, 72.64, 0.59, 8.43, 0.00, 0.00, 1
1.51721, 12.87, 3.48, 1.33, 73.04, 0.56, 8.43, 0.00, 0.00, 1
1.51784, 13.08, 3.49, 1.28, 72.86, 0.60, 8.49, 0.00, 0.00, 1
1.51768, 12.65, 3.56, 1.30, 73.08, 0.61, 8.69, 0.00, 0.14, 1
1.51747, 12.84, 3.50, 1.14, 73.27, 0.56, 8.55, 0.00, 0.00, 1
1.52213, 14.21, 3.82, 0.47, 71.77, 0.11, 9.57, 0.00, 0.00, 1
1.51793, 12.79, 3.50, 1.12, 73.03, 0.64, 8.77, 0.00, 0.00, 1
1.52210, 13.73, 3.84, 0.72, 71.76, 0.17, 9.74, 0.00, 0.00, 1
1.51900, 13.49, 3.48, 1.35, 71.95, 0.55, 9.00, 0.00, 0.00, 1
1.51869, 13.19, 3.37, 1.18, 72.72, 0.57, 8.83, 0.00, 0.16, 1
1.51898, 13.58, 3.35, 1.23, 72.08, 0.59, 8.91, 0.00, 0.00, 1
1.52320, 13.72, 3.72, 0.51, 71.75, 0.09, 10.06, 0.00, 0.16, 1
1.51769, 12.45, 2.71, 1.29, 73.70, 0.56, 9.06, 0.00, 0.24, 1
1.51215, 12.99, 3.47, 1.12, 72.98, 0.62, 8.35, 0.00, 0.31, 1
1.51824, 12.87, 3.48, 1.29, 72.95, 0.60, 8.43, 0.00, 0.00, 1
1.51754, 13.39, 3.66, 1.19, 72.79, 0.57, 8.27, 0.00, 0.11, 1
1.51905, 13.60, 3.62, 1.11, 72.64, 0.14, 8.76, 0.00, 0.00, 1
1.51977, 13.81, 3.58, 1.32, 71.72, 0.12, 8.67, 0.69, 0.00, 1
1.52172, 13.51, 3.86, 0.88, 71.79, 0.23, 9.54, 0.00, 0.11, 1
1.52227, 14.17, 3.81, 0.78, 71.35, 0.00, 9.69, 0.00, 0.00, 1
