@relation Glass_Identification_Database
@attribute RI real [1.51115, 1.53393]
@attribute Na real [10.73, 17.38]
@attribute Mg real [0.0, 4.49]
@attribute Al real [0.29, 3.5]
@attribute Si real [69.81, 75.41]
@attribute K real [0.0, 6.21]
@attribute Ca real [5.43, 16.19]
@attribute Ba real [0.0, 3.15]
@attribute Fe real [0.0, 0.51]
@attribute typeGlass {1, 2, 3, 4, 5, 6, 7}
@inputs RI, Na, Mg, Al, Si, K, Ca, Ba, Fe
@outputs typeGlass
@data
1.51743, 13.30, 3.60, 1.14, 73.09, 0.58, 8.17, 0.00, 0.00, 1
1.51755, 13.00, 3.60, 1.36, 72.99, 0.57, 8.40, 0.00, 0.11, 1
1.51763, 12.61, 3.59, 1.31, 73.29, 0.58, 8.50, 0.00, 0.00, 1
1.51761, 12.81, 3.54, 1.23, 73.24, 0.58, 8.39, 0.00, 0.00, 1
1.52196, 14.36, 3.85, 0.89, 71.36, 0.15, 9.15, 0.00, 0.00, 1
1.51911, 13.90, 3.73, 1.18, 72.12, 0.06, 8.89, 0.00, 0.00, 1
1.51735, 13.02, 3.54, 1.69, 72.73, 0.54, 8.44, 0.00, 0.07, 1
1.51966, 14.77, 3.75, 0.29, 72.02, 0.03, 9.00, 0.00, 0.00, 1
1.51736, 12.78, 3.62, 1.29, 72.79, 0.59, 8.70, 0.00, 0.00, 1
1.51764, 12.98, 3.54, 1.21, 73.00, 0.65, 8.53, 0.00, 0.00, 1
1.51793, 13.21, 3.48, 1.41, 72.64, 0.59, 8.43, 0.00, 0.00, 1
1.51721, 12.87, 3.48, 1.33, 73.04, 0.56, 8.43, 0.00, 0.00, 1
1.51784, 13.08, 3.49, 1.28, 72.86, 0.60, 8.49, 0.00, 0.00, 1
1.51775, 12.85, 3.48, 1.23, 72.97, 0.61, 8.56, 0.09, 0.22, 1
1.51753, 12.57, 3.47, 1.38, 73.39, 0.60, 8.55, 0.00, 0.06, 1
1.51909, 13.89, 3.53, 1.32, 71.81, 0.51, 8.78, 0.11, 0.00, 1
1.52213, 14.21, 3.82, 0.47, 71.77, 0.11, 9.57, 0.00, 0.00, 1
1.52210, 13.73, 3.84, 0.72, 71.76, 0.17, 9.74, 0.00, 0.00, 1
1.51900, 13.49, 3.48, 1.35, 71.95, 0.55, 9.00, 0.00, 0.00, 1
1.52667, 13.99, 3.70, 0.71, 71.57, 0.02, 9.82, 0.00, 0.10, 1
1.52223, 13.21, 3.77, 0.79, 71.99, 0.13, 10.02, 0.00, 0.00, 1
1.51898, 13.58, 3.35, 1.23, 72.08, 0.59, 8.91, 0.00, 0.00, 1
1.52320, 13.72, 3.72, 0.51, 71.75, 0.09, 10.06, 0.00, 0.16, 1
1.51926, 13.20, 3.33, 1.28, 72.36, 0.60, 9.14, 0.00, 0.11, 1
1.51837, 13.14, 2.84, 1.28, 72.85, 0.55, 9.07, 0.00, 0.00, 1
1.51778, 13.21, 2.81, 1.29, 72.98, 0.51, 9.02, 0.00, 0.09, 1
1.51769, 12.45, 2.71, 1.29, 73.70, 0.56, 9.06, 0.00, 0.24, 1
1.51215, 12.99, 3.47, 1.12, 72.98, 0.62, 8.35, 0.00, 0.31, 1
1.51905, 13.60, 3.62, 1.11, 72.64, 0.14, 8.76, 0.00, 0.00, 1
1.52227, 14.17, 3.81, 0.78, 71.35, 0.00, 9.69, 0.00, 0.00, 1
1.52172, 13.48, 3.74, 0.90, 72.01, 0.18, 9.61, 0.00, 0.07, 1
1.52099, 13.69, 3.59, 1.12, 71.96, 0.09, 9.40, 0.00, 0.00, 1
1.52152, 13.05, 3.65, 0.87, 72.32, 0.19, 9.85, 0.00, 0.17, 1
1.52152, 13.12, 3.58, 0.90, 72.20, 0.23, 9.82, 0.00, 0.16, 1
1.52300, 13.31, 3.58, 0.82, 71.99, 0.12, 10.17, 0.00, 0.03, 1
1.51574, 14.86, 3.67, 1.74, 71.87, 0.16, 7.36, 0.00, 0.12, 2
1.51593, 13.09, 3.59, 1.52, 73.10, 0.67, 7.83, 0.00, 0.00, 2
