@relation Glass_Identification_Database
@attribute RI real [1.51115, 1.53393]
@attribute Na real [10.73, 17.38]
@attribute Mg real [0.0, 4.49]
@attribute Al real [0.29, 3.5]
@attribute Si real [69.81, 75.41]
@attribute K real [0.0, 6.21]
@attribute Ca real [5.43, 16.19]
@attribute Ba real [0.0, 3.15]
@attribute Fe real [0.0, 0.51]
@attribute typeGlass {1, 2, 3, 4, 5, 6, 7}
@inputs RI, Na, Mg, Al, Si, K, Ca, Ba, Fe
@outputs typeGlass
@data
1.51618, 13.53, 3.55, 1.54, 72.99, 0.39, 7.78, 0.00, 0.00, 1
1.51766, 13.21, 3.69, 1.29, 72.61, 0.57, 8.22, 0.00, 0.00, 1
1.51742, 13.27, 3.62, 1.24, 73.08, 0.55, 8.07, 0.00, 0.00, 1
1.51596, 12.79, 3.61, 1.62, 72.97, 0.64, 8.07, 0.00, 0.26, 1
1.51755, 13.00, 3.60, 1.36, 72.99, 0.57, 8.40, 0.00, 0.11, 1
1.51589, 12.88, 3.43, 1.40, 73.28, 0.69, 8.05, 0.00, 0.24, 1
1.51748, 12.86, 3.56, 1.27, 73.21, 0.54, 8.38, 0.00, 0.17, 1
1.51763, 12.61, 3.59, 1.31, 73.29, 0.58, 8.50, 0.00, 0.00, 1
1.51911, 13.90, 3.73, 1.18, 72.12, 0.06, 8.89, 0.00, 0.00, 1
1.51966, 14.77, 3.75, 0.29, 72.02, 0.03, 9.00, 0.00, 0.00, 1
1.51764, 12.98, 3.54, 1.21, 73.00, 0.65, 8.53, 0.00, 0.00, 1
1.51793, 13.21, 3.48, 1.41, 72.64, 0.59, 8.43, 0.00, 0.00, 1
1.51721, 12.87, 3.48, 1.33, 73.04, 0.56, 8.43, 0.00, 0.00, 1
1.51768, 12.56, 3.52, 1.43, 73.15, 0.57, 8.54, 0.00, 0.00, 1
1.51784, 13.08, 3.49, 1.28, 72.86, 0.60, 8.49, 0.00, 0.00, 1
1.51768, 12.65, 3.56, 1.30, 73.08, 0.61, 8.69, 0.00, 0.14, 1
1.51775, 12.85, 3.48, 1.23, 72.97, 0.61, 8.56, 0.09, 0.22, 1
1.52213, 14.21, 3.82, 0.47, 71.77, 0.11, 9.57, 0.00, 0.00, 1
1.51755, 12.71, 3.42, 1.20, 73.20, 0.59, 8.64, 0.00, 0.00, 1
1.51779, 13.21, 3.39, 1.33, 72.76, 0.59, 8.59, 0.00, 0.00, 1
1.51786, 12.73, 3.43, 1.19, 72.95, 0.62, 8.76, 0.00, 0.30, 1
1.51900, 13.49, 3.48, 1.35, 71.95, 0.55, 9.00, 0.00, 0.00, 1
1.51898, 13.58, 3.35, 1.23, 72.08, 0.59, 8.91, 0.00, 0.00, 1
1.51808, 13.43, 2.87, 1.19, 72.84, 0.55, 9.03, 0.00, 0.00, 1
1.51769, 12.45, 2.71, 1.29, 73.70, 0.56, 9.06, 0.00, 0.24, 1
1.51215, 12.99, 3.47, 1.12, 72.98, 0.62, 8.35, 0.00, 0.31, 1
1.51754, 13.48, 3.74, 1.17, 72.99, 0.59, 8.03, 0.00, 0.00, 1
1.51754, 13.39, 3.66, 1.19, 72.79, 0.57, 8.27, 0.00, 0.11, 1
1.52227, 14.17, 3.81, 0.78, 71.35, 0.00, 9.69, 0.00, 0.00, 1
1.52172, 13.48, 3.74, 0.90, 72.01, 0.18, 9.61, 0.00, 0.07, 1
1.52099, 13.69, 3.59, 1.12, 71.96, 0.09, 9.40, 0.00, 0.00, 1
1.52152, 13.05, 3.65, 0.87, 72.22, 0.19, 9.85, 0.00, 0.17, 1
1.52152, 13.05, 3.65, 0.87, 72.32, 0.19, 9.85, 0.00, 0.17, 1
1.52152, 13.12, 3.58, 0.90, 72.20, 0.23, 9.82, 0.00, 0.16, 1
1.52300, 13.31, 3.58, 0.82, 71.99, 0.12, 10.17, 0.00, 0.03, 1
1.51627, 13.00, 3.58, 1.54, 72.83, 0.61, 8.04, 0.00, 0.00, 2
1.51592, 12.86, 3.52, 2.12, 72.66, 0.69, 7.97, 0.00, 0.00, 2
1.51594, 13.09, 3.52, 1.55, 72.87, 0.68, 8.05, 0.00, 0.09, 2
1.51625, 13.36, 3.58, 1.49, 72.72, 0.45, 8.21, 0.00, 0.00, 2
1.51569, 13.24, 3.49, 1.47, 73.25, 0.38, 8.03, 0.00, 0.00, 2
1.51645, 13.40, 3.49, 1.52, 72.65, 0.67, 8.08, 0.00, 0.10, 2
1.51841, 12.93, 3.74, 1.11, 72.28, 0.64, 8.96, 0.00, 0.22, 2
1.51590, 13.24, 3.34, 1.47, 73.10, 0.39, 8.22, 0.00, 0.00, 2
1.51629, 12.71, 3.33, 1.49, 73.28, 0.67, 8.24, 0.00, 0.00, 2
