@relation  glass
@attribute RI real[1.51115,1.53393]
@attribute Na real[10.73,17.38]
@attribute Mg real[0.0,4.49]
@attribute Al real[0.29,3.5]
@attribute Si real[69.81,75.41]
@attribute K real[0.0,6.21]
@attribute Ca real[5.43,16.19]
@attribute Ba real[0.0,3.15]
@attribute Fe real[0.0,0.51]
@attribute typeGlass{1,2,3,4,5,6,7}
@inputs RI,Na,Mg,Al,Si,K,Ca,Ba,Fe
@outputs typeGlass
@data
1.51823458, 12.8713, 3.47975, 1.29152, 72.9516, 0.60237, 8.43204, 0.0, 0.0, 1
1.52320062, 13.7225, 3.72221, 0.51149, 71.7476, 0.08694, 10.568, 0.0, 0.0816, 1
1.51734616, 13.0176, 3.53812, 1.68956, 72.7276, 0.54027, 8.4428, 0.0, 0.0357, 1
1.52099096, 13.68925, 3.592, 1.12139, 71.9604, 0.08694, 9.40044, 0.0, 0.0, 1
1.51755118, 12.7117, 3.42138, 1.19843, 73.198, 0.58995, 8.63648, 0.0, 0.0, 1
1.51837126, 13.1373, 2.84217, 1.27868, 72.8508, 0.55269, 9.06688, 0.0, 0.0, 1
1.51761952, 13.88875, 3.60098, 1.35893, 72.7276, 0.47817, 7.82948, 0.0, 0.0, 1
1.51841682, 13.0176, 3.61894, 1.0604, 72.3412, 0.63963, 9.13144, 0.0, 0.0765, 2
1.51408862, 14.24785, 3.08912, 2.08118, 72.2796, 1.09917, 7.07628, 0.0, 0.0, 2
1.51689056, 12.6718, 2.87809, 1.70882, 73.2092, 0.73278, 8.53964, 0.0, 0.0, 2
1.51818902, 12.6186, 2.76135, 0.82928, 73.8084, 0.34776, 9.42196, 0.0, 0.102, 2
1.52613924, 13.70255, 0.0, 1.35893, 71.238, 0.19251, 13.43544, 0.0, 0.051, 2
1.51848516, 13.6427, 3.87038, 1.26905, 71.9604, 0.54027, 8.32444, 0.0, 0.1632, 2
1.52725546, 13.8023, 3.15198, 0.65915, 70.5716, 0.08073, 11.63852, 0.0, 0.0, 2
1.51711836, 12.89125, 3.61894, 1.57079, 72.9572, 0.60858, 8.10924, 0.0, 0.0, 2
1.51663998, 13.1373, 3.44832, 1.76018, 72.4812, 0.60237, 8.37824, 0.0, 0.0867, 3
1.52126432, 14.321, 3.90181, 0.82928, 71.5012, 0.0, 9.48652, 0.0, 0.0, 3
1.51666276, 12.858, 0.0, 1.8308, 73.8812, 0.96876, 10.17516, 0.0, 0.0, 5
1.51315464, 13.0176, 0.0, 3.04097, 70.482, 6.21, 6.95792, 0.0, 0.0, 5
1.51853072, 14.08825, 2.19112, 1.66067, 72.6716, 0.0, 9.32512, 0.0, 0.0, 6
1.51130946, 13.68925, 3.20137, 1.81154, 72.8116, 1.75743, 5.43, 1.1907, 0.0, 7
1.51622994, 14.14145, 0.0, 2.88047, 72.61, 0.08073, 9.18524, 1.06155, 0.0, 7
1.52247166, 14.85965, 2.2001, 2.05871, 70.258, 0.75762, 9.75552, 0.0, 0.0, 7
