@relation Glass_Identification_Database
@attribute RI real [1.51115, 1.53393]
@attribute Na real [10.73, 17.38]
@attribute Mg real [0.0, 4.49]
@attribute Al real [0.29, 3.5]
@attribute Si real [69.81, 75.41]
@attribute K real [0.0, 6.21]
@attribute Ca real [5.43, 16.19]
@attribute Ba real [0.0, 3.15]
@attribute Fe real [0.0, 0.51]
@attribute typeGlass {1, 2, 3, 4, 5, 6, 7}
@inputs RI, Na, Mg, Al, Si, K, Ca, Ba, Fe
@outputs typeGlass
@data
1.52101, 13.64, 4.49, 1.10, 71.78, 0.06, 8.75, 0.00, 0.00, 1
1.51761, 13.89, 3.60, 1.36, 72.73, 0.48, 7.83, 0.00, 0.00, 1
1.51743, 13.30, 3.60, 1.14, 73.09, 0.58, 8.17, 0.00, 0.00, 1
1.51756, 13.15, 3.61, 1.05, 73.24, 0.57, 8.24, 0.00, 0.00, 1
1.51918, 14.04, 3.58, 1.37, 72.08, 0.56, 8.30, 0.00, 0.00, 1
1.51571, 12.72, 3.46, 1.56, 73.20, 0.67, 8.09, 0.00, 0.24, 1
1.51763, 12.80, 3.66, 1.27, 73.01, 0.60, 8.56, 0.00, 0.00, 1
1.51761, 12.81, 3.54, 1.23, 73.24, 0.58, 8.39, 0.00, 0.00, 1
1.51784, 12.68, 3.67, 1.16, 73.11, 0.61, 8.70, 0.00, 0.00, 1
1.52196, 14.36, 3.85, 0.89, 71.36, 0.15, 9.15, 0.00, 0.00, 1
1.51735, 13.02, 3.54, 1.69, 72.73, 0.54, 8.44, 0.00, 0.07, 1
1.51750, 12.82, 3.55, 1.49, 72.75, 0.54, 8.52, 0.00, 0.19, 1
1.51736, 12.78, 3.62, 1.29, 72.79, 0.59, 8.70, 0.00, 0.00, 1
1.51751, 12.81, 3.57, 1.35, 73.02, 0.62, 8.59, 0.00, 0.00, 1
1.51720, 13.38, 3.50, 1.15, 72.85, 0.50, 8.43, 0.00, 0.00, 1
1.51747, 12.84, 3.50, 1.14, 73.27, 0.56, 8.55, 0.00, 0.00, 1
1.51753, 12.57, 3.47, 1.38, 73.39, 0.60, 8.55, 0.00, 0.06, 1
1.51783, 12.69, 3.54, 1.34, 72.95, 0.57, 8.75, 0.00, 0.00, 1
1.51567, 13.29, 3.45, 1.21, 72.74, 0.56, 8.57, 0.00, 0.00, 1
1.51909, 13.89, 3.53, 1.32, 71.81, 0.51, 8.78, 0.11, 0.00, 1
