@relation abalone9-18
@attribute Sex {M, F, I}
@attribute Length real [0.075, 0.815]
@attribute Diameter real [0.055, 0.65]
@attribute Height real [0.0, 1.13]
@attribute Whole_weight real [0.0020, 2.8255]
@attribute Shucked_weight real [0.0010, 1.488]
@attribute Viscera_weight real [5.0E-4, 0.76]
@attribute Shell_weight real [0.0015, 1.005]
@attribute Class {positive, negative}
@inputs Sex, Length, Diameter, Height, Whole_weight, Shucked_weight, Viscera_weight, Shell_weight
@outputs Class
@data
M, 0.355, 0.29, 0.09, 0.3275, 0.134, 0.086, 0.09, negative
F, 0.525, 0.425, 0.16, 0.8355, 0.3545, 0.2135, 0.245, negative
I, 0.435, 0.32, 0.08, 0.3325, 0.1485, 0.0635, 0.105, negative
F, 0.585, 0.46, 0.17, 0.9325, 0.365, 0.271, 0.29, negative
F, 0.45, 0.345, 0.12, 0.4165, 0.1655, 0.095, 0.135, negative
F, 0.49, 0.375, 0.15, 0.5755, 0.22, 0.144, 0.19, negative
F, 0.5, 0.37, 0.135, 0.45, 0.1715, 0.1055, 0.155, negative
F, 0.58, 0.455, 0.155, 0.8365, 0.315, 0.1385, 0.32, positive
F, 0.645, 0.525, 0.19, 1.8085, 0.7035, 0.3885, 0.395, positive
M, 0.605, 0.49, 0.18, 1.227, 0.48, 0.287, 0.35, positive
F, 0.455, 0.37, 0.105, 0.4925, 0.216, 0.1245, 0.135, negative
I, 0.465, 0.375, 0.12, 0.471, 0.222, 0.119, 0.14, negative
M, 0.345, 0.27, 0.09, 0.195, 0.078, 0.0455, 0.059, negative
I, 0.65, 0.525, 0.18, 1.626, 0.597, 0.3445, 0.53, positive
M, 0.38, 0.29, 0.12, 0.283, 0.1175, 0.0655, 0.085, negative
M, 0.52, 0.385, 0.14, 0.6595, 0.2485, 0.2035, 0.16, negative
M, 0.455, 0.34, 0.135, 0.462, 0.1675, 0.158, 0.12, negative
F, 0.515, 0.39, 0.13, 0.5755, 0.1975, 0.13, 0.1845, negative
F, 0.505, 0.39, 0.16, 0.644, 0.2475, 0.2025, 0.1635, negative
M, 0.47, 0.37, 0.18, 0.51, 0.1915, 0.1285, 0.1625, negative
M, 0.555, 0.435, 0.145, 0.9685, 0.4985, 0.168, 0.2385, negative
M, 0.57, 0.455, 0.15, 0.952, 0.3895, 0.2155, 0.2745, negative
M, 0.615, 0.51, 0.15, 1.296, 0.545, 0.3315, 0.32, negative
F, 0.505, 0.39, 0.13, 0.674, 0.3165, 0.141, 0.1785, negative
F, 0.595, 0.46, 0.14, 1.0045, 0.4655, 0.2095, 0.2515, negative
M, 0.65, 0.495, 0.16, 1.304, 0.57, 0.312, 0.3725, negative
F, 0.655, 0.46, 0.16, 1.494, 0.6895, 0.331, 0.1825, negative
I, 0.51, 0.4, 0.125, 0.5575, 0.2615, 0.1195, 0.1525, negative
I, 0.535, 0.39, 0.125, 0.599, 0.2595, 0.149, 0.169, negative
F, 0.58, 0.45, 0.155, 0.93, 0.385, 0.246, 0.265, negative
M, 0.585, 0.46, 0.145, 0.9335, 0.478, 0.1825, 0.235, negative
F, 0.6, 0.475, 0.16, 1.0265, 0.485, 0.2495, 0.2565, negative
M, 0.61, 0.47, 0.165, 1.052, 0.498, 0.242, 0.267, negative
I, 0.665, 0.5, 0.17, 1.2975, 0.6035, 0.291, 0.3595, negative
F, 0.69, 0.54, 0.155, 1.454, 0.624, 0.3105, 0.39, negative
M, 0.7, 0.565, 0.18, 1.751, 0.895, 0.3355, 0.446, negative
I, 0.45, 0.33, 0.105, 0.448, 0.208, 0.089, 0.12, negative
I, 0.52, 0.395, 0.125, 0.663, 0.3005, 0.131, 0.1905, negative
I, 0.525, 0.4, 0.125, 0.6965, 0.369, 0.1385, 0.164, negative
I, 0.535, 0.4, 0.135, 0.6025, 0.2895, 0.121, 0.154, negative
F, 0.535, 0.41, 0.13, 0.7145, 0.335, 0.144, 0.2075, negative
I, 0.54, 0.42, 0.14, 0.7265, 0.3205, 0.1445, 0.229, negative
I, 0.55, 0.425, 0.135, 0.7305, 0.3325, 0.1545, 0.215, negative
M, 0.555, 0.44, 0.14, 0.8705, 0.407, 0.156, 0.255, negative
F, 0.57, 0.46, 0.135, 0.9795, 0.397, 0.2525, 0.2655, negative
F, 0.605, 0.475, 0.175, 1.076, 0.463, 0.2195, 0.335, negative
F, 0.625, 0.515, 0.16, 1.264, 0.5715, 0.326, 0.321, negative
F, 0.635, 0.495, 0.175, 1.211, 0.707, 0.2725, 0.323, negative
I, 0.44, 0.365, 0.11, 0.4465, 0.213, 0.089, 0.1135, negative
I, 0.53, 0.43, 0.13, 0.7045, 0.346, 0.1415, 0.189, negative
F, 0.59, 0.465, 0.15, 1.151, 0.613, 0.239, 0.2515, negative
F, 0.595, 0.455, 0.16, 1.04, 0.452, 0.2655, 0.288, negative
M, 0.63, 0.455, 0.15, 1.1315, 0.481, 0.2745, 0.305, negative
F, 0.64, 0.515, 0.205, 1.5335, 0.6635, 0.3345, 0.4025, negative
I, 0.54, 0.43, 0.17, 0.836, 0.3725, 0.1815, 0.24, negative
I, 0.545, 0.4, 0.13, 0.686, 0.3285, 0.1455, 0.18, negative
F, 0.565, 0.44, 0.15, 0.863, 0.435, 0.149, 0.27, negative
I, 0.575, 0.445, 0.17, 0.8015, 0.3475, 0.1465, 0.25, negative
I, 0.605, 0.47, 0.145, 0.8025, 0.379, 0.2265, 0.22, negative
M, 0.61, 0.47, 0.17, 1.1185, 0.5225, 0.2405, 0.31, negative
M, 0.65, 0.51, 0.16, 1.3835, 0.6385, 0.2905, 0.3665, negative
F, 0.655, 0.51, 0.15, 1.043, 0.4795, 0.223, 0.305, negative
M, 0.485, 0.37, 0.155, 0.968, 0.419, 0.2455, 0.2365, negative
I, 0.485, 0.345, 0.16, 0.869, 0.3085, 0.185, 0.319, negative
M, 0.5, 0.37, 0.15, 1.0615, 0.494, 0.223, 0.296, negative
F, 0.685, 0.535, 0.175, 1.5845, 0.7175, 0.3775, 0.4215, negative
I, 0.53, 0.405, 0.12, 0.632, 0.2715, 0.148, 0.1875, negative
F, 0.54, 0.425, 0.16, 0.9455, 0.3675, 0.2005, 0.295, negative
I, 0.565, 0.435, 0.145, 0.8445, 0.3975, 0.158, 0.255, negative
F, 0.575, 0.465, 0.175, 1.099, 0.4735, 0.202, 0.35, negative
F, 0.575, 0.43, 0.155, 0.7955, 0.3485, 0.1925, 0.22, negative
M, 0.62, 0.49, 0.15, 1.195, 0.4605, 0.302, 0.355, negative
I, 0.41, 0.31, 0.11, 0.315, 0.124, 0.082, 0.095, negative
M, 0.375, 0.29, 0.1, 0.276, 0.1175, 0.0565, 0.085, negative
I, 0.455, 0.37, 0.125, 0.433, 0.201, 0.1265, 0.145, negative
M, 0.44, 0.35, 0.11, 0.4585, 0.2, 0.0885, 0.13, negative
M, 0.455, 0.35, 0.105, 0.401, 0.1575, 0.083, 0.135, negative
F, 0.61, 0.45, 0.16, 1.136, 0.414, 0.311, 0.3, negative
M, 0.615, 0.48, 0.19, 1.36, 0.5305, 0.2375, 0.47, positive
M, 0.44, 0.375, 0.13, 0.487, 0.226, 0.0965, 0.155, negative
F, 0.5, 0.395, 0.15, 0.7145, 0.3235, 0.173, 0.195, negative
I, 0.42, 0.345, 0.115, 0.3435, 0.1515, 0.0795, 0.115, negative
F, 0.515, 0.42, 0.135, 0.6295, 0.2815, 0.127, 0.215, negative
I, 0.5, 0.395, 0.12, 0.537, 0.2165, 0.1085, 0.1785, negative
F, 0.37, 0.285, 0.105, 0.27, 0.1125, 0.0585, 0.0835, negative
M, 0.425, 0.325, 0.12, 0.3755, 0.142, 0.1065, 0.105, negative
M, 0.645, 0.485, 0.155, 1.489, 0.5915, 0.312, 0.38, positive
M, 0.4, 0.305, 0.13, 0.2935, 0.096, 0.0675, 0.105, negative
F, 0.33, 0.26, 0.08, 0.2, 0.0625, 0.05, 0.07, negative
M, 0.54, 0.42, 0.12, 0.8115, 0.392, 0.1455, 0.2235, negative
M, 0.59, 0.48, 0.16, 1.262, 0.5685, 0.2725, 0.335, negative
F, 0.595, 0.47, 0.155, 1.1775, 0.542, 0.269, 0.31, negative
F, 0.65, 0.5, 0.185, 1.4415, 0.741, 0.2955, 0.341, negative
M, 0.5, 0.38, 0.12, 0.5765, 0.273, 0.135, 0.145, negative
F, 0.615, 0.47, 0.155, 1.084, 0.5885, 0.209, 0.246, negative
M, 0.65, 0.515, 0.125, 1.1805, 0.5235, 0.283, 0.3275, negative
I, 0.505, 0.38, 0.135, 0.5385, 0.2645, 0.095, 0.165, negative
F, 0.575, 0.435, 0.155, 0.8975, 0.4115, 0.2325, 0.23, negative
M, 0.65, 0.52, 0.155, 1.368, 0.6185, 0.288, 0.365, negative
M, 0.59, 0.47, 0.155, 1.1735, 0.6245, 0.233, 0.2595, negative
F, 0.625, 0.485, 0.16, 1.254, 0.591, 0.259, 0.3485, negative
I, 0.46, 0.36, 0.14, 0.447, 0.161, 0.087, 0.16, negative
I, 0.505, 0.425, 0.125, 0.6115, 0.245, 0.1375, 0.2, negative
I, 0.51, 0.4, 0.145, 0.5775, 0.231, 0.143, 0.177, negative
M, 0.67, 0.525, 0.17, 1.4005, 0.715, 0.3025, 0.387, negative
F, 0.59, 0.44, 0.14, 1.007, 0.4775, 0.2105, 0.2925, negative
M, 0.61, 0.475, 0.175, 1.024, 0.409, 0.261, 0.322, negative
I, 0.455, 0.355, 0.105, 0.372, 0.138, 0.0765, 0.135, negative
M, 0.575, 0.47, 0.15, 0.9785, 0.4505, 0.196, 0.276, negative
F, 0.595, 0.46, 0.16, 0.921, 0.4005, 0.2025, 0.2875, negative
F, 0.64, 0.5, 0.15, 1.2015, 0.559, 0.231, 0.3355, negative
M, 0.575, 0.48, 0.15, 0.9465, 0.4355, 0.2605, 0.2505, negative
