@relation abalone9-18
@attribute Sex {M, F, I}
@attribute Length real [0.075, 0.815]
@attribute Diameter real [0.055, 0.65]
@attribute Height real [0.0, 1.13]
@attribute Whole_weight real [0.0020, 2.8255]
@attribute Shucked_weight real [0.0010, 1.488]
@attribute Viscera_weight real [5.0E-4, 0.76]
@attribute Shell_weight real [0.0015, 1.005]
@attribute Class {positive, negative}
@inputs Sex, Length, Diameter, Height, Whole_weight, Shucked_weight, Viscera_weight, Shell_weight
@outputs Class
@data
M, 0.665, 0.525, 0.165, 1.338, 0.5515, 0.3575, 0.35, positive
F, 0.45, 0.335, 0.105, 0.425, 0.1865, 0.091, 0.115, negative
M, 0.465, 0.36, 0.105, 0.431, 0.172, 0.107, 0.175, negative
I, 0.435, 0.32, 0.08, 0.3325, 0.1485, 0.0635, 0.105, negative
M, 0.425, 0.35, 0.105, 0.393, 0.13, 0.063, 0.165, negative
F, 0.44, 0.35, 0.125, 0.4035, 0.175, 0.063, 0.129, negative
M, 0.375, 0.285, 0.095, 0.253, 0.096, 0.0575, 0.0925, negative
F, 0.725, 0.56, 0.21, 2.141, 0.65, 0.398, 1.005, positive
I, 0.36, 0.275, 0.085, 0.1975, 0.0745, 0.0415, 0.07, negative
F, 0.405, 0.305, 0.095, 0.3485, 0.1455, 0.0895, 0.1, negative
M, 0.58, 0.455, 0.17, 0.93, 0.408, 0.259, 0.22, negative
F, 0.57, 0.45, 0.175, 0.9555, 0.38, 0.1665, 0.295, positive
M, 0.39, 0.3, 0.09, 0.3055, 0.143, 0.0645, 0.085, negative
M, 0.4, 0.29, 0.115, 0.2795, 0.1115, 0.0575, 0.075, negative
M, 0.345, 0.27, 0.09, 0.195, 0.078, 0.0455, 0.059, negative
I, 0.485, 0.38, 0.14, 0.673, 0.2175, 0.13, 0.195, positive
M, 0.48, 0.375, 0.145, 0.777, 0.216, 0.13, 0.17, negative
M, 0.35, 0.255, 0.08, 0.1915, 0.08, 0.0385, 0.063, negative
M, 0.525, 0.425, 0.12, 0.8665, 0.2825, 0.176, 0.29, positive
F, 0.515, 0.39, 0.13, 0.5755, 0.1975, 0.13, 0.1845, negative
M, 0.44, 0.335, 0.11, 0.394, 0.157, 0.096, 0.122, negative
F, 0.495, 0.41, 0.125, 0.7555, 0.3355, 0.129, 0.214, negative
M, 0.5, 0.4, 0.125, 0.5975, 0.27, 0.1275, 0.166, negative
M, 0.57, 0.455, 0.15, 0.952, 0.3895, 0.2155, 0.2745, negative
F, 0.575, 0.46, 0.16, 1.103, 0.538, 0.221, 0.249, negative
F, 0.605, 0.49, 0.15, 1.1345, 0.5265, 0.2645, 0.295, negative
M, 0.525, 0.405, 0.12, 0.7555, 0.3755, 0.1555, 0.201, negative
I, 0.535, 0.39, 0.125, 0.599, 0.2595, 0.149, 0.169, negative
F, 0.565, 0.45, 0.175, 1.0095, 0.447, 0.2375, 0.2645, negative
M, 0.57, 0.46, 0.15, 1.0375, 0.5415, 0.2035, 0.25, negative
