@relation abalone9-18
@attribute Sex {M, F, I}
@attribute Length real [0.075, 0.815]
@attribute Diameter real [0.055, 0.65]
@attribute Height real [0.0, 1.13]
@attribute Whole_weight real [0.0020, 2.8255]
@attribute Shucked_weight real [0.0010, 1.488]
@attribute Viscera_weight real [5.0E-4, 0.76]
@attribute Shell_weight real [0.0015, 1.005]
@attribute Class {positive, negative}
@inputs Sex, Length, Diameter, Height, Whole_weight, Shucked_weight, Viscera_weight, Shell_weight
@outputs Class
@data
F, 0.525, 0.425, 0.16, 0.8355, 0.3545, 0.2135, 0.245, negative
M, 0.595, 0.475, 0.14, 0.944, 0.3625, 0.189, 0.315, negative
F, 0.47, 0.365, 0.105, 0.4205, 0.163, 0.1035, 0.14, negative
M, 0.71, 0.54, 0.165, 1.959, 0.7665, 0.261, 0.78, positive
M, 0.5, 0.405, 0.14, 0.6155, 0.241, 0.1355, 0.205, negative
F, 0.5, 0.37, 0.135, 0.45, 0.1715, 0.1055, 0.155, negative
M, 0.61, 0.5, 0.24, 1.642, 0.532, 0.3345, 0.69, positive
F, 0.525, 0.42, 0.16, 0.756, 0.2745, 0.173, 0.275, negative
F, 0.485, 0.365, 0.12, 0.5885, 0.27, 0.131, 0.175, negative
F, 0.575, 0.45, 0.17, 1.0475, 0.3775, 0.1705, 0.385, positive
I, 0.525, 0.41, 0.175, 0.874, 0.3585, 0.207, 0.205, positive
I, 0.47, 0.36, 0.13, 0.5225, 0.198, 0.1065, 0.165, negative
M, 0.36, 0.295, 0.1, 0.2105, 0.066, 0.0525, 0.075, negative
M, 0.555, 0.435, 0.145, 0.9685, 0.4985, 0.168, 0.2385, negative
M, 0.62, 0.5, 0.165, 1.307, 0.6355, 0.2545, 0.315, negative
F, 0.675, 0.525, 0.155, 1.4785, 0.628, 0.3405, 0.42, negative
F, 0.55, 0.43, 0.14, 0.8105, 0.368, 0.161, 0.275, negative
F, 0.595, 0.46, 0.14, 1.0045, 0.4655, 0.2095, 0.2515, negative
M, 0.595, 0.455, 0.15, 1.044, 0.518, 0.2205, 0.27, negative
M, 0.605, 0.475, 0.155, 1.161, 0.572, 0.2455, 0.275, negative
F, 0.655, 0.46, 0.16, 1.494, 0.6895, 0.331, 0.1825, negative
I, 0.5, 0.375, 0.12, 0.542, 0.215, 0.116, 0.17, negative
F, 0.575, 0.47, 0.165, 0.869, 0.435, 0.197, 0.238, negative
M, 0.575, 0.455, 0.135, 0.907, 0.4245, 0.197, 0.26, negative
F, 0.605, 0.47, 0.165, 1.1775, 0.611, 0.2275, 0.292, negative
F, 0.615, 0.475, 0.155, 1.027, 0.447, 0.25, 0.285, negative
F, 0.625, 0.485, 0.175, 1.3745, 0.7335, 0.2715, 0.332, negative
F, 0.69, 0.53, 0.17, 1.5535, 0.7945, 0.3485, 0.3695, negative
I, 0.45, 0.33, 0.105, 0.448, 0.208, 0.089, 0.12, negative
I, 0.525, 0.4, 0.125, 0.6965, 0.369, 0.1385, 0.164, negative
I, 0.53, 0.415, 0.13, 0.694, 0.3905, 0.111, 0.167, negative
I, 0.53, 0.415, 0.11, 0.5745, 0.2525, 0.1235, 0.189, negative
I, 0.53, 0.425, 0.13, 0.7675, 0.419, 0.1205, 0.21, negative
F, 0.535, 0.41, 0.13, 0.7145, 0.335, 0.144, 0.2075, negative
I, 0.555, 0.43, 0.14, 0.7665, 0.341, 0.165, 0.23, negative
I, 0.56, 0.425, 0.135, 0.8205, 0.3715, 0.185, 0.236, negative
M, 0.57, 0.435, 0.125, 0.8965, 0.383, 0.1835, 0.275, negative
I, 0.59, 0.445, 0.135, 0.7715, 0.328, 0.1745, 0.23, negative
M, 0.59, 0.47, 0.18, 1.187, 0.5985, 0.227, 0.31, negative
F, 0.635, 0.495, 0.175, 1.211, 0.707, 0.2725, 0.323, negative
M, 0.685, 0.545, 0.205, 1.7925, 0.8145, 0.416, 0.461, negative
I, 0.44, 0.365, 0.11, 0.4465, 0.213, 0.089, 0.1135, negative
F, 0.59, 0.465, 0.15, 1.151, 0.613, 0.239, 0.2515, negative
