@relation abalone9-18
@attribute Sex {M, F, I}
@attribute Length real [0.075, 0.815]
@attribute Diameter real [0.055, 0.65]
@attribute Height real [0.0, 1.13]
@attribute Whole_weight real [0.0020, 2.8255]
@attribute Shucked_weight real [0.0010, 1.488]
@attribute Viscera_weight real [5.0E-4, 0.76]
@attribute Shell_weight real [0.0015, 1.005]
@attribute Class {positive, negative}
@inputs Sex, Length, Diameter, Height, Whole_weight, Shucked_weight, Viscera_weight, Shell_weight
@outputs Class
@data
F, 0.53, 0.42, 0.135, 0.677, 0.2565, 0.1415, 0.21, negative
M, 0.475, 0.37, 0.125, 0.5095, 0.2165, 0.1125, 0.165, negative
F, 0.55, 0.415, 0.135, 0.7635, 0.318, 0.21, 0.2, negative
M, 0.47, 0.37, 0.12, 0.5795, 0.293, 0.227, 0.14, negative
F, 0.575, 0.445, 0.14, 0.941, 0.3845, 0.252, 0.285, negative
M, 0.535, 0.435, 0.15, 0.725, 0.269, 0.1385, 0.25, negative
F, 0.51, 0.39, 0.135, 0.6335, 0.231, 0.179, 0.2, negative
M, 0.495, 0.395, 0.125, 0.5415, 0.2375, 0.1345, 0.155, negative
M, 0.47, 0.39, 0.15, 0.6355, 0.2185, 0.0885, 0.255, negative
F, 0.645, 0.525, 0.19, 1.8085, 0.7035, 0.3885, 0.395, positive
I, 0.365, 0.295, 0.095, 0.25, 0.1075, 0.0545, 0.08, negative
M, 0.565, 0.455, 0.17, 0.9065, 0.342, 0.156, 0.32, positive
F, 0.53, 0.44, 0.135, 0.7835, 0.313, 0.1715, 0.2185, negative
F, 0.465, 0.35, 0.115, 0.421, 0.1565, 0.091, 0.1345, negative
F, 0.435, 0.335, 0.11, 0.38, 0.1695, 0.086, 0.11, negative
F, 0.37, 0.29, 0.115, 0.25, 0.111, 0.057, 0.075, negative
F, 0.55, 0.43, 0.14, 0.7135, 0.2565, 0.186, 0.225, negative
I, 0.495, 0.37, 0.125, 0.4775, 0.185, 0.0705, 0.169, positive
F, 0.475, 0.36, 0.125, 0.447, 0.1695, 0.081, 0.14, negative
I, 0.65, 0.525, 0.18, 1.626, 0.597, 0.3445, 0.53, positive
M, 0.4, 0.3, 0.125, 0.417, 0.191, 0.09, 0.1175, negative
