@relation ecoli
@attribute Mcg real[0.0,89.0]
@attribute Gvh real[1.0,88.0]
@attribute Lip real[1.0,48.0]
@attribute Chg real[1.0,5.0]
@attribute Aac real[0.0,88.0]
@attribute Alm1 real[1.0,94.0]
@attribute Alm2 real[0.0,99.0]
@attribute Site {cp,im,imS,imL,imU,om,omL,pp, unlabeled}
@inputs Mcg, Gvh, Lip, Chg, Aac, Alm1, Alm2
@output Site
@data
2.0, 44.0, 48.0, 5.0, 46.0, 51.0, 57.00000000000001, cp
72.0, 46.0, 48.0, 5.0, 51.0, 66.0, 7.0, im
32.0, 42.0, 48.0, 5.0, 35.0, 28.000000000000004, 38.0, cp
25.0, 37.0, 48.0, 5.0, 43.0, 26.0, 36.0, cp
83.0, 37.0, 48.0, 5.0, 61.00000000000001, 71.0, 74.0, im
36.0, 41.0, 48.0, 5.0, 48.0, 47.0, 53.99999999999999, cp
35.0, 48.0, 48.0, 5.0, 56.0, 4.0, 48.0, cp
58.99999999999999, 56.0, 48.0, 5.0, 55.0, 8.0, 82.0, im
42.0, 35.0, 48.0, 5.0, 58.0, 15.0, 26.999999999999996, cp
75.0, 55.0, 1.0, 1.0, 4.0, 47.0, 3.0, imL
0.0, 51.0, 48.0, 5.0, 35.0, 67.0, 44.0, im
4.0, 46.0, 48.0, 5.0, 52.0, 49.0, 56.0, cp
4.0, 5.0, 48.0, 5.0, 45.0, 39.0, 47.0, cp
62.99999999999999, 83.0, 48.0, 5.0, 4.0, 39.0, 19.0, pp
74.0, 56.0, 48.0, 5.0, 47.0, 68.0, 3.0, pp
81.0, 51.99999999999999, 48.0, 5.0, 57.0, 78.0, 8.0, imU
39.0, 32.0, 48.0, 5.0, 46.0, 24.0, 35.0, cp
4.0, 35.0, 48.0, 5.0, 45.0, 33.0, 42.0, cp
44.0, 27.000000000000004, 48.0, 5.0, 55.0, 51.99999999999999, 58.0, cp
27.0, 35.0, 48.0, 5.0, 51.0, 77.0, 79.0, im
42.0, 38.0, 48.0, 5.0, 54.0, 34.0, 43.0, cp
23.000000000000004, 48.0, 48.0, 5.0, 59.0, 88.0, 89.0, im
68.0, 51.0, 48.0, 5.0, 71.0, 75.0, 78.0, im
29.0, 28.0, 48.0, 5.0, 44.0, 23.0, 34.0, cp
52.0, 54.0, 48.0, 5.0, 62.0, 76.0, 79.0, im
24.0, 57.0, 48.0, 5.0, 63.0, 34.0, 43.0, cp
25.0, 37.0, 48.0, 5.0, 41.0, 33.0, 42.0, cp
62.99999999999999, 65.0, 48.0, 5.0, 66.0, 67.0, 71.0, im
73.0, 84.0, 48.0, 5.0, 86.0, 58.0, 29.0, om
17.0, 38.0, 48.0, 5.0, 45.0, 42.0, 5.0, cp
34.0, 51.0, 48.0, 5.0, 67.0, 9.0, 9.0, im
26.0, 26.0, 48.0, 5.0, 34.0, 25.0, 35.0, cp
38.0, 3.0, 48.0, 5.0, 43.0, 29.0, 39.0, cp
54.0, 49.0, 48.0, 5.0, 4.0, 87.0, 88.0, im
46.99999999999999, 59.0, 48.0, 5.0, 52.0, 76.0, 79.0, im
68.0, 82.0, 48.0, 5.0, 38.0, 65.0, 56.0, pp
34.0, 28.0, 48.0, 5.0, 41.0, 35.0, 44.0, cp
73.0, 36.0, 48.0, 5.0, 53.0, 91.0, 92.0, im
71.0, 51.99999999999999, 48.0, 5.0, 64.0, 1.0, 99.0, im
5.0, 66.0, 48.0, 5.0, 31.0, 92.0, 92.0, im
53.0, 38.0, 48.0, 5.0, 44.0, 26.0, 36.0, cp
76.0, 71.0, 48.0, 5.0, 5.0, 71.0, 75.0, imU
65.0, 47.0, 48.0, 5.0, 59.0, 3.0, 4.0, cp
43.0, 4.0, 48.0, 5.0, 58.0, 75.0, 78.0, im
37.0, 51.99999999999999, 48.0, 5.0, 42.0, 42.0, 36.0, cp
34.0, 67.0, 48.0, 5.0, 52.0, 76.0, 79.0, im
36.0, 45.00000000000001, 48.0, 5.0, 38.0, 79.0, 17.0, im
48.0, 41.0, 48.0, 5.0, 51.0, 9.0, 88.0, im
35.0, 34.0, 48.0, 5.0, 46.0, 3.0, 26.999999999999996, cp
62.99999999999999, 47.0, 48.0, 5.0, 51.0, 82.0, 84.0, im
69.0, 59.0, 48.0, 5.0, 77.0, 39.0, 21.0, om
43.0, 39.0, 48.0, 5.0, 47.0, 31.0, 41.0, cp
52.0, 44.0, 48.0, 5.0, 37.0, 36.0, 42.0, cp
12.0, 43.0, 48.0, 5.0, 63.0, 7.0, 74.0, im
27.0, 3.0, 48.0, 5.0, 71.0, 28.000000000000004, 39.0, cp
25.0, 48.0, 48.0, 5.0, 44.0, 17.0, 29.0, cp
57.0, 38.0, 48.0, 5.0, 6.0, 49.0, 33.0, imU
65.0, 57.0, 48.0, 5.0, 47.0, 47.0, 51.0, pp
37.0, 44.0, 48.0, 5.0, 42.0, 39.0, 47.0, cp
61.0, 6.0, 48.0, 5.0, 44.0, 39.0, 38.0, pp
26.0, 4.0, 48.0, 5.0, 36.0, 26.0, 37.0, cp
85.0, 53.00000000000001, 48.0, 5.0, 53.0, 51.99999999999999, 35.0, imS
41.0, 43.0, 48.0, 5.0, 45.0, 31.0, 41.0, cp
4.0, 45.00000000000001, 48.0, 5.0, 38.0, 22.0, 0.0, cp
3.0, 45.00000000000001, 48.0, 5.0, 36.0, 21.0, 32.0, cp
34.0, 51.0, 48.0, 5.0, 44.0, 37.0, 46.0, cp
77.0, 57.0, 1.0, 5.0, 37.0, 54.00000000000001, 1.0, omL
64.0, 84.0, 48.0, 5.0, 37.0, 45.0, 4.0, pp
36.0, 47.0, 48.0, 5.0, 51.0, 69.0, 72.0, im
24.0, 41.0, 48.0, 5.0, 48.99999999999999, 23.0, 34.0, cp
35.0, 37.0, 48.0, 5.0, 3.0, 34.0, 43.0, cp
76.0, 41.0, 48.0, 5.0, 5.0, 59.0, 62.0, imU
84.0, 49.0, 48.0, 5.0, 55.0, 78.0, 74.0, imU
38.0, 4.0, 48.0, 5.0, 63.0, 25.0, 35.0, cp
49.0, 61.00000000000001, 1.0, 5.0, 56.0, 71.0, 74.0, imU
68.0, 78.0, 48.0, 5.0, 43.0, 44.0, 42.0, pp
39.0, 41.0, 48.0, 5.0, 52.0, 72.0, 75.0, im
4.0, 46.0, 48.0, 5.0, 42.0, 35.0, 44.0, cp
31.0, 23.000000000000004, 48.0, 5.0, 73.0, 5.0, 14.0, cp
44.0, 34.0, 48.0, 5.0, 3.0, 33.0, 43.0, cp
61.0, 36.0, 48.0, 5.0, 48.99999999999999, 35.0, 44.0, cp
67.0, 81.0, 48.0, 5.0, 54.0, 49.0, 23.0, pp
25.0, 51.0, 48.0, 5.0, 37.0, 42.0, 5.0, cp
22.0, 43.0, 48.0, 5.0, 48.0, 16.0, 28.0, cp
65.0, 55.0, 48.0, 5.0, 34.0, 37.0, 28.0, cp
7.0, 4.0, 48.0, 5.0, 56.0, 86.0, 83.0, im
44.0, 51.99999999999999, 48.0, 5.0, 43.0, 47.0, 53.99999999999999, im
53.0, 42.0, 48.0, 5.0, 16.0, 29.0, 39.0, cp
66.0, 71.0, 48.0, 5.0, 41.0, 5.0, 35.0, pp
66.0, 74.0, 48.0, 5.0, 31.0, 38.0, 43.0, pp
16.0, 51.0, 48.0, 5.0, 33.0, 39.0, 48.0, im
24.0, 35.0, 48.0, 5.0, 31.0, 19.0, 31.0, cp
29.0, 51.99999999999999, 48.0, 5.0, 42.0, 29.0, 39.0, cp
75.0, 76.0, 48.0, 5.0, 83.0, 57.0, 3.0, om
4.0, 29.0, 48.0, 5.0, 42.0, 35.0, 44.0, cp
31.0, 47.0, 48.0, 5.0, 29.0, 28.000000000000004, 39.0, cp
67.0, 61.00000000000001, 48.0, 5.0, 51.0, 37.0, 38.0, pp
64.0, 72.0, 48.0, 5.0, 48.99999999999999, 42.0, 19.0, pp
21.0, 34.0, 48.0, 5.0, 51.0, 28.000000000000004, 39.0, cp
7.0, 53.00000000000001, 48.0, 5.0, 7.0, 86.0, 87.0, imU
62.99999999999999, 69.0, 48.0, 5.0, 65.0, 41.0, 28.0, om
69.0, 39.0, 48.0, 5.0, 57.0, 76.0, 79.0, im
52.0, 39.0, 48.0, 5.0, 65.0, 71.0, 73.0, im
71.0, 46.0, 1.0, 5.0, 52.0, 59.0, 3.0, omL
31.0, 36.0, 48.0, 5.0, 58.0, 94.0, 94.0, im
57.0, 54.0, 48.0, 5.0, 37.0, 28.000000000000004, 33.0, cp
62.99999999999999, 65.0, 48.0, 5.0, 39.0, 44.0, 35.0, pp
34.0, 42.0, 48.0, 5.0, 41.0, 34.0, 43.0, cp
41.0, 57.0, 48.0, 5.0, 39.0, 21.0, 32.0, cp
56.0, 68.0, 48.0, 5.0, 77.0, 36.0, 45.0, om
74.0, 49.0, 48.0, 5.0, 42.0, 54.00000000000001, 36.0, pp
66.0, 48.0, 48.0, 5.0, 54.0, 7.0, 74.0, imU
62.99999999999999, 42.0, 48.0, 5.0, 48.0, 77.0, 8.0, imU
69.0, 66.0, 48.0, 5.0, 41.0, 5.0, 25.0, pp
54.0, 57.0, 48.0, 5.0, 56.0, 81.0, 83.0, im
78.0, 68.0, 48.0, 5.0, 83.0, 4.0, 29.0, om
83.0, 48.0, 48.0, 5.0, 65.0, 76.0, 79.0, imU
41.0, 43.0, 48.0, 5.0, 5.0, 24.0, 25.0, cp
71.0, 71.0, 48.0, 5.0, 4.0, 54.00000000000001, 39.0, pp
28.0, 33.0, 48.0, 5.0, 45.0, 22.0, 33.0, cp
6.0, 61.00000000000001, 48.0, 5.0, 54.0, 67.0, 71.0, im
50.99999999999999, 4.0, 48.0, 5.0, 57.0, 62.0, 67.0, im
32.0, 33.0, 48.0, 5.0, 6.0, 6.0, 2.0, cp
58.0, 34.0, 48.0, 5.0, 56.0, 87.0, 81.0, im
37.0, 5.0, 48.0, 5.0, 42.0, 36.0, 45.0, cp
57.0, 59.0, 48.0, 5.0, 39.0, 47.0, 33.0, pp
33.0, 45.00000000000001, 48.0, 5.0, 52.0, 32.0, 41.0, cp
4.0, 5.0, 48.0, 5.0, 65.0, 82.0, 84.0, im
33.0, 45.00000000000001, 48.0, 5.0, 45.0, 88.0, 89.0, im
62.0, 83.0, 48.0, 5.0, 46.0, 36.0, 4.0, pp
