@relation ecoli
@attribute Mcg real[0.0,89.0]
@attribute Gvh real[1.0,88.0]
@attribute Lip real[1.0,48.0]
@attribute Chg real[1.0,5.0]
@attribute Aac real[0.0,88.0]
@attribute Alm1 real[1.0,94.0]
@attribute Alm2 real[0.0,99.0]
@attribute Site {cp,im,imS,imL,imU,om,omL,pp}
@inputs Mcg, Gvh, Lip, Chg, Aac, Alm1, Alm2
@output Site
@data
56.0, 4.0, 48.0, 5.0, 49.0, 37.0, 46.0, cp
51.0, 5.0, 48.0, 5.0, 46.0, 32.0, 35.0, cp
3.0, 16.0, 48.0, 5.0, 56.0, 11.0, 23.0, cp
38.0, 46.0, 48.0, 5.0, 48.0, 22.0, 29.0, cp
44.0, 35.0, 48.0, 5.0, 55.0, 55.0, 61.0, cp
29.0, 3.0, 48.0, 5.0, 45.0, 3.0, 17.0, cp
52.0, 36.0, 48.0, 5.0, 41.0, 28.0, 38.0, cp
24.0, 43.0, 48.0, 5.0, 54.0, 52.0, 59.0, cp
41.0, 48.0, 48.0, 5.0, 51.0, 44.0, 51.0, cp
29.0, 41.0, 48.0, 5.0, 48.0, 38.0, 46.0, cp
38.0, 26.0, 48.0, 5.0, 54.0, 16.0, 28.0, cp
24.0, 34.0, 48.0, 5.0, 38.0, 3.0, 4.0, cp
44.0, 49.0, 48.0, 5.0, 39.0, 38.0, 4.0, cp
49.0, 43.0, 48.0, 5.0, 49.0, 3.0, 4.0, cp
3.0, 37.0, 48.0, 5.0, 43.0, 18.0, 3.0, cp
84.0, 44.0, 48.0, 5.0, 48.0, 71.0, 74.0, im
33.0, 56.0, 48.0, 5.0, 33.0, 78.0, 8.0, im
64.0, 58.0, 48.0, 5.0, 48.0, 78.0, 73.0, im
66.0, 53.0, 48.0, 5.0, 59.0, 66.0, 66.0, im
63.0, 54.0, 48.0, 5.0, 65.0, 79.0, 81.0, im
6.0, 5.0, 1.0, 5.0, 54.0, 77.0, 8.0, im
11.0, 5.0, 48.0, 5.0, 58.0, 72.0, 68.0, im
7.0, 39.0, 1.0, 5.0, 51.0, 82.0, 84.0, imL
78.0, 33.0, 48.0, 5.0, 57.0, 77.0, 79.0, imU
59.0, 29.0, 48.0, 5.0, 64.0, 75.0, 77.0, imU
67.0, 37.0, 48.0, 5.0, 54.0, 64.0, 68.0, imU
65.0, 51.0, 48.0, 5.0, 66.0, 54.0, 33.0, om
6.0, 76.0, 1.0, 5.0, 77.0, 59.0, 52.0, om
66.0, 49.0, 1.0, 5.0, 54.0, 56.0, 36.0, omL
67.0, 81.0, 48.0, 5.0, 25.0, 42.0, 25.0, pp
71.0, 86.0, 48.0, 5.0, 4.0, 54.0, 32.0, pp
69.0, 8.0, 48.0, 5.0, 46.0, 57.0, 26.0, pp
29.0, 39.0, 48.0, 5.0, 52.0, 4.0, 48.0, pp
43.0, 59.0, 48.0, 5.0, 52.0, 49.0, 56.0, pp
