@relation ecoli
@attribute Mcg real[0.0,89.0]
@attribute Gvh real[1.0,88.0]
@attribute Lip real[1.0,48.0]
@attribute Chg real[1.0,5.0]
@attribute Aac real[0.0,88.0]
@attribute Alm1 real[1.0,94.0]
@attribute Alm2 real[0.0,99.0]
@attribute Site {cp,im,imS,imL,imU,om,omL,pp}
@inputs Mcg, Gvh, Lip, Chg, Aac, Alm1, Alm2
@output Site
@data
59.0, 49.0, 48.0, 5.0, 52.0, 45.0, 36.0, cp
42.0, 4.0, 48.0, 5.0, 56.0, 18.0, 3.0, cp
23.0, 4.0, 48.0, 5.0, 39.0, 28.0, 38.0, cp
33.0, 45.0, 48.0, 5.0, 52.0, 32.0, 41.0, cp
17.0, 38.0, 48.0, 5.0, 45.0, 42.0, 5.0, cp
35.0, 48.0, 48.0, 5.0, 56.0, 4.0, 48.0, cp
37.0, 5.0, 48.0, 5.0, 42.0, 36.0, 45.0, cp
42.0, 3.0, 48.0, 5.0, 48.0, 26.0, 36.0, cp
4.0, 42.0, 48.0, 5.0, 37.0, 27.0, 27.0, cp
26.0, 5.0, 48.0, 5.0, 44.0, 32.0, 41.0, cp
34.0, 35.0, 48.0, 5.0, 51.0, 49.0, 56.0, cp
29.0, 28.0, 48.0, 5.0, 5.0, 42.0, 5.0, cp
4.0, 31.0, 48.0, 5.0, 41.0, 29.0, 39.0, cp
34.0, 51.0, 48.0, 5.0, 44.0, 37.0, 46.0, cp
5.0, 66.0, 48.0, 5.0, 31.0, 92.0, 92.0, im
45.0, 4.0, 48.0, 5.0, 61.0, 74.0, 77.0, im
5.0, 37.0, 48.0, 5.0, 66.0, 64.0, 69.0, im
83.0, 37.0, 48.0, 5.0, 61.0, 71.0, 74.0, im
5.0, 57.0, 48.0, 5.0, 71.0, 61.0, 66.0, im
35.0, 51.0, 48.0, 5.0, 61.0, 71.0, 74.0, im
0.0, 51.0, 48.0, 5.0, 35.0, 67.0, 44.0, im
3.0, 51.0, 48.0, 5.0, 42.0, 61.0, 34.0, im
75.0, 37.0, 48.0, 5.0, 64.0, 7.0, 74.0, imU
84.0, 49.0, 48.0, 5.0, 55.0, 78.0, 74.0, imU
49.0, 61.0, 1.0, 5.0, 56.0, 71.0, 74.0, imU
57.0, 38.0, 48.0, 5.0, 6.0, 49.0, 33.0, imU
67.0, 88.0, 48.0, 5.0, 73.0, 5.0, 25.0, om
67.0, 84.0, 48.0, 5.0, 74.0, 54.0, 37.0, om
72.0, 86.0, 48.0, 5.0, 17.0, 55.0, 21.0, pp
74.0, 47.0, 48.0, 5.0, 5.0, 57.0, 42.0, pp
75.0, 84.0, 48.0, 5.0, 35.0, 52.0, 33.0, pp
7.0, 71.0, 48.0, 5.0, 42.0, 84.0, 85.0, pp
69.0, 59.0, 48.0, 5.0, 46.0, 44.0, 52.0, pp
