@relation ecoli
@attribute Mcg real[0.0,89.0]
@attribute Gvh real[1.0,88.0]
@attribute Lip real[1.0,48.0]
@attribute Chg real[1.0,5.0]
@attribute Aac real[0.0,88.0]
@attribute Alm1 real[1.0,94.0]
@attribute Alm2 real[0.0,99.0]
@attribute Site {cp,im,imS,imL,imU,om,omL,pp}
@inputs Mcg, Gvh, Lip, Chg, Aac, Alm1, Alm2
@output Site
@data
23.0, 32.0, 48.0, 5.0, 55.0, 25.0, 35.0, cp
29.0, 28.0, 48.0, 5.0, 44.0, 23.0, 34.0, cp
21.0, 51.0, 48.0, 5.0, 5.0, 32.0, 41.0, cp
43.0, 37.0, 48.0, 5.0, 53.0, 35.0, 44.0, cp
53.0, 38.0, 48.0, 5.0, 44.0, 26.0, 36.0, cp
34.0, 33.0, 48.0, 5.0, 38.0, 35.0, 44.0, cp
37.0, 52.0, 48.0, 5.0, 42.0, 42.0, 36.0, cp
23.0, 58.0, 48.0, 5.0, 37.0, 53.0, 59.0, cp
44.0, 34.0, 48.0, 5.0, 3.0, 33.0, 43.0, cp
34.0, 28.0, 48.0, 5.0, 41.0, 35.0, 44.0, cp
52.0, 44.0, 48.0, 5.0, 37.0, 36.0, 42.0, cp
5.0, 51.0, 48.0, 5.0, 27.0, 23.0, 34.0, cp
33.0, 47.0, 48.0, 5.0, 53.0, 18.0, 29.0, cp
34.0, 42.0, 48.0, 5.0, 41.0, 34.0, 43.0, cp
43.0, 4.0, 48.0, 5.0, 58.0, 75.0, 78.0, im
73.0, 36.0, 48.0, 5.0, 53.0, 91.0, 92.0, im
6.0, 61.0, 48.0, 5.0, 54.0, 67.0, 71.0, im
7.0, 4.0, 48.0, 5.0, 56.0, 86.0, 83.0, im
58.0, 34.0, 48.0, 5.0, 56.0, 87.0, 81.0, im
48.0, 49.0, 48.0, 5.0, 52.0, 77.0, 71.0, im
69.0, 39.0, 48.0, 5.0, 57.0, 76.0, 79.0, im
71.0, 52.0, 48.0, 5.0, 64.0, 1.0, 99.0, im
66.0, 48.0, 48.0, 5.0, 54.0, 7.0, 74.0, imU
62.0, 42.0, 48.0, 5.0, 58.0, 79.0, 81.0, imU
76.0, 41.0, 48.0, 5.0, 5.0, 59.0, 62.0, imU
73.0, 26.0, 48.0, 5.0, 57.0, 75.0, 78.0, imU
73.0, 84.0, 48.0, 5.0, 86.0, 58.0, 29.0, om
63.0, 49.0, 48.0, 5.0, 79.0, 45.0, 28.0, om
64.0, 72.0, 48.0, 5.0, 49.0, 42.0, 19.0, pp
63.0, 71.0, 48.0, 5.0, 6.0, 4.0, 39.0, pp
63.0, 65.0, 48.0, 5.0, 39.0, 44.0, 35.0, pp
68.0, 67.0, 48.0, 5.0, 49.0, 4.0, 34.0, pp
64.0, 81.0, 48.0, 5.0, 37.0, 39.0, 44.0, pp
