@relation yeast-1_vs_7
@attribute Mcg real [0.11, 0.9]
@attribute Gvh real [0.13, 0.83]
@attribute Alm real [0.26, 0.68]
@attribute Mit real [0.0, 0.86]
@attribute Erl real [0.5, 1.0]
@attribute Vac real [0.0, 0.68]
@attribute Nuc real [0.16, 1.0]
@attribute Class {positive, negative}
@input Mcg,Gvh,Alm,Mit,Erl,Vac,Nuc
@output Class
@data
0.58, 0.47, 0.54, 0.11, 0.5, 0.51, 0.26, negative
0.53, 0.31, 0.58, 0.39, 0.5, 0.47, 0.37, negative
0.48, 0.43, 0.51, 0.32, 0.5, 0.52, 0.43, negative
0.5, 0.52, 0.59, 0.3, 0.5, 0.51, 0.35, negative
0.4, 0.38, 0.53, 0.16, 0.5, 0.52, 0.27, negative
0.47, 0.32, 0.64, 0.3, 0.5, 0.63, 0.22, negative
0.58, 0.5, 0.5, 0.12, 0.5, 0.48, 0.25, negative
0.36, 0.68, 0.46, 0.16, 0.5, 0.53, 0.28, negative
0.42, 0.31, 0.5, 0.15, 0.5, 0.53, 0.22, negative
0.53, 0.38, 0.66, 0.25, 0.5, 0.43, 0.22, negative
0.31, 0.46, 0.54, 0.52, 0.5, 0.5, 0.34, negative
0.56, 0.43, 0.54, 0.16, 0.5, 0.5, 0.22, negative
0.42, 0.32, 0.5, 0.21, 0.5, 0.51, 0.22, negative
0.55, 0.46, 0.46, 0.31, 0.5, 0.58, 0.48, negative
0.35, 0.6, 0.47, 0.13, 0.5, 0.52, 0.43, negative
0.17, 0.38, 0.45, 0.09, 0.5, 0.54, 0.27, negative
0.48, 0.57, 0.5, 0.09, 0.5, 0.52, 0.42, negative
0.5, 0.45, 0.49, 0.15, 0.5, 0.55, 0.43, negative
0.44, 0.53, 0.52, 0.37, 0.5, 0.5, 0.22, negative
0.54, 0.45, 0.62, 0.13, 0.5, 0.52, 0.26, negative
0.23, 0.34, 0.41, 0.28, 0.5, 0.5, 0.27, negative
0.59, 0.53, 0.47, 0.26, 0.5, 0.53, 0.31, negative
0.44, 0.53, 0.43, 0.17, 0.5, 0.54, 0.75, negative
0.52, 0.49, 0.57, 0.57, 0.5, 0.51, 0.22, negative
0.62, 0.64, 0.56, 0.2, 0.5, 0.48, 0.33, negative
0.33, 0.37, 0.54, 0.28, 0.5, 0.53, 0.27, negative
0.5, 0.49, 0.52, 0.2, 0.5, 0.43, 0.52, negative
0.4, 0.53, 0.61, 0.21, 0.5, 0.48, 0.33, negative
0.37, 0.31, 0.53, 0.16, 0.5, 0.53, 0.44, negative
0.51, 0.6, 0.51, 0.26, 0.5, 0.54, 0.22, negative
0.51, 0.56, 0.62, 0.24, 0.5, 0.52, 0.51, negative
0.39, 0.35, 0.49, 0.17, 0.5, 0.49, 0.22, negative
0.36, 0.44, 0.51, 0.17, 0.5, 0.6, 0.19, negative
0.39, 0.34, 0.68, 0.3, 0.5, 0.5, 0.29, negative
0.33, 0.48, 0.55, 0.16, 0.5, 0.53, 0.75, negative
0.47, 0.47, 0.5, 0.15, 0.5, 0.5, 0.48, negative
0.45, 0.41, 0.58, 0.48, 0.5, 0.53, 0.64, negative
0.9, 0.54, 0.59, 0.2, 0.5, 0.48, 0.22, negative
0.7, 0.51, 0.47, 0.24, 0.5, 0.53, 0.25, negative
0.69, 0.62, 0.49, 0.0, 1.0, 0.47, 0.22, negative
0.39, 0.42, 0.49, 0.1, 0.5, 0.49, 0.65, negative
0.33, 0.38, 0.45, 0.19, 0.5, 0.54, 0.37, negative
0.37, 0.42, 0.6, 0.13, 0.5, 0.51, 0.22, negative
0.67, 0.46, 0.58, 0.3, 0.5, 0.57, 0.27, negative
0.41, 0.48, 0.54, 0.24, 0.5, 0.37, 0.51, negative
0.44, 0.42, 0.57, 0.22, 0.5, 0.5, 0.25, negative
0.41, 0.53, 0.41, 0.15, 0.5, 0.54, 0.25, negative
0.33, 0.35, 0.56, 0.19, 0.5, 0.5, 0.22, negative
0.3, 0.3, 0.46, 0.32, 0.5, 0.45, 0.22, negative
0.38, 0.26, 0.6, 0.1, 0.5, 0.48, 0.44, negative
0.68, 0.39, 0.5, 0.15, 0.5, 0.48, 0.37, negative
0.33, 0.28, 0.5, 0.4, 0.5, 0.46, 0.61, negative
0.52, 0.5, 0.51, 0.2, 0.5, 0.51, 0.22, negative
0.48, 0.47, 0.59, 0.41, 0.5, 0.56, 0.27, negative
0.54, 0.53, 0.53, 0.17, 0.5, 0.51, 0.39, negative
0.49, 0.67, 0.5, 0.28, 0.5, 0.43, 0.22, negative
0.57, 0.55, 0.52, 0.16, 0.5, 0.49, 0.39, negative
0.57, 0.51, 0.58, 0.22, 0.5, 0.51, 0.22, negative
0.4, 0.66, 0.34, 0.21, 0.5, 0.52, 0.26, negative
0.35, 0.4, 0.44, 0.25, 0.5, 0.53, 0.57, negative
0.57, 0.49, 0.61, 0.26, 0.5, 0.52, 0.22, negative
0.54, 0.57, 0.55, 0.18, 0.5, 0.5, 0.22, negative
0.44, 0.5, 0.55, 0.24, 0.5, 0.48, 0.22, negative
0.29, 0.4, 0.5, 0.16, 0.5, 0.51, 0.34, negative
0.37, 0.3, 0.51, 0.15, 0.5, 0.58, 0.26, negative
0.44, 0.62, 0.53, 0.27, 0.5, 0.49, 0.22, negative
0.42, 0.38, 0.52, 0.29, 0.5, 0.42, 0.22, negative
0.42, 0.42, 0.55, 0.31, 0.5, 0.43, 0.22, negative
0.33, 0.47, 0.55, 0.24, 0.5, 0.45, 0.67, negative
0.66, 0.43, 0.57, 0.6, 0.5, 0.19, 0.33, negative
0.46, 0.41, 0.45, 0.23, 0.5, 0.48, 0.22, negative
0.44, 0.59, 0.54, 0.18, 0.5, 0.49, 0.22, negative
0.59, 0.49, 0.45, 0.22, 0.5, 0.45, 0.31, negative
0.49, 0.6, 0.54, 0.35, 0.5, 0.53, 0.46, negative
0.49, 0.6, 0.42, 0.18, 0.5, 0.58, 0.28, negative
0.58, 0.37, 0.58, 0.16, 0.5, 0.51, 0.22, negative
0.48, 0.17, 0.37, 0.33, 0.5, 0.44, 0.36, negative
0.55, 0.38, 0.52, 0.16, 0.5, 0.49, 0.64, negative
0.53, 0.51, 0.54, 0.21, 0.5, 0.45, 0.22, negative
0.5, 0.43, 0.56, 0.17, 0.5, 0.35, 0.22, negative
0.4, 0.45, 0.45, 0.15, 0.5, 0.53, 0.48, negative
0.32, 0.3, 0.57, 0.38, 0.5, 0.5, 0.25, negative
0.28, 0.41, 0.46, 0.18, 0.5, 0.47, 0.39, negative
0.4, 0.44, 0.47, 0.25, 0.5, 0.54, 0.56, negative
0.58, 0.44, 0.45, 0.32, 0.5, 0.52, 0.37, negative
0.37, 0.36, 0.56, 0.18, 0.5, 0.48, 0.26, positive
0.42, 0.32, 0.48, 0.16, 0.5, 0.55, 0.22, positive
0.69, 0.7, 0.5, 0.3, 0.5, 0.54, 0.22, positive
0.63, 0.55, 0.53, 0.51, 0.5, 0.55, 0.22, positive
0.58, 0.43, 0.32, 0.11, 0.5, 0.49, 0.22, positive
0.6, 0.37, 0.52, 0.15, 0.5, 0.55, 0.26, positive
