@relation yeast-1_vs_7
@attribute Mcg real [0.11, 0.9]
@attribute Gvh real [0.13, 0.83]
@attribute Alm real [0.26, 0.68]
@attribute Mit real [0.0, 0.86]
@attribute Erl real [0.5, 1.0]
@attribute Vac real [0.0, 0.68]
@attribute Nuc real [0.16, 1.0]
@attribute Class {positive, negative}
@input Mcg,Gvh,Alm,Mit,Erl,Vac,Nuc
@output Class
@data
0.58, 0.44, 0.57, 0.13, 0.5, 0.54, 0.22, negative
0.48, 0.45, 0.59, 0.2, 0.5, 0.58, 0.34, negative
0.43, 0.39, 0.54, 0.21, 0.5, 0.53, 0.27, negative
0.45, 0.51, 0.5, 0.16, 0.5, 0.52, 1.0, negative
0.53, 0.51, 0.55, 0.05, 0.5, 0.45, 0.25, negative
0.35, 0.58, 0.54, 0.16, 0.5, 0.51, 0.22, negative
0.26, 0.36, 0.47, 0.34, 0.5, 0.53, 0.72, negative
0.51, 0.34, 0.5, 0.19, 0.5, 0.5, 0.22, negative
0.67, 0.71, 0.52, 0.65, 0.5, 0.53, 0.36, negative
0.49, 0.47, 0.53, 0.16, 0.5, 0.48, 0.27, negative
0.31, 0.31, 0.56, 0.33, 0.5, 0.52, 0.33, negative
0.49, 0.31, 0.49, 0.35, 0.5, 0.51, 0.29, negative
0.43, 0.39, 0.54, 0.14, 0.5, 0.47, 0.22, negative
0.5, 0.51, 0.52, 0.09, 0.5, 0.48, 0.25, negative
0.53, 0.61, 0.52, 0.21, 0.5, 0.55, 0.3, negative
0.56, 0.59, 0.53, 0.16, 0.5, 0.24, 0.42, negative
0.6, 0.6, 0.49, 0.3, 0.5, 0.53, 0.22, negative
0.23, 0.3, 0.58, 0.22, 0.5, 0.48, 0.27, negative
0.27, 0.51, 0.47, 0.35, 0.5, 0.49, 0.28, negative
0.43, 0.54, 0.58, 0.16, 0.5, 0.5, 0.36, negative
0.47, 0.49, 0.63, 0.17, 0.5, 0.31, 0.26, negative
0.56, 0.57, 0.63, 0.39, 1.0, 0.59, 0.4, negative
0.37, 0.34, 0.58, 0.24, 0.5, 0.44, 0.18, negative
0.61, 0.57, 0.45, 0.21, 0.5, 0.5, 0.42, negative
0.49, 0.37, 0.59, 0.17, 0.5, 0.51, 0.22, negative
0.51, 0.48, 0.58, 0.22, 0.5, 0.5, 0.28, negative
0.29, 0.68, 0.47, 0.26, 0.5, 0.47, 0.37, negative
0.56, 0.45, 0.59, 0.14, 0.5, 0.51, 0.26, negative
0.5, 0.45, 0.49, 0.3, 0.5, 0.47, 0.4, negative
0.57, 0.49, 0.48, 0.16, 0.5, 0.51, 0.22, negative
0.43, 0.38, 0.51, 0.24, 0.5, 0.46, 0.33, negative
0.55, 0.65, 0.5, 0.28, 0.5, 0.55, 0.22, negative
0.54, 0.52, 0.54, 0.2, 0.5, 0.55, 0.25, negative
0.58, 0.46, 0.46, 0.34, 0.5, 0.5, 0.43, negative
0.49, 0.46, 0.42, 0.46, 0.5, 0.55, 0.22, negative
0.56, 0.63, 0.52, 0.2, 0.5, 0.34, 0.26, negative
0.33, 0.46, 0.53, 0.29, 0.5, 0.5, 0.55, negative
0.4, 0.37, 0.54, 0.13, 0.5, 0.48, 0.22, negative
0.5, 0.42, 0.57, 0.49, 0.5, 0.48, 0.27, negative
0.36, 0.39, 0.54, 0.16, 0.5, 0.5, 0.28, negative
0.45, 0.48, 0.56, 0.56, 0.5, 0.47, 0.22, negative
0.39, 0.16, 0.59, 0.08, 0.5, 0.51, 0.27, negative
0.39, 0.44, 0.54, 0.24, 0.5, 0.51, 0.49, negative
0.43, 0.48, 0.53, 0.18, 0.5, 0.46, 0.22, negative
0.36, 0.48, 0.5, 0.13, 0.5, 0.49, 0.6, negative
0.55, 0.59, 0.53, 0.15, 0.5, 0.49, 0.22, negative
0.49, 0.49, 0.51, 0.29, 0.5, 0.52, 0.71, negative
0.51, 0.61, 0.5, 0.23, 0.5, 0.52, 0.61, negative
0.47, 0.47, 0.54, 0.19, 0.5, 0.51, 0.33, negative
0.34, 0.58, 0.5, 0.26, 0.5, 0.51, 0.22, negative
0.42, 0.21, 0.59, 0.3, 0.5, 0.47, 0.27, negative
0.56, 0.51, 0.32, 0.49, 0.5, 0.48, 0.22, negative
0.37, 0.58, 0.5, 0.22, 0.5, 0.47, 0.22, negative
0.5, 0.36, 0.64, 0.37, 0.5, 0.37, 0.33, negative
0.43, 0.44, 0.64, 0.19, 0.5, 0.38, 0.33, negative
0.34, 0.48, 0.47, 0.19, 0.5, 0.5, 0.3, negative
0.38, 0.44, 0.55, 0.44, 0.5, 0.47, 0.51, negative
0.4, 0.3, 0.57, 0.13, 0.5, 0.46, 0.22, negative
0.5, 0.56, 0.63, 0.25, 0.5, 0.42, 0.22, negative
0.46, 0.53, 0.47, 0.37, 0.5, 0.51, 0.36, negative
0.37, 0.45, 0.53, 0.14, 0.5, 0.49, 0.22, negative
0.38, 0.38, 0.54, 0.24, 0.5, 0.54, 0.22, negative
0.36, 0.49, 0.55, 0.21, 0.5, 0.55, 0.33, negative
0.56, 0.61, 0.52, 0.19, 0.5, 0.52, 0.32, negative
0.41, 0.46, 0.58, 0.08, 0.5, 0.51, 0.28, negative
0.49, 0.49, 0.52, 0.18, 0.5, 0.51, 0.25, negative
0.45, 0.65, 0.51, 0.17, 0.5, 0.49, 0.22, negative
0.33, 0.42, 0.55, 0.23, 0.5, 0.52, 0.43, negative
0.46, 0.56, 0.56, 0.25, 0.5, 0.43, 0.22, negative
0.47, 0.55, 0.57, 0.17, 0.5, 0.52, 0.66, negative
0.19, 0.16, 0.68, 0.36, 0.5, 0.49, 0.21, negative
0.52, 0.45, 0.45, 0.13, 0.5, 0.48, 0.22, negative
0.37, 0.48, 0.67, 0.37, 0.5, 0.56, 0.62, negative
0.25, 0.33, 0.48, 0.18, 0.5, 0.42, 0.33, negative
0.41, 0.39, 0.61, 0.17, 0.5, 0.5, 0.61, negative
0.58, 0.51, 0.63, 0.2, 0.5, 0.5, 0.42, negative
0.41, 0.59, 0.65, 0.14, 0.5, 0.49, 0.33, negative
0.47, 0.46, 0.53, 0.12, 0.5, 0.51, 0.25, negative
0.52, 0.49, 0.59, 0.21, 0.5, 0.47, 0.22, negative
0.49, 0.36, 0.47, 0.28, 0.5, 0.56, 0.54, negative
0.34, 0.42, 0.48, 0.19, 0.5, 0.46, 0.31, negative
0.56, 0.49, 0.47, 0.13, 0.5, 0.52, 0.22, negative
0.55, 0.49, 0.6, 0.18, 0.5, 0.51, 0.22, negative
0.4, 0.4, 0.44, 0.37, 0.5, 0.53, 0.25, negative
0.41, 0.25, 0.59, 0.44, 0.5, 0.6, 0.69, negative
0.58, 0.56, 0.38, 0.39, 0.5, 0.54, 0.57, negative
0.74, 0.57, 0.51, 0.28, 0.5, 0.58, 0.22, positive
0.7, 0.65, 0.54, 0.28, 0.5, 0.6, 0.4, positive
0.8, 0.82, 0.57, 0.26, 0.5, 0.57, 0.27, positive
0.7, 0.78, 0.53, 0.24, 0.5, 0.48, 0.22, positive
0.36, 0.51, 0.51, 0.17, 0.5, 0.52, 0.22, positive
0.64, 0.61, 0.56, 0.15, 0.5, 0.54, 0.22, positive
