@relation yeast-1_vs_7
@attribute Mcg real [0.11, 0.9]
@attribute Gvh real [0.13, 0.83]
@attribute Alm real [0.26, 0.68]
@attribute Mit real [0.0, 0.86]
@attribute Erl real [0.5, 1.0]
@attribute Vac real [0.0, 0.68]
@attribute Nuc real [0.16, 1.0]
@attribute Class {positive, negative}
@input Mcg,Gvh,Alm,Mit,Erl,Vac,Nuc
@output Class
@data
0.5, 0.34, 0.55, 0.21, 0.5, 0.49, 0.22, negative
0.33, 0.55, 0.51, 0.43, 0.5, 0.51, 0.22, negative
0.41, 0.46, 0.59, 0.19, 0.5, 0.58, 0.27, negative
0.48, 0.54, 0.5, 0.17, 0.5, 0.53, 0.22, negative
0.64, 0.6, 0.57, 0.19, 0.5, 0.43, 0.22, negative
0.28, 0.37, 0.61, 0.09, 0.5, 0.52, 0.55, negative
0.41, 0.39, 0.44, 0.34, 0.5, 0.48, 0.4, negative
0.41, 0.45, 0.53, 0.17, 0.5, 0.51, 0.25, negative
0.59, 0.58, 0.56, 0.21, 0.5, 0.54, 0.33, negative
0.46, 0.43, 0.49, 0.79, 0.5, 0.49, 0.63, negative
0.35, 0.39, 0.57, 0.11, 0.5, 0.48, 0.22, negative
0.37, 0.43, 0.62, 0.27, 0.5, 0.48, 0.22, negative
0.31, 0.31, 0.54, 0.18, 0.5, 0.52, 0.29, negative
0.43, 0.51, 0.54, 0.15, 0.5, 0.45, 0.26, negative
0.34, 0.66, 0.51, 0.16, 0.5, 0.47, 0.33, negative
0.58, 0.48, 0.56, 0.1, 0.5, 0.46, 0.25, negative
0.41, 0.6, 0.53, 0.29, 0.5, 0.47, 0.43, negative
0.6, 0.48, 0.44, 0.52, 0.5, 0.54, 0.63, negative
0.28, 0.51, 0.55, 0.11, 0.5, 0.46, 0.22, negative
0.44, 0.42, 0.62, 0.14, 0.5, 0.55, 0.37, negative
0.37, 0.22, 0.64, 0.35, 0.5, 0.47, 0.22, negative
0.53, 0.53, 0.53, 0.17, 0.5, 0.49, 0.37, negative
0.34, 0.35, 0.61, 0.19, 0.5, 0.52, 0.25, negative
0.32, 0.34, 0.61, 0.17, 0.5, 0.52, 0.32, negative
0.34, 0.31, 0.6, 0.37, 0.5, 0.5, 0.3, negative
0.43, 0.32, 0.56, 0.27, 0.5, 0.47, 0.27, negative
0.44, 0.41, 0.44, 0.13, 0.5, 0.49, 0.42, negative
0.53, 0.44, 0.47, 0.22, 0.5, 0.53, 0.22, negative
0.33, 0.38, 0.53, 0.26, 0.5, 0.52, 0.27, negative
0.18, 0.48, 0.46, 0.12, 0.5, 0.0, 0.25, negative
0.53, 0.51, 0.51, 0.11, 0.5, 0.49, 0.41, negative
0.46, 0.57, 0.52, 0.28, 0.5, 0.52, 0.22, negative
0.66, 0.54, 0.49, 0.16, 0.5, 0.54, 0.36, negative
0.32, 0.45, 0.44, 0.2, 0.5, 0.55, 0.33, negative
0.52, 0.38, 0.62, 0.12, 0.5, 0.41, 0.28, negative
0.53, 0.4, 0.57, 0.12, 0.5, 0.53, 0.32, negative
0.47, 0.46, 0.55, 0.28, 0.5, 0.44, 0.46, negative
0.36, 0.39, 0.55, 0.26, 0.5, 0.49, 0.22, negative
0.11, 0.41, 0.67, 0.13, 0.5, 0.45, 0.29, negative
0.4, 0.53, 0.44, 0.18, 0.5, 0.54, 0.31, negative
0.36, 0.3, 0.5, 0.19, 0.5, 0.55, 0.3, negative
0.43, 0.28, 0.53, 0.34, 0.5, 0.55, 0.57, negative
0.45, 0.21, 0.49, 0.24, 0.5, 0.46, 0.31, negative
0.88, 0.59, 0.54, 0.39, 0.5, 0.41, 0.3, negative
0.53, 0.54, 0.43, 0.18, 0.5, 0.53, 0.31, negative
0.49, 0.48, 0.52, 0.2, 0.5, 0.55, 0.22, negative
0.48, 0.41, 0.54, 0.39, 0.5, 0.51, 0.22, negative
0.52, 0.37, 0.48, 0.13, 0.5, 0.55, 0.22, negative
0.32, 0.48, 0.49, 0.17, 0.5, 0.47, 0.22, negative
0.49, 0.45, 0.57, 0.24, 0.5, 0.47, 0.38, negative
0.51, 0.39, 0.56, 0.25, 0.5, 0.51, 0.33, negative
0.37, 0.44, 0.51, 0.56, 0.5, 0.5, 0.38, negative
0.24, 0.41, 0.47, 0.16, 0.5, 0.51, 0.38, negative
0.61, 0.39, 0.53, 0.14, 0.5, 0.43, 0.26, negative
0.64, 0.5, 0.53, 0.1, 0.5, 0.51, 0.22, negative
0.41, 0.52, 0.56, 0.26, 0.5, 0.48, 0.32, negative
0.41, 0.52, 0.51, 0.22, 0.5, 0.52, 0.44, negative
0.58, 0.31, 0.6, 0.12, 0.5, 0.47, 0.33, negative
0.44, 0.33, 0.55, 0.16, 0.5, 0.49, 0.22, negative
