@relation yeast-1_vs_7
@attribute Mcg real [0.11, 0.9]
@attribute Gvh real [0.13, 0.83]
@attribute Alm real [0.26, 0.68]
@attribute Mit real [0.0, 0.86]
@attribute Erl real [0.5, 1.0]
@attribute Vac real [0.0, 0.68]
@attribute Nuc real [0.16, 1.0]
@attribute Class {positive, negative}
@input Mcg,Gvh,Alm,Mit,Erl,Vac,Nuc
@output Class
@data
0.42, 0.37, 0.59, 0.2, 0.5, 0.52, 0.29, negative
0.61, 0.6, 0.55, 0.21, 0.5, 0.5, 0.25, negative
0.53, 0.54, 0.43, 0.1, 0.5, 0.57, 0.32, negative
0.48, 0.23, 0.57, 0.27, 0.5, 0.48, 0.47, negative
0.3, 0.32, 0.57, 0.19, 0.5, 0.48, 0.55, negative
0.4, 0.44, 0.49, 0.47, 0.5, 0.49, 0.27, negative
0.62, 0.51, 0.52, 0.42, 0.5, 0.54, 0.27, negative
0.58, 0.48, 0.51, 0.47, 0.5, 0.55, 0.22, negative
0.31, 0.44, 0.53, 0.23, 0.5, 0.51, 0.32, negative
0.56, 0.52, 0.48, 0.17, 0.5, 0.46, 0.22, negative
0.58, 0.56, 0.45, 0.12, 0.5, 0.51, 0.22, negative
0.34, 0.36, 0.54, 0.11, 0.5, 0.36, 0.21, negative
0.39, 0.28, 0.46, 0.12, 0.5, 0.41, 0.22, negative
0.35, 0.4, 0.59, 0.22, 0.5, 0.47, 0.37, negative
0.23, 0.2, 0.53, 0.2, 0.5, 0.44, 0.22, negative
0.37, 0.53, 0.46, 0.23, 0.5, 0.47, 0.22, negative
0.33, 0.44, 0.49, 0.08, 0.5, 0.48, 0.49, negative
0.54, 0.57, 0.52, 0.19, 0.5, 0.59, 0.67, negative
0.44, 0.44, 0.49, 0.15, 0.5, 0.46, 0.27, negative
0.43, 0.42, 0.54, 0.22, 0.5, 0.57, 0.33, negative
0.45, 0.38, 0.59, 0.18, 0.5, 0.44, 0.45, negative
0.52, 0.48, 0.54, 0.28, 0.5, 0.54, 0.22, negative
0.49, 0.62, 0.65, 0.18, 0.5, 0.46, 0.43, negative
0.26, 0.38, 0.52, 0.36, 0.5, 0.48, 0.56, negative
0.7, 0.53, 0.42, 0.22, 0.5, 0.51, 0.28, negative
0.55, 0.49, 0.45, 0.18, 0.5, 0.49, 0.22, negative
0.43, 0.83, 0.55, 0.2, 0.5, 0.47, 0.4, negative
0.43, 0.39, 0.59, 0.13, 0.5, 0.41, 0.43, negative
0.39, 0.3, 0.56, 0.12, 0.5, 0.53, 0.38, negative
0.42, 0.28, 0.57, 0.18, 0.5, 0.42, 0.22, negative
0.47, 0.59, 0.37, 0.31, 0.5, 0.51, 0.36, negative
0.48, 0.54, 0.53, 0.6, 0.5, 0.53, 0.31, negative
0.35, 0.44, 0.54, 0.26, 0.5, 0.52, 0.26, negative
0.44, 0.34, 0.61, 0.13, 0.5, 0.49, 0.26, negative
0.3, 0.55, 0.58, 0.16, 0.5, 0.61, 0.28, negative
0.51, 0.34, 0.49, 0.16, 0.5, 0.53, 0.21, negative
0.64, 0.52, 0.5, 0.26, 0.5, 0.51, 0.31, negative
0.61, 0.46, 0.44, 0.47, 0.5, 0.5, 0.37, negative
0.48, 0.46, 0.58, 0.26, 0.5, 0.44, 0.22, negative
0.45, 0.4, 0.43, 0.22, 0.5, 0.51, 0.48, negative
0.54, 0.53, 0.48, 0.14, 0.5, 0.49, 0.33, negative
0.25, 0.39, 0.5, 0.23, 0.5, 0.5, 0.28, negative
0.56, 0.5, 0.56, 0.26, 0.5, 0.53, 0.27, negative
0.42, 0.28, 0.51, 0.23, 0.5, 0.53, 0.27, negative
0.56, 0.59, 0.54, 0.18, 0.5, 0.48, 0.46, negative
0.33, 0.39, 0.52, 0.09, 0.5, 0.47, 0.28, negative
0.62, 0.41, 0.52, 0.17, 0.5, 0.48, 0.22, negative
0.4, 0.28, 0.48, 0.06, 0.5, 0.49, 0.42, negative
0.29, 0.4, 0.41, 0.48, 0.5, 0.53, 0.3, negative
0.47, 0.43, 0.48, 0.16, 0.5, 0.46, 0.27, negative
0.31, 0.39, 0.55, 0.28, 0.5, 0.46, 0.31, negative
0.55, 0.45, 0.58, 0.25, 0.5, 0.49, 0.22, negative
0.57, 0.37, 0.43, 0.27, 0.5, 0.53, 0.28, negative
0.6, 0.57, 0.52, 0.14, 0.5, 0.46, 0.48, negative
