@relation ecoli1
@attribute Mcg real [0.0, 0.89]
@attribute Gvh real [0.16, 1.0]
@attribute Lip real [0.48, 1.0]
@attribute Chg real [0.5, 1.0]
@attribute Aac real [0.0, 0.88]
@attribute Alm1 real [0.03, 1.0]
@attribute Alm2 real [0.0, 0.99]
@attribute Class {positive, negative}   
@inputs Mcg, Gvh, Lip, Chg, Aac, Alm1, Alm2
@outputs Class
@data
0.49, 0.29, 0.48, 0.5, 0.56, 0.24, 0.35, negative
0.56, 0.4, 0.48, 0.5, 0.49, 0.37, 0.46, negative
0.22, 0.43, 0.48, 0.5, 0.48, 0.16, 0.28, negative
0.25, 0.4, 0.48, 0.5, 0.46, 0.44, 0.52, negative
0.34, 0.45, 0.48, 0.5, 0.38, 0.24, 0.35, negative
0.34, 0.33, 0.48, 0.5, 0.38, 0.35, 0.44, negative
0.4, 0.29, 0.48, 0.5, 0.42, 0.35, 0.44, negative
0.33, 0.45, 0.48, 0.5, 0.52, 0.32, 0.41, negative
0.18, 0.3, 0.48, 0.5, 0.46, 0.24, 0.35, negative
0.52, 0.57, 0.48, 0.5, 0.42, 0.47, 0.54, negative
0.25, 0.37, 0.48, 0.5, 0.43, 0.26, 0.36, negative
0.35, 0.48, 0.48, 0.5, 0.56, 0.4, 0.48, negative
0.44, 0.42, 0.48, 0.5, 0.42, 0.25, 0.2, negative
0.44, 0.28, 0.48, 0.5, 0.43, 0.27, 0.37, negative
0.52, 0.44, 0.48, 0.5, 0.37, 0.36, 0.42, negative
0.53, 0.42, 0.48, 0.5, 0.16, 0.29, 0.39, negative
0.4, 0.42, 0.48, 0.5, 0.37, 0.27, 0.27, negative
0.41, 0.43, 0.48, 0.5, 0.5, 0.24, 0.25, negative
0.24, 0.34, 0.48, 0.5, 0.38, 0.3, 0.4, negative
0.43, 0.32, 0.48, 0.5, 0.33, 0.45, 0.52, negative
0.38, 0.3, 0.48, 0.5, 0.43, 0.29, 0.39, negative
0.25, 0.51, 0.48, 0.5, 0.37, 0.42, 0.5, negative
0.0, 0.38, 0.48, 0.5, 0.42, 0.48, 0.55, negative
0.17, 0.52, 0.48, 0.5, 0.49, 0.37, 0.46, negative
0.26, 0.4, 0.48, 0.5, 0.36, 0.26, 0.37, negative
0.63, 0.47, 0.48, 0.5, 0.51, 0.82, 0.84, positive
0.23, 0.48, 0.48, 0.5, 0.59, 0.88, 0.89, positive
0.43, 0.4, 0.48, 0.5, 0.58, 0.75, 0.78, positive
0.46, 0.61, 0.48, 0.5, 0.48, 0.86, 0.87, positive
0.5, 0.66, 0.48, 0.5, 0.31, 0.92, 0.92, positive
0.64, 0.58, 0.48, 0.5, 0.48, 0.78, 0.73, positive
0.47, 0.59, 0.48, 0.5, 0.52, 0.76, 0.79, positive
0.45, 0.4, 0.48, 0.5, 0.61, 0.74, 0.77, positive
0.6, 0.61, 0.48, 0.5, 0.54, 0.67, 0.71, positive
0.83, 0.37, 0.48, 0.5, 0.61, 0.71, 0.74, positive
0.63, 0.65, 0.48, 0.5, 0.66, 0.67, 0.71, positive
0.6, 0.46, 0.48, 0.5, 0.45, 0.81, 0.83, positive
0.31, 0.36, 0.48, 0.5, 0.58, 0.94, 0.94, positive
0.52, 0.54, 0.48, 0.5, 0.62, 0.76, 0.79, positive
0.46, 0.59, 0.48, 0.5, 0.36, 0.76, 0.23, positive
0.83, 0.48, 0.48, 0.5, 0.65, 0.76, 0.79, negative
0.79, 0.36, 0.48, 0.5, 0.46, 0.82, 0.7, negative
0.75, 0.37, 0.48, 0.5, 0.64, 0.7, 0.74, negative
0.63, 0.42, 0.48, 0.5, 0.48, 0.77, 0.8, negative
0.73, 0.26, 0.48, 0.5, 0.57, 0.75, 0.78, negative
0.88, 0.42, 0.48, 0.5, 0.52, 0.73, 0.75, negative
0.79, 0.54, 0.48, 0.5, 0.5, 0.66, 0.68, negative
0.78, 0.68, 0.48, 0.5, 0.83, 0.4, 0.29, negative
0.52, 0.81, 0.48, 0.5, 0.72, 0.38, 0.38, negative
0.68, 0.63, 0.48, 0.5, 0.73, 0.4, 0.3, negative
0.66, 0.86, 0.48, 0.5, 0.34, 0.41, 0.36, negative
0.63, 1.0, 0.48, 0.5, 0.35, 0.51, 0.49, negative
0.66, 0.74, 0.48, 0.5, 0.31, 0.38, 0.43, negative
0.64, 0.72, 0.48, 0.5, 0.49, 0.42, 0.19, negative
0.32, 0.39, 0.48, 0.5, 0.53, 0.28, 0.38, negative
0.63, 0.86, 0.48, 0.5, 0.39, 0.47, 0.34, negative
0.75, 0.84, 0.48, 0.5, 0.35, 0.52, 0.33, negative
0.69, 0.67, 0.48, 0.5, 0.3, 0.39, 0.24, negative
0.7, 0.71, 0.48, 0.5, 0.42, 0.84, 0.85, negative
0.63, 0.8, 0.48, 0.5, 0.46, 0.31, 0.29, negative
0.64, 0.78, 0.48, 0.5, 0.5, 0.36, 0.38, negative
0.62, 0.78, 0.48, 0.5, 0.47, 0.49, 0.54, negative
0.76, 0.73, 0.48, 0.5, 0.44, 0.39, 0.39, negative
0.69, 0.65, 0.48, 0.5, 0.63, 0.48, 0.41, negative
0.74, 0.56, 0.48, 0.5, 0.47, 0.68, 0.3, negative
0.61, 0.6, 0.48, 0.5, 0.44, 0.39, 0.38, negative
0.59, 0.61, 0.48, 0.5, 0.42, 0.42, 0.37, negative
