@relation ecoli1
@attribute Mcg real [0.0, 0.89]
@attribute Gvh real [0.16, 1.0]
@attribute Lip real [0.48, 1.0]
@attribute Chg real [0.5, 1.0]
@attribute Aac real [0.0, 0.88]
@attribute Alm1 real [0.03, 1.0]
@attribute Alm2 real [0.0, 0.99]
@attribute Class {positive, negative}   
@inputs Mcg, Gvh, Lip, Chg, Aac, Alm1, Alm2
@outputs Class
@data
0.59, 0.49, 0.48, 0.5, 0.52, 0.45, 0.36, negative
0.67, 0.39, 0.48, 0.5, 0.36, 0.38, 0.46, negative
0.2, 0.44, 0.48, 0.5, 0.46, 0.51, 0.57, negative
0.42, 0.24, 0.48, 0.5, 0.57, 0.27, 0.37, negative
0.25, 0.4, 0.48, 0.5, 0.47, 0.33, 0.42, negative
0.24, 0.35, 0.48, 0.5, 0.31, 0.19, 0.31, negative
0.32, 0.42, 0.48, 0.5, 0.35, 0.28, 0.38, negative
0.38, 0.46, 0.48, 0.5, 0.48, 0.22, 0.29, negative
0.3, 0.37, 0.48, 0.5, 0.59, 0.41, 0.49, negative
0.44, 0.35, 0.48, 0.5, 0.55, 0.55, 0.61, negative
0.42, 0.35, 0.48, 0.5, 0.58, 0.15, 0.27, negative
0.23, 0.33, 0.48, 0.5, 0.43, 0.33, 0.43, negative
0.54, 0.47, 0.48, 0.5, 0.28, 0.33, 0.42, negative
0.42, 0.38, 0.48, 0.5, 0.54, 0.34, 0.43, negative
0.52, 0.36, 0.48, 0.5, 0.41, 0.28, 0.38, negative
0.47, 0.29, 0.48, 0.5, 0.51, 0.33, 0.43, negative
0.48, 0.42, 0.48, 0.5, 0.45, 0.25, 0.35, negative
0.29, 0.47, 0.48, 0.5, 0.41, 0.23, 0.34, negative
0.5, 0.49, 0.48, 0.5, 0.49, 0.46, 0.53, negative
0.5, 0.51, 0.48, 0.5, 0.27, 0.23, 0.34, negative
0.31, 0.47, 0.48, 0.5, 0.29, 0.28, 0.39, negative
0.64, 0.76, 0.48, 0.5, 0.45, 0.35, 0.38, negative
0.65, 0.55, 0.48, 0.5, 0.34, 0.37, 0.28, negative
0.38, 0.4, 0.48, 0.5, 0.63, 0.25, 0.35, negative
0.49, 0.43, 0.48, 0.5, 0.49, 0.3, 0.4, negative
0.47, 0.28, 0.48, 0.5, 0.56, 0.2, 0.25, negative
0.34, 0.35, 0.48, 0.5, 0.51, 0.49, 0.56, negative
0.29, 0.28, 0.48, 0.5, 0.5, 0.42, 0.5, negative
0.28, 0.33, 0.48, 0.5, 0.45, 0.22, 0.33, negative
0.44, 0.35, 0.48, 0.5, 0.44, 0.52, 0.59, negative
0.27, 0.35, 0.48, 0.5, 0.51, 0.77, 0.79, positive
0.52, 0.39, 0.48, 0.5, 0.65, 0.71, 0.73, positive
0.29, 0.47, 0.48, 0.5, 0.71, 0.65, 0.69, positive
0.48, 0.41, 0.48, 0.5, 0.51, 0.9, 0.88, positive
0.72, 0.46, 0.48, 0.5, 0.51, 0.66, 0.7, positive
0.33, 0.56, 0.48, 0.5, 0.33, 0.78, 0.8, positive
0.63, 0.5, 0.48, 0.5, 0.59, 0.85, 0.86, positive
0.34, 0.51, 0.48, 0.5, 0.67, 0.9, 0.9, positive
0.74, 0.7, 0.48, 0.5, 0.66, 0.65, 0.69, positive
0.7, 0.46, 0.48, 0.5, 0.56, 0.78, 0.73, positive
0.12, 0.43, 0.48, 0.5, 0.63, 0.7, 0.74, positive
0.33, 0.37, 0.48, 0.5, 0.46, 0.65, 0.69, positive
0.36, 0.47, 0.48, 0.5, 0.51, 0.69, 0.72, positive
0.0, 0.51, 0.48, 0.5, 0.35, 0.67, 0.44, positive
0.1, 0.49, 0.48, 0.5, 0.41, 0.67, 0.21, positive
0.66, 0.48, 0.48, 0.5, 0.54, 0.7, 0.74, negative
0.84, 0.49, 0.48, 0.5, 0.55, 0.78, 0.74, negative
0.86, 0.55, 0.48, 0.5, 0.63, 0.81, 0.83, negative
0.63, 0.69, 0.48, 0.5, 0.65, 0.41, 0.28, negative
0.67, 0.84, 0.48, 0.5, 0.74, 0.54, 0.37, negative
0.73, 0.84, 0.48, 0.5, 0.86, 0.58, 0.29, negative
0.75, 0.76, 0.48, 0.5, 0.83, 0.57, 0.3, negative
0.74, 0.78, 0.48, 0.5, 0.75, 0.54, 0.15, negative
0.68, 0.76, 0.48, 0.5, 0.84, 0.45, 0.27, negative
0.56, 0.68, 0.48, 0.5, 0.77, 0.36, 0.45, negative
0.65, 0.51, 0.48, 0.5, 0.66, 0.54, 0.33, negative
0.71, 0.71, 0.48, 0.5, 0.68, 0.43, 0.36, negative
0.73, 0.78, 0.48, 0.5, 0.58, 0.51, 0.31, negative
0.67, 0.7, 0.48, 0.5, 0.46, 0.45, 0.33, negative
0.67, 0.81, 0.48, 0.5, 0.54, 0.49, 0.23, negative
0.67, 0.61, 0.48, 0.5, 0.51, 0.37, 0.38, negative
0.7, 0.64, 0.48, 0.5, 0.47, 0.51, 0.47, negative
0.29, 0.39, 0.48, 0.5, 0.52, 0.4, 0.48, negative
0.69, 0.66, 0.48, 0.5, 0.41, 0.5, 0.25, negative
0.43, 0.59, 0.48, 0.5, 0.52, 0.49, 0.56, negative
0.71, 0.57, 0.48, 0.5, 0.48, 0.35, 0.32, negative
0.74, 0.74, 0.48, 0.5, 0.31, 0.53, 0.52, negative
