@relation  vehicle
@attribute COMPACTNESS integer[73,119]
@attribute CIRCULARITY integer[33,59]
@attribute DISTANCECIRCULARITY integer[40,112]
@attribute RADIUSRATIO integer[104,333]
@attribute PRAXISASPECTRATIO integer[47,138]
@attribute MAXLENGTHASPECTRATIO integer[2,55]
@attribute SCATTERRATIO integer[112,265]
@attribute ELONGATEDNESS integer[26,61]
@attribute PRAXISRECTANGULAR integer[17,29]
@attribute LENGTHRECTANGULAR integer[118,188]
@attribute MAJORVARIANCE integer[130,320]
@attribute MINORVARIANCE integer[184,1018]
@attribute GYRATIONRADIUS integer[109,268]
@attribute MAJORSKEWNESS integer[59,135]
@attribute MINORSKEWNESS integer[0,22]
@attribute MINORKURTOSIS integer[0,41]
@attribute MAJORKURTOSIS integer[176,206]
@attribute HOLLOWSRATIO integer[181,211]
@attribute class{van,saab,bus,opel}
@inputs COMPACTNESS,CIRCULARITY,DISTANCECIRCULARITY,RADIUSRATIO,PRAXISASPECTRATIO,MAXLENGTHASPECTRATIO,SCATTERRATIO,ELONGATEDNESS,PRAXISRECTANGULAR,LENGTHRECTANGULAR,MAJORVARIANCE,MINORVARIANCE,GYRATIONRADIUS,MAJORSKEWNESS,MINORSKEWNESS,MINORKURTOSIS,MAJORKURTOSIS,HOLLOWSRATIO
@outputs class
@data
94, 42, 68, 150, 64, 7, 128, 52, 18, 143, 154, 246, 159, 69, 14, 5, 192, 196, van
94, 49, 82, 137, 56, 10, 159, 43, 20, 160, 176, 367, 186, 76, 10, 7, 183, 192, van
86, 39, 58, 125, 55, 5, 117, 57, 17, 134, 140, 204, 148, 69, 7, 6, 190, 194, van
89, 47, 84, 133, 55, 11, 157, 44, 20, 160, 169, 354, 176, 74, 5, 9, 182, 192, van
86, 35, 44, 110, 54, 2, 119, 57, 17, 121, 139, 208, 137, 90, 6, 1, 180, 183, van
96, 46, 88, 174, 68, 10, 155, 43, 19, 148, 173, 354, 182, 69, 14, 15, 194, 202, van
98, 39, 68, 121, 49, 7, 134, 51, 18, 142, 164, 261, 134, 75, 4, 1, 186, 186, van
88, 44, 85, 139, 56, 11, 157, 43, 20, 155, 176, 363, 175, 76, 5, 16, 184, 195, van
93, 45, 83, 142, 56, 10, 157, 43, 20, 155, 180, 364, 188, 75, 1, 21, 184, 197, van
89, 40, 79, 154, 64, 9, 144, 46, 19, 139, 168, 311, 149, 71, 8, 7, 188, 197, van
85, 47, 75, 121, 53, 9, 157, 44, 20, 165, 168, 358, 176, 77, 1, 7, 182, 191, van
88, 42, 64, 151, 62, 8, 130, 51, 18, 142, 150, 253, 161, 63, 3, 2, 203, 210, van
91, 42, 80, 162, 66, 8, 148, 44, 19, 145, 171, 331, 147, 70, 3, 5, 189, 199, van
84, 37, 70, 145, 62, 9, 136, 48, 18, 134, 159, 280, 140, 68, 11, 9, 194, 202, van
91, 42, 66, 142, 58, 9, 134, 50, 18, 142, 163, 268, 164, 69, 6, 5, 191, 197, van
88, 37, 51, 105, 52, 5, 119, 57, 17, 128, 135, 207, 125, 86, 8, 16, 179, 183, van
85, 45, 80, 154, 64, 9, 147, 45, 19, 148, 169, 324, 174, 71, 1, 4, 188, 199, van
87, 42, 64, 150, 64, 10, 133, 50, 18, 142, 157, 264, 159, 67, 7, 1, 193, 201, van
91, 46, 78, 148, 61, 9, 147, 45, 19, 152, 168, 323, 199, 70, 13, 11, 189, 200, van
86, 38, 76, 143, 59, 8, 142, 47, 18, 131, 167, 301, 138, 71, 5, 10, 189, 196, van
86, 40, 63, 135, 56, 5, 133, 50, 18, 135, 152, 262, 166, 70, 9, 2, 187, 191, saab
84, 38, 83, 141, 54, 7, 149, 45, 19, 132, 177, 327, 149, 74, 6, 29, 185, 191, saab
98, 51, 96, 203, 66, 10, 188, 35, 22, 157, 207, 533, 231, 68, 10, 1, 191, 199, saab
96, 40, 78, 170, 58, 7, 174, 38, 21, 139, 197, 455, 160, 68, 3, 29, 191, 200, saab
94, 43, 69, 161, 59, 7, 152, 43, 19, 143, 175, 349, 187, 67, 12, 11, 193, 198, saab
104, 55, 100, 201, 66, 10, 214, 31, 24, 173, 224, 680, 221, 74, 1, 1, 185, 194, saab
110, 53, 104, 223, 66, 10, 211, 32, 24, 164, 223, 659, 210, 67, 5, 16, 190, 203, saab
89, 47, 83, 169, 61, 8, 164, 40, 20, 150, 189, 402, 190, 72, 7, 10, 187, 193, saab
96, 41, 69, 153, 56, 7, 141, 47, 18, 141, 162, 297, 169, 61, 11, 8, 202, 209, saab
83, 37, 54, 118, 55, 4, 129, 52, 18, 127, 146, 245, 140, 81, 4, 13, 180, 184, saab
109, 53, 109, 221, 69, 12, 221, 31, 25, 169, 226, 712, 212, 72, 13, 28, 188, 201, saab
92, 37, 86, 167, 60, 7, 158, 42, 20, 131, 181, 373, 144, 68, 9, 21, 190, 196, saab
104, 52, 100, 191, 59, 9, 197, 33, 23, 158, 218, 583, 234, 70, 10, 10, 191, 198, saab
109, 53, 103, 210, 63, 11, 219, 30, 25, 172, 229, 707, 212, 71, 6, 3, 188, 199, saab
104, 54, 100, 186, 61, 10, 216, 31, 24, 173, 225, 686, 220, 74, 5, 11, 185, 195, saab
99, 53, 105, 219, 66, 11, 204, 32, 23, 165, 221, 623, 224, 68, 0, 6, 191, 201, saab
95, 53, 95, 202, 65, 10, 193, 34, 22, 160, 220, 559, 237, 71, 3, 2, 188, 196, saab
90, 49, 83, 187, 63, 7, 176, 37, 21, 154, 205, 467, 222, 70, 1, 2, 189, 195, saab
89, 43, 77, 147, 54, 8, 144, 46, 19, 146, 163, 308, 174, 64, 13, 5, 194, 201, saab
104, 53, 108, 204, 64, 11, 220, 31, 25, 172, 226, 707, 203, 71, 14, 30, 189, 203, saab
108, 54, 105, 203, 62, 11, 202, 33, 23, 164, 216, 608, 235, 68, 12, 3, 190, 200, saab
86, 45, 66, 126, 57, 8, 148, 46, 19, 145, 170, 321, 186, 86, 0, 7, 179, 182, bus
100, 49, 80, 206, 70, 6, 183, 35, 21, 156, 206, 517, 198, 73, 3, 13, 198, 199, bus
107, 57, 106, 179, 51, 8, 257, 26, 28, 172, 275, 954, 232, 83, 2, 20, 181, 184, bus
99, 51, 92, 203, 65, 5, 209, 31, 24, 159, 232, 671, 214, 78, 5, 11, 191, 189, bus
86, 45, 73, 152, 63, 6, 149, 44, 19, 145, 170, 335, 176, 71, 6, 1, 189, 196, bus
81, 45, 68, 169, 73, 6, 151, 44, 19, 146, 173, 336, 186, 75, 7, 0, 183, 189, bus
103, 52, 103, 170, 52, 7, 236, 28, 26, 160, 254, 816, 250, 82, 3, 23, 183, 184, bus
86, 42, 65, 113, 50, 8, 152, 45, 19, 141, 169, 332, 171, 85, 4, 16, 179, 183, bus
98, 52, 86, 207, 69, 5, 192, 33, 22, 161, 212, 570, 221, 75, 4, 6, 194, 195, bus
85, 42, 64, 121, 55, 7, 149, 46, 19, 146, 167, 323, 172, 85, 1, 6, 179, 182, bus
100, 47, 70, 185, 70, 7, 162, 40, 20, 153, 179, 406, 172, 68, 9, 6, 200, 205, bus
88, 46, 74, 171, 68, 6, 152, 43, 19, 148, 180, 349, 192, 71, 5, 11, 189, 195, bus
85, 42, 66, 120, 53, 7, 149, 46, 19, 143, 169, 321, 160, 85, 10, 7, 180, 182, bus
100, 48, 95, 209, 68, 7, 199, 32, 23, 150, 216, 605, 200, 73, 7, 11, 192, 194, bus
89, 44, 68, 113, 50, 7, 150, 45, 19, 147, 171, 328, 189, 88, 6, 5, 179, 182, bus
90, 41, 71, 169, 68, 7, 150, 44, 19, 138, 175, 336, 157, 71, 3, 18, 192, 197, bus
84, 47, 75, 153, 64, 6, 154, 43, 19, 145, 175, 354, 184, 75, 0, 3, 185, 192, bus
90, 38, 79, 185, 69, 6, 160, 40, 20, 130, 178, 393, 133, 66, 2, 14, 198, 205, bus
98, 40, 77, 171, 61, 6, 172, 37, 21, 139, 197, 457, 141, 72, 4, 17, 199, 201, bus
80, 43, 71, 133, 60, 7, 150, 45, 19, 146, 170, 330, 176, 81, 6, 15, 180, 184, bus
87, 39, 74, 165, 66, 6, 145, 45, 19, 134, 173, 318, 139, 70, 3, 21, 195, 200, bus
90, 41, 78, 145, 55, 7, 138, 48, 18, 138, 161, 284, 158, 67, 0, 1, 192, 197, opel
95, 49, 92, 193, 62, 10, 178, 37, 21, 154, 200, 478, 171, 64, 2, 0, 198, 206, opel
89, 36, 77, 172, 62, 8, 157, 42, 19, 125, 174, 367, 126, 63, 5, 22, 198, 205, opel
102, 54, 98, 177, 56, 10, 219, 31, 25, 171, 219, 706, 223, 72, 5, 17, 186, 196, opel
95, 48, 104, 214, 67, 9, 205, 32, 23, 151, 227, 628, 202, 74, 5, 9, 186, 193, opel
86, 41, 66, 129, 55, 7, 135, 50, 18, 136, 154, 266, 165, 74, 3, 4, 180, 187, opel
101, 56, 100, 168, 55, 11, 214, 31, 24, 175, 219, 681, 224, 74, 2, 3, 185, 192, opel
85, 39, 77, 151, 59, 8, 150, 45, 19, 134, 176, 331, 133, 73, 0, 16, 184, 193, opel
96, 55, 98, 161, 54, 10, 215, 31, 24, 175, 226, 683, 221, 76, 3, 6, 185, 193, opel
104, 55, 109, 230, 67, 12, 218, 30, 24, 174, 230, 706, 226, 67, 8, 22, 191, 202, opel
80, 37, 57, 116, 55, 6, 125, 54, 18, 125, 142, 229, 132, 81, 8, 5, 178, 184, opel
98, 55, 101, 219, 69, 11, 225, 30, 25, 178, 231, 748, 216, 74, 6, 14, 187, 195, opel
96, 48, 83, 177, 59, 8, 171, 39, 21, 152, 195, 438, 196, 67, 15, 0, 195, 201, opel
89, 44, 80, 191, 66, 6, 162, 40, 20, 143, 189, 396, 180, 66, 13, 11, 194, 199, opel
88, 44, 77, 167, 59, 6, 151, 44, 19, 145, 175, 343, 177, 64, 9, 12, 202, 208, opel
103, 48, 96, 232, 71, 10, 205, 32, 23, 153, 226, 633, 197, 71, 2, 15, 188, 196, opel
99, 46, 105, 209, 64, 11, 197, 34, 23, 152, 212, 575, 159, 65, 0, 33, 194, 205, opel
91, 41, 93, 197, 65, 9, 183, 36, 21, 137, 202, 504, 153, 66, 11, 24, 193, 200, opel
97, 59, 108, 227, 70, 11, 224, 30, 25, 186, 225, 732, 218, 70, 10, 25, 186, 198, opel
104, 58, 103, 230, 69, 11, 219, 30, 25, 176, 231, 716, 246, 71, 7, 4, 187, 196, opel
97, 48, 94, 198, 63, 9, 181, 36, 21, 155, 200, 494, 189, 64, 20, 11, 199, 203, opel
