@relation  vehicle
@attribute COMPACTNESS integer[73,119]
@attribute CIRCULARITY integer[33,59]
@attribute DISTANCECIRCULARITY integer[40,112]
@attribute RADIUSRATIO integer[104,333]
@attribute PRAXISASPECTRATIO integer[47,138]
@attribute MAXLENGTHASPECTRATIO integer[2,55]
@attribute SCATTERRATIO integer[112,265]
@attribute ELONGATEDNESS integer[26,61]
@attribute PRAXISRECTANGULAR integer[17,29]
@attribute LENGTHRECTANGULAR integer[118,188]
@attribute MAJORVARIANCE integer[130,320]
@attribute MINORVARIANCE integer[184,1018]
@attribute GYRATIONRADIUS integer[109,268]
@attribute MAJORSKEWNESS integer[59,135]
@attribute MINORSKEWNESS integer[0,22]
@attribute MINORKURTOSIS integer[0,41]
@attribute MAJORKURTOSIS integer[176,206]
@attribute HOLLOWSRATIO integer[181,211]
@attribute class{van,saab,bus,opel}
@inputs COMPACTNESS,CIRCULARITY,DISTANCECIRCULARITY,RADIUSRATIO,PRAXISASPECTRATIO,MAXLENGTHASPECTRATIO,SCATTERRATIO,ELONGATEDNESS,PRAXISRECTANGULAR,LENGTHRECTANGULAR,MAJORVARIANCE,MINORVARIANCE,GYRATIONRADIUS,MAJORSKEWNESS,MINORSKEWNESS,MINORKURTOSIS,MAJORKURTOSIS,HOLLOWSRATIO
@outputs class
@data
94, 36, 68, 127, 54, 7, 127, 52, 18, 132, 155, 242, 116, 66, 1, 2, 195, 196, van
90, 46, 80, 143, 62, 11, 159, 43, 20, 156, 169, 366, 186, 74, 17, 7, 185, 193, van
86, 38, 58, 119, 56, 4, 118, 57, 17, 129, 140, 208, 152, 78, 9, 2, 184, 186, van
94, 50, 84, 138, 57, 10, 156, 44, 20, 170, 171, 351, 187, 77, 5, 6, 182, 191, van
85, 36, 51, 115, 56, 5, 119, 57, 17, 124, 139, 207, 127, 81, 13, 5, 181, 184, van
89, 43, 85, 160, 64, 11, 155, 43, 19, 151, 173, 356, 174, 72, 5, 9, 185, 196, van
85, 37, 68, 145, 60, 6, 130, 51, 18, 130, 150, 253, 121, 65, 3, 14, 195, 203, van
89, 46, 84, 163, 66, 11, 159, 43, 20, 159, 173, 368, 176, 72, 1, 20, 186, 197, van
94, 49, 87, 159, 64, 10, 157, 43, 20, 158, 179, 363, 203, 75, 4, 0, 183, 194, van
95, 44, 84, 158, 62, 10, 145, 46, 19, 148, 163, 312, 166, 64, 10, 6, 199, 206, van
96, 44, 85, 166, 66, 10, 155, 43, 19, 150, 167, 355, 159, 67, 3, 10, 192, 202, van
96, 39, 58, 117, 51, 6, 133, 52, 18, 139, 154, 255, 150, 86, 6, 0, 181, 182, van
95, 43, 76, 142, 57, 10, 151, 44, 19, 149, 173, 339, 159, 71, 2, 23, 187, 200, van
84, 37, 70, 150, 61, 7, 137, 49, 18, 140, 156, 278, 121, 64, 0, 23, 196, 205, van
93, 41, 75, 124, 51, 7, 140, 49, 18, 141, 164, 284, 149, 77, 5, 15, 184, 185, van
89, 36, 51, 109, 52, 6, 118, 57, 17, 129, 137, 206, 125, 80, 2, 14, 181, 185, van
93, 41, 82, 159, 63, 9, 144, 46, 19, 143, 160, 309, 127, 63, 6, 10, 199, 207, van
87, 42, 64, 150, 64, 10, 133, 50, 18, 141, 157, 265, 159, 67, 7, 0, 193, 201, van
91, 41, 84, 141, 57, 9, 149, 45, 19, 143, 170, 330, 158, 72, 9, 14, 189, 199, van
88, 34, 58, 140, 59, 6, 127, 52, 18, 130, 148, 243, 113, 63, 4, 10, 199, 206, van
86, 41, 66, 133, 56, 6, 136, 49, 18, 136, 155, 274, 162, 74, 5, 14, 183, 189, saab
85, 40, 75, 137, 56, 7, 152, 44, 19, 134, 173, 339, 160, 76, 7, 16, 182, 187, saab
103, 49, 100, 194, 60, 10, 185, 35, 22, 160, 202, 518, 178, 62, 13, 8, 198, 208, saab
98, 42, 90, 192, 61, 9, 178, 37, 21, 144, 189, 480, 138, 61, 3, 8, 199, 208, saab
90, 36, 74, 171, 60, 8, 157, 42, 19, 128, 177, 367, 123, 61, 6, 21, 197, 204, saab
104, 53, 101, 190, 63, 10, 213, 32, 24, 166, 218, 664, 202, 74, 13, 21, 188, 198, saab
106, 49, 106, 211, 64, 9, 208, 32, 24, 158, 224, 645, 184, 68, 1, 24, 190, 202, saab
