@relation  vehicle
@attribute COMPACTNESS integer[73,119]
@attribute CIRCULARITY integer[33,59]
@attribute DISTANCECIRCULARITY integer[40,112]
@attribute RADIUSRATIO integer[104,333]
@attribute PRAXISASPECTRATIO integer[47,138]
@attribute MAXLENGTHASPECTRATIO integer[2,55]
@attribute SCATTERRATIO integer[112,265]
@attribute ELONGATEDNESS integer[26,61]
@attribute PRAXISRECTANGULAR integer[17,29]
@attribute LENGTHRECTANGULAR integer[118,188]
@attribute MAJORVARIANCE integer[130,320]
@attribute MINORVARIANCE integer[184,1018]
@attribute GYRATIONRADIUS integer[109,268]
@attribute MAJORSKEWNESS integer[59,135]
@attribute MINORSKEWNESS integer[0,22]
@attribute MINORKURTOSIS integer[0,41]
@attribute MAJORKURTOSIS integer[176,206]
@attribute HOLLOWSRATIO integer[181,211]
@attribute class{van,saab,bus,opel}
@inputs COMPACTNESS,CIRCULARITY,DISTANCECIRCULARITY,RADIUSRATIO,PRAXISASPECTRATIO,MAXLENGTHASPECTRATIO,SCATTERRATIO,ELONGATEDNESS,PRAXISRECTANGULAR,LENGTHRECTANGULAR,MAJORVARIANCE,MINORVARIANCE,GYRATIONRADIUS,MAJORSKEWNESS,MINORSKEWNESS,MINORKURTOSIS,MAJORKURTOSIS,HOLLOWSRATIO
@outputs class
@data
97, 41, 62, 133, 56, 7, 130, 52, 18, 143, 158, 247, 157, 78, 5, 7, 184, 186, van
93, 46, 82, 145, 58, 11, 159, 43, 20, 160, 180, 371, 189, 77, 2, 4, 183, 194, van
86, 39, 62, 129, 59, 6, 116, 57, 17, 135, 137, 203, 145, 64, 7, 9, 199, 204, van
89, 46, 77, 125, 52, 10, 156, 44, 20, 160, 171, 351, 177, 78, 7, 17, 183, 191, van
89, 40, 58, 137, 58, 7, 122, 54, 17, 140, 146, 225, 150, 63, 7, 4, 199, 206, van
94, 48, 83, 162, 64, 10, 156, 43, 19, 153, 177, 357, 187, 74, 4, 14, 185, 196, van
86, 36, 70, 143, 61, 9, 133, 50, 18, 130, 153, 266, 127, 66, 2, 10, 194, 202, van
90, 49, 85, 141, 57, 11, 159, 43, 20, 167, 173, 365, 186, 75, 1, 11, 182, 192, van
100, 46, 90, 172, 67, 9, 157, 43, 20, 150, 170, 363, 184, 67, 17, 7, 192, 200, van
94, 45, 81, 166, 67, 9, 145, 46, 19, 147, 164, 313, 179, 66, 11, 14, 194, 202, van
89, 46, 74, 135, 59, 9, 157, 44, 20, 158, 170, 356, 177, 79, 12, 3, 184, 191, van
89, 42, 66, 125, 53, 7, 131, 51, 18, 144, 162, 254, 162, 73, 10, 17, 188, 191, van
