@relation machineCPU
@attribute MYCT integer [17, 1500]
@attribute MMIN integer [64, 32000]
@attribute MMAX integer [64, 64000]
@attribute CACH integer [0, 256]
@attribute CHMIN integer [0, 52]
@attribute CHMAX integer [0, 176]
@attribute PRP integer [6, 1150]
@inputs MYCT, MMIN, MMAX, CACH, CHMIN, CHMAX
@outputs PRP
@data
29, 8000, 32000, 32, 8, 32, 220
400, 512, 3500, 4, 1, 6, 40
350, 64, 64, 0, 1, 4, 10
200, 512, 16000, 0, 4, 32, 35
143, 512, 5000, 0, 7, 32, 28
110, 5000, 5000, 142, 8, 64, 120
143, 1500, 6300, 0, 5, 32, 30
143, 3100, 6200, 0, 5, 20, 33
320, 128, 6000, 0, 1, 12, 23
320, 512, 5000, 4, 1, 5, 77
25, 1310, 2620, 131, 12, 24, 274
64, 5240, 20970, 30, 12, 24, 208
50, 1000, 8000, 8, 3, 5, 36
50, 2000, 16000, 8, 3, 6, 60
133, 1000, 8000, 9, 3, 12, 72
810, 512, 512, 8, 1, 1, 18
810, 1000, 5000, 0, 1, 1, 20
110, 1000, 4000, 16, 1, 2, 26
800, 256, 8000, 0, 1, 4, 12
175, 256, 2000, 0, 3, 24, 22
300, 1000, 4000, 8, 3, 64, 38
140, 2000, 32000, 32, 1, 20, 134
140, 2000, 32000, 32, 1, 54, 141
115, 512, 6000, 16, 1, 6, 45
400, 4000, 8000, 0, 1, 1, 32
25, 2000, 12000, 16, 3, 5, 66
50, 2000, 16000, 24, 1, 6, 70
100, 1000, 8000, 0, 2, 6, 16
50, 2000, 16000, 24, 6, 16, 54
115, 2000, 8000, 16, 1, 3, 50
92, 2000, 8000, 32, 1, 6, 62
60, 4000, 16000, 64, 5, 8, 93
38, 8000, 32000, 64, 8, 24, 326
30, 16000, 32000, 256, 16, 24, 510
56, 2000, 8000, 0, 1, 8, 24
250, 1000, 16000, 1, 1, 8, 50
160, 2000, 8000, 32, 1, 13, 109
26, 8000, 24000, 32, 8, 16, 173
26, 8000, 32000, 128, 24, 32, 405
180, 512, 4000, 0, 1, 3, 14
124, 1000, 8000, 0, 1, 8, 42
