@relation machineCPU
@attribute MYCT integer [17, 1500]
@attribute MMIN integer [64, 32000]
@attribute MMAX integer [64, 64000]
@attribute CACH integer [0, 256]
@attribute CHMIN integer [0, 52]
@attribute CHMAX integer [0, 176]
@attribute PRP integer [6, 1150]
@inputs MYCT, MMIN, MMAX, CACH, CHMIN, CHMAX
@outputs PRP
@data
23, 16000, 32000, 64, 16, 32, 367
23, 16000, 64000, 64, 16, 32, 636
320, 256, 6000, 0, 1, 6, 33
50, 2620, 10480, 30, 12, 24, 32
50, 2620, 10480, 30, 12, 24, 63
50, 1000, 4000, 8, 1, 5, 29
700, 384, 8000, 0, 1, 1, 24
90, 256, 1000, 0, 3, 10, 17
300, 768, 3000, 6, 6, 24, 44
300, 192, 768, 6, 6, 24, 36
330, 1000, 2000, 0, 1, 2, 16
330, 1000, 4000, 0, 3, 6, 22
140, 2000, 4000, 8, 1, 20, 35
140, 2000, 8000, 32, 1, 54, 66
57, 4000, 24000, 64, 12, 16, 237
26, 16000, 32000, 64, 16, 24, 465
26, 8000, 32000, 0, 8, 24, 277
26, 8000, 16000, 0, 8, 16, 185
480, 96, 512, 0, 1, 1, 6
900, 1000, 1000, 0, 1, 2, 11
225, 2000, 4000, 8, 3, 6, 40
17, 4000, 16000, 8, 6, 12, 100
1500, 768, 1000, 0, 0, 0, 12
800, 768, 2000, 0, 0, 0, 20
50, 2000, 8000, 8, 1, 6, 56
50, 2000, 16000, 24, 1, 6, 80
50, 8000, 16000, 48, 1, 10, 136
100, 1000, 8000, 24, 2, 6, 26
92, 2000, 8000, 4, 1, 6, 50
60, 2000, 16000, 64, 5, 8, 74
50, 4000, 16000, 64, 5, 10, 111
72, 4000, 16000, 64, 8, 16, 143
38, 4000, 8000, 32, 16, 32, 51
200, 1000, 2000, 0, 1, 2, 25
160, 512, 4000, 2, 1, 5, 30
160, 1000, 4000, 8, 1, 14, 38
160, 1000, 8000, 16, 1, 14, 60
52, 4000, 16000, 32, 4, 12, 130
116, 2000, 8000, 32, 5, 28, 70
50, 2000, 32000, 48, 26, 52, 208
180, 262, 4000, 0, 1, 3, 18
480, 1000, 4000, 0, 0, 0, 45
