@relation machineCPU
@attribute MYCT integer [17, 1500]
@attribute MMIN integer [64, 32000]
@attribute MMAX integer [64, 64000]
@attribute CACH integer [0, 256]
@attribute CHMIN integer [0, 52]
@attribute CHMAX integer [0, 176]
@attribute PRP integer [6, 1150]
@inputs MYCT, MMIN, MMAX, CACH, CHMIN, CHMAX
@outputs PRP
@data
125, 256, 6000, 256, 16, 128, 198
29, 8000, 32000, 32, 8, 32, 269
29, 8000, 32000, 32, 8, 32, 172
26, 8000, 32000, 64, 8, 32, 318
60, 2000, 8000, 65, 1, 8, 92
320, 512, 2000, 4, 1, 3, 69
56, 5240, 20970, 30, 12, 24, 106
50, 500, 2000, 8, 1, 4, 20
50, 1000, 4000, 8, 3, 5, 26
133, 1000, 12000, 9, 3, 12, 72
320, 512, 8000, 4, 1, 5, 40
700, 256, 2000, 0, 1, 1, 24
800, 256, 8000, 0, 1, 4, 14
75, 2000, 8000, 8, 3, 24, 62
300, 768, 3000, 0, 6, 24, 36
300, 768, 12000, 6, 6, 24, 50
300, 384, 12000, 6, 1, 24, 53
300, 1000, 16000, 8, 2, 112, 38
140, 2000, 4000, 8, 1, 20, 22
600, 768, 2000, 0, 1, 1, 16
900, 1000, 4000, 4, 1, 2, 18
185, 2000, 16000, 16, 1, 6, 76
180, 2000, 16000, 16, 1, 6, 66
25, 2000, 12000, 8, 1, 4, 49
17, 4000, 16000, 32, 6, 12, 133
50, 2000, 4000, 0, 3, 6, 27
100, 1000, 8000, 24, 3, 6, 32
50, 2000, 16000, 12, 3, 16, 45
92, 2000, 8000, 32, 1, 6, 60
38, 16000, 32000, 128, 16, 32, 510
48, 4000, 24000, 32, 8, 24, 214
112, 1000, 1000, 0, 1, 4, 8
84, 1000, 2000, 0, 1, 6, 12
56, 4000, 8000, 0, 1, 8, 34
56, 4000, 12000, 0, 1, 8, 42
38, 4000, 8000, 32, 16, 32, 116
38, 8000, 24000, 160, 4, 8, 140
200, 1000, 4000, 0, 1, 4, 30
160, 512, 2000, 2, 3, 8, 32
105, 2000, 4000, 8, 3, 8, 22
50, 4000, 32000, 112, 52, 104, 397
30, 8000, 64000, 128, 12, 176, 1150
