@relation machineCPU
@attribute MYCT integer [17, 1500]
@attribute MMIN integer [64, 32000]
@attribute MMAX integer [64, 64000]
@attribute CACH integer [0, 256]
@attribute CHMIN integer [0, 52]
@attribute CHMAX integer [0, 176]
@attribute PRP integer [6, 1150]
@inputs MYCT, MMIN, MMAX, CACH, CHMIN, CHMAX
@outputs PRP
@data
23, 16000, 32000, 64, 16, 32, 489
23, 32000, 64000, 128, 32, 64, 1144
400, 1000, 3000, 0, 1, 2, 38
110, 3100, 6200, 0, 6, 64, 76
320, 256, 3000, 4, 1, 3, 27
200, 512, 8000, 8, 1, 8, 62
140, 1000, 16000, 16, 1, 3, 138
110, 1000, 12000, 16, 1, 2, 60
220, 1000, 8000, 16, 1, 2, 71
800, 256, 8000, 0, 1, 4, 20
800, 256, 8000, 0, 1, 4, 16
800, 256, 8000, 0, 1, 4, 22
125, 512, 1000, 0, 8, 20, 36
75, 2000, 16000, 64, 1, 38, 144
75, 2000, 16000, 128, 1, 38, 259
105, 256, 2000, 0, 3, 10, 26
105, 1000, 4000, 0, 3, 24, 32
140, 2000, 4000, 0, 4, 8, 40
140, 2000, 32000, 32, 1, 54, 189
57, 4000, 16000, 1, 6, 12, 132
1100, 512, 1500, 0, 1, 1, 7
1100, 768, 2000, 0, 1, 1, 13
400, 2000, 4000, 0, 1, 1, 32
225, 2000, 4000, 8, 3, 6, 34
180, 2000, 8000, 8, 1, 6, 50
225, 1000, 4000, 2, 3, 6, 24
1500, 768, 2000, 0, 0, 0, 18
50, 2000, 8000, 8, 3, 6, 45
50, 2000, 16000, 24, 6, 16, 65
150, 512, 4000, 0, 8, 128, 30
60, 4000, 16000, 32, 1, 6, 86
72, 2000, 8000, 16, 6, 8, 105
40, 8000, 16000, 32, 8, 16, 214
35, 8000, 32000, 64, 8, 24, 370
200, 2000, 8000, 64, 1, 5, 41
240, 512, 2000, 8, 1, 5, 11
50, 2000, 32000, 24, 6, 26, 114
50, 2000, 32000, 112, 52, 104, 307
180, 512, 4000, 0, 1, 3, 21
98, 1000, 8000, 32, 2, 8, 46
125, 2000, 8000, 0, 2, 14, 52
480, 512, 8000, 32, 0, 0, 67
