@relation page-blocks0
@attribute Height integer [1, 804]
@attribute Lenght integer [1, 553]
@attribute Area integer [7, 143993]
@attribute Eccen real [0.0070, 537.0]
@attribute P_black real [0.052, 1.0]
@attribute P_and real [0.062, 1.0]
@attribute Mean_tr real [1.0, 4955.0]
@attribute Blackpix integer [1, 33017]
@attribute Blackand integer [7, 46133]
@attribute Wb_trans integer [1, 3212]
@attribute Class {positive, negative}
@inputs Height, Lenght, Area, Eccen, P_black, P_and, Mean_tr, Blackpix, Blackand, Wb_trans
@outputs Class
@data
5, 7, 35, 1.4, 0.4, 0.657, 2.33, 14, 23, 6, negative
6, 3, 18, 500.0, 0.5, 0.944, 2.25, 9, 17, 4, negative
5, 2, 10, 0.4, 0.8, 1.0, 8.0, 8, 10, 1, negative
5, 4, 20, 0.8, 0.5, 0.8, 10.0, 10, 16, 1, negative
11, 9, 99, 0.818, 0.343, 0.626, 3.4, 34, 62, 10, negative
11, 8, 88, 0.727, 0.602, 1.0, 5.89, 53, 88, 9, negative
11, 35, 385, 3.182, 0.382, 0.657, 6.13, 147, 253, 24, negative
3, 59, 177, 19.667, 0.475, 0.475, 84.0, 84, 84, 1, positive
9, 21, 189, 2.333, 0.429, 0.772, 3.0, 81, 146, 27, negative
2, 22, 44, 11.0, 0.705, 0.864, 15.5, 31, 38, 2, positive
9, 41, 369, 4.556, 0.298, 0.775, 1.9, 110, 286, 58, negative
10, 4, 40, 0.4, 0.375, 0.4, 15.0, 15, 16, 1, negative
9, 32, 288, 3.556, 0.271, 0.594, 2.23, 78, 171, 35, negative
1, 10, 10, 10.0, 1.0, 1.0, 10.0, 10, 10, 1, positive
9, 5, 45, 0.556, 0.378, 0.933, 2.83, 17, 42, 6, negative
3, 113, 339, 37.667, 0.357, 0.378, 30.25, 121, 128, 4, positive
98, 3, 294, 0.031, 0.48, 0.486, 141.0, 141, 143, 1, positive
9, 37, 333, 4.111, 0.526, 0.898, 3.18, 175, 299, 55, negative
9, 85, 765, 9.444, 0.302, 0.812, 1.82, 231, 621, 127, negative
9, 75, 675, 8.333, 0.256, 0.606, 2.19, 173, 409, 79, negative
10, 44, 440, 4.4, 0.393, 0.852, 3.15, 173, 375, 55, negative
9, 40, 360, 4.444, 0.356, 0.967, 2.29, 128, 348, 56, negative
2, 18, 36, 9.0, 0.722, 0.722, 26.0, 26, 26, 1, positive
1, 8, 8, 8.0, 1.0, 1.0, 8.0, 8, 8, 1, positive
2, 69, 138, 34.5, 0.623, 0.906, 10.75, 86, 125, 8, positive
11, 77, 847, 7.0, 0.345, 0.874, 2.43, 292, 740, 120, negative
9, 41, 369, 4.556, 0.301, 0.886, 1.91, 111, 327, 58, negative
1, 57, 57, 57.0, 0.456, 1.0, 3.71, 26, 57, 7, positive
6, 27, 162, 4.5, 0.154, 0.481, 2.78, 25, 78, 9, negative
7, 17, 119, 2.429, 0.227, 0.58, 2.7, 27, 69, 10, negative
2, 31, 62, 15.5, 0.194, 0.516, 2.0, 12, 32, 6, negative
2, 19, 38, 9.5, 0.237, 1.0, 1.8, 9, 38, 5, negative
11, 9, 99, 0.818, 0.485, 0.727, 6.0, 48, 72, 8, negative
11, 9, 99, 0.818, 0.475, 0.636, 15.67, 47, 63, 3, negative
11, 8, 88, 0.727, 0.511, 0.852, 9.0, 45, 75, 5, negative
10, 38, 380, 3.8, 0.387, 0.887, 2.49, 147, 337, 59, negative
9, 14, 126, 1.556, 0.127, 0.937, 1.78, 16, 118, 9, negative
8, 35, 280, 4.375, 0.379, 0.886, 1.66, 106, 248, 64, negative
9, 95, 855, 10.556, 0.285, 0.723, 2.1, 244, 618, 116, negative
8, 80, 640, 10.0, 0.298, 0.883, 1.72, 191, 565, 111, negative
9, 99, 891, 11.0, 0.27, 0.818, 1.93, 241, 729, 125, negative
8, 84, 672, 10.5, 0.269, 0.966, 1.79, 181, 649, 101, negative
8, 53, 424, 6.625, 0.358, 0.981, 1.54, 152, 416, 99, negative
8, 46, 368, 5.75, 0.391, 0.951, 1.85, 144, 350, 78, negative
11, 42, 462, 3.818, 0.335, 0.829, 2.25, 155, 383, 69, negative
12, 62, 744, 5.167, 0.234, 0.66, 1.58, 174, 491, 110, negative
9, 99, 891, 11.0, 0.464, 0.942, 2.52, 413, 839, 164, negative
8, 31, 248, 3.875, 0.327, 0.79, 1.84, 81, 196, 44, negative
9, 101, 909, 11.222, 0.442, 0.861, 2.68, 402, 783, 150, negative
10, 126, 1260, 12.6, 0.41, 0.833, 2.63, 516, 1049, 196, negative
9, 35, 315, 3.889, 0.263, 0.667, 2.86, 83, 210, 29, negative
8, 45, 360, 5.625, 0.469, 0.956, 2.91, 169, 344, 58, negative
1, 45, 45, 45.0, 0.756, 1.0, 5.67, 34, 45, 6, positive
7, 35, 245, 5.0, 0.453, 0.873, 2.47, 111, 214, 45, negative
