@relation page-blocks0
@attribute Height integer [1, 804]
@attribute Lenght integer [1, 553]
@attribute Area integer [7, 143993]
@attribute Eccen real [0.0070, 537.0]
@attribute P_black real [0.052, 1.0]
@attribute P_and real [0.062, 1.0]
@attribute Mean_tr real [1.0, 4955.0]
@attribute Blackpix integer [1, 33017]
@attribute Blackand integer [7, 46133]
@attribute Wb_trans integer [1, 3212]
@attribute Class {positive, negative}
@inputs Height, Lenght, Area, Eccen, P_black, P_and, Mean_tr, Blackpix, Blackand, Wb_trans
@outputs Class
@data
6, 18, 108, 3.0, 0.287, 0.741, 4.43, 31, 80, 7, negative
6, 7, 42, 1.167, 0.357, 0.548, 7.5, 15, 23, 2, negative
5, 7, 35, 1.4, 0.429, 0.886, 2.5, 15, 31, 6, negative
13, 25, 325, 1.923, 0.351, 0.68, 6.0, 114, 221, 19, negative
3, 113, 339, 37.667, 0.41, 0.472, 13.9, 139, 160, 10, positive
10, 98, 980, 9.8, 0.379, 0.835, 2.22, 371, 818, 167, negative
4, 194, 776, 48.5, 0.263, 0.273, 34.0, 204, 212, 6, positive
9, 22, 198, 2.444, 0.288, 0.818, 2.48, 57, 162, 23, negative
9, 51, 459, 5.667, 0.296, 0.786, 2.34, 136, 361, 58, negative
12, 7, 84, 0.583, 0.214, 0.583, 3.6, 18, 49, 5, negative
3, 116, 348, 38.667, 0.385, 0.494, 33.5, 134, 172, 4, positive
1, 8, 8, 8.0, 1.0, 1.0, 8.0, 8, 8, 1, positive
11, 86, 946, 7.818, 0.413, 0.853, 3.1, 391, 807, 126, negative
11, 65, 715, 5.909, 0.39, 0.877, 2.61, 279, 627, 107, negative
11, 119, 1309, 10.818, 0.261, 0.798, 1.88, 341, 1045, 181, negative
11, 119, 1309, 10.818, 0.236, 0.747, 1.75, 309, 978, 177, negative
1, 17, 17, 17.0, 0.765, 1.0, 3.25, 13, 17, 4, positive
14, 185, 2590, 13.214, 0.254, 0.651, 2.27, 657, 1687, 289, negative
2, 116, 232, 58.0, 0.616, 0.802, 17.88, 143, 186, 8, positive
9, 123, 1107, 13.667, 0.362, 0.986, 2.62, 401, 1091, 153, negative
2, 17, 34, 8.5, 0.588, 0.971, 6.67, 20, 33, 3, positive
1, 12, 12, 12.0, 0.583, 1.0, 3.5, 7, 12, 2, negative
7, 58, 406, 8.286, 0.202, 0.751, 2.34, 82, 305, 35, negative
1, 12, 12, 12.0, 0.583, 1.0, 3.5, 7, 12, 2, negative
11, 8, 88, 0.727, 0.705, 1.0, 7.75, 62, 88, 8, negative
11, 8, 88, 0.727, 0.443, 0.466, 39.0, 39, 41, 1, negative
11, 7, 77, 0.636, 0.597, 1.0, 5.75, 46, 77, 8, negative
11, 7, 77, 0.636, 0.468, 1.0, 3.6, 36, 77, 10, negative
10, 98, 980, 9.8, 0.391, 0.835, 2.41, 383, 818, 159, negative
10, 49, 490, 4.9, 0.52, 0.961, 2.97, 255, 471, 86, negative
10, 21, 210, 2.1, 0.329, 0.843, 2.56, 69, 177, 27, negative
9, 34, 306, 3.778, 0.337, 0.817, 1.81, 103, 250, 57, negative
8, 80, 640, 10.0, 0.303, 0.922, 1.72, 194, 590, 113, negative
12, 26, 312, 2.167, 0.221, 1.0, 1.6, 69, 312, 43, negative
8, 26, 208, 3.25, 0.375, 0.947, 1.77, 78, 197, 44, negative
8, 75, 600, 9.375, 0.328, 0.888, 1.86, 197, 533, 106, negative
8, 8, 64, 1.0, 0.203, 0.344, 4.33, 13, 22, 3, negative
9, 84, 756, 9.333, 0.288, 0.791, 1.83, 218, 598, 119, negative
19, 2, 38, 0.105, 0.816, 0.816, 31.0, 31, 31, 1, positive
11, 118, 1298, 10.727, 0.26, 0.817, 2.01, 338, 1061, 168, negative
10, 2, 20, 0.2, 0.55, 0.6, 11.0, 11, 12, 1, positive
8, 44, 352, 5.5, 0.426, 0.938, 3.26, 150, 330, 46, negative
8, 40, 320, 5.0, 0.403, 0.991, 2.53, 129, 317, 51, negative
8, 43, 344, 5.375, 0.349, 0.814, 2.26, 120, 280, 53, negative
11, 301, 3311, 27.364, 0.308, 0.735, 2.22, 1019, 2435, 458, negative
6, 46, 276, 7.667, 0.217, 0.804, 2.0, 60, 222, 30, negative
3, 16, 48, 5.333, 0.375, 0.938, 2.25, 18, 45, 8, negative
1, 52, 52, 52.0, 0.788, 1.0, 10.25, 41, 52, 4, positive
8, 79, 632, 9.875, 0.375, 0.956, 2.12, 237, 604, 112, negative
10, 11, 110, 1.1, 0.382, 1.0, 1.5, 42, 110, 28, negative
8, 17, 136, 2.125, 0.353, 0.801, 2.0, 48, 109, 24, negative
9, 12, 108, 1.333, 0.407, 0.88, 1.69, 44, 95, 26, negative
8, 53, 424, 6.625, 0.37, 0.901, 1.76, 157, 382, 89, negative
11, 100, 1100, 9.091, 0.269, 0.765, 1.9, 296, 842, 156, negative
25, 71, 1775, 2.84, 0.234, 0.748, 2.22, 416, 1328, 187, negative
9, 82, 738, 9.111, 0.247, 0.935, 2.09, 182, 690, 87, negative
12, 13, 156, 1.083, 0.372, 0.981, 2.32, 58, 153, 25, negative
8, 75, 600, 9.375, 0.415, 0.91, 2.37, 249, 546, 105, negative
11, 84, 924, 7.636, 0.251, 0.681, 1.77, 232, 629, 131, negative
2, 123, 246, 61.5, 0.5, 0.504, 123.0, 123, 124, 1, positive
19, 123, 2337, 6.474, 0.089, 0.089, 207.0, 207, 208, 1, negative
10, 100, 1000, 10.0, 0.449, 0.874, 2.82, 449, 874, 159, negative
9, 82, 738, 9.111, 0.337, 0.817, 2.01, 249, 603, 124, negative
12, 116, 1392, 9.667, 0.246, 0.707, 1.99, 343, 984, 172, negative
11, 115, 1265, 10.455, 0.266, 0.723, 1.79, 337, 915, 188, negative
