@relation page-blocks0
@attribute Height integer [1, 804]
@attribute Lenght integer [1, 553]
@attribute Area integer [7, 143993]
@attribute Eccen real [0.0070, 537.0]
@attribute P_black real [0.052, 1.0]
@attribute P_and real [0.062, 1.0]
@attribute Mean_tr real [1.0, 4955.0]
@attribute Blackpix integer [1, 33017]
@attribute Blackand integer [7, 46133]
@attribute Wb_trans integer [1, 3212]
@attribute Class {positive, negative}
@inputs Height, Lenght, Area, Eccen, P_black, P_and, Mean_tr, Blackpix, Blackand, Wb_trans
@outputs Class
@data
6, 4, 24, 0.667, 0.417, 0.708, 2.5, 10, 17, 4, negative
5, 6, 30, 1.2, 0.333, 0.333, 10.0, 10, 10, 1, negative
5, 3, 15, 0.6, 0.533, 0.733, 8.0, 8, 11, 1, negative
5, 7, 35, 1.4, 0.429, 0.857, 5.0, 15, 30, 3, negative
5, 8, 40, 1.6, 0.375, 0.475, 15.0, 15, 19, 1, negative
13, 25, 325, 1.923, 0.234, 0.286, 10.86, 76, 93, 7, negative
11, 8, 88, 0.727, 0.58, 1.0, 5.1, 51, 88, 10, negative
11, 8, 88, 0.727, 0.409, 0.477, 36.0, 36, 42, 1, negative
2, 20, 40, 10.0, 0.675, 0.675, 27.0, 27, 27, 1, positive
10, 38, 380, 3.8, 0.426, 0.947, 3.12, 162, 360, 52, negative
9, 37, 333, 4.111, 0.532, 0.913, 3.22, 177, 304, 55, negative
2, 18, 36, 9.0, 0.667, 0.694, 24.0, 24, 25, 1, positive
2, 22, 44, 11.0, 0.75, 0.75, 33.0, 33, 33, 1, positive
9, 90, 810, 10.0, 0.26, 0.786, 2.18, 211, 637, 97, negative
9, 92, 828, 10.222, 0.286, 0.885, 1.93, 237, 733, 123, negative
8, 95, 760, 11.875, 0.303, 0.937, 1.77, 230, 712, 130, negative
11, 99, 1089, 9.0, 0.23, 0.601, 2.14, 250, 654, 117, negative
9, 92, 828, 10.222, 0.292, 0.843, 2.05, 242, 698, 118, negative
11, 85, 935, 7.727, 0.257, 0.894, 1.67, 240, 836, 144, negative
10, 83, 830, 8.3, 0.266, 0.827, 2.1, 221, 686, 105, negative
12, 14, 168, 1.167, 0.357, 0.958, 2.31, 60, 161, 26, negative
10, 63, 630, 6.3, 0.233, 0.705, 1.69, 147, 444, 87, negative
1, 13, 13, 13.0, 1.0, 1.0, 13.0, 13, 13, 1, positive
13, 10, 130, 0.769, 0.3, 0.808, 6.5, 39, 105, 6, negative
11, 20, 220, 1.818, 0.168, 0.75, 3.36, 37, 165, 11, negative
10, 126, 1260, 12.6, 0.425, 0.862, 2.68, 536, 1086, 200, negative
9, 13, 117, 1.444, 0.239, 0.462, 4.67, 28, 54, 6, negative
8, 48, 384, 6.0, 0.302, 0.914, 1.76, 116, 351, 66, negative
9, 44, 396, 4.889, 0.46, 0.937, 2.84, 182, 371, 64, negative
