@relation page-blocks0
@attribute Height integer [1, 804]
@attribute Lenght integer [1, 553]
@attribute Area integer [7, 143993]
@attribute Eccen real [0.0070, 537.0]
@attribute P_black real [0.052, 1.0]
@attribute P_and real [0.062, 1.0]
@attribute Mean_tr real [1.0, 4955.0]
@attribute Blackpix integer [1, 33017]
@attribute Blackand integer [7, 46133]
@attribute Wb_trans integer [1, 3212]
@attribute Class {positive, negative}
@inputs Height, Lenght, Area, Eccen, P_black, P_and, Mean_tr, Blackpix, Blackand, Wb_trans
@outputs Class
@data
6, 7, 42, 1.167, 0.429, 0.881, 3.6, 18, 37, 5, negative
5, 7, 35, 1.4, 0.371, 0.743, 4.33, 13, 26, 3, negative
5, 5, 25, 1.0, 0.4, 0.52, 10.0, 10, 13, 1, negative
5, 7, 35, 1.4, 0.486, 0.914, 8.5, 17, 32, 2, negative
5, 6, 30, 1.2, 0.433, 0.733, 13.0, 13, 22, 1, negative
6, 7, 42, 1.167, 0.405, 0.952, 4.25, 17, 40, 4, negative
5, 19, 95, 3.8, 0.232, 0.4, 5.5, 22, 38, 4, negative
5, 5, 25, 1.0, 0.4, 0.56, 5.0, 10, 14, 2, negative
4, 6, 24, 1.5, 0.417, 0.5, 10.0, 10, 12, 1, negative
2, 101, 202, 50.5, 0.54, 0.743, 10.9, 109, 150, 10, positive
2, 18, 36, 9.0, 0.806, 0.833, 29.0, 29, 30, 1, positive
9, 12, 108, 1.333, 0.444, 0.981, 1.71, 48, 106, 28, negative
9, 80, 720, 8.889, 0.333, 0.878, 2.02, 240, 632, 119, negative
10, 12, 120, 1.2, 0.367, 1.0, 1.69, 44, 120, 26, negative
9, 12, 108, 1.333, 0.454, 1.0, 1.69, 49, 108, 29, negative
11, 102, 1122, 9.273, 0.223, 0.768, 1.53, 250, 862, 163, negative
12, 56, 672, 4.667, 0.256, 0.827, 2.02, 172, 556, 85, negative
9, 84, 756, 9.333, 0.222, 0.937, 1.81, 168, 708, 93, negative
12, 44, 528, 3.667, 0.261, 0.767, 2.38, 138, 405, 58, negative
10, 34, 340, 3.4, 0.297, 0.885, 1.71, 101, 301, 59, negative
12, 44, 528, 3.667, 0.294, 0.742, 2.31, 155, 392, 67, negative
1, 44, 44, 44.0, 0.25, 1.0, 2.2, 11, 44, 5, positive
8, 8, 64, 1.0, 0.234, 0.328, 5.0, 15, 21, 3, negative
9, 32, 288, 3.556, 0.302, 0.781, 2.07, 87, 225, 42, negative
11, 101, 1111, 9.182, 0.398, 0.888, 2.76, 442, 987, 160, negative
9, 40, 360, 4.444, 0.319, 0.919, 2.35, 115, 331, 49, negative
3, 116, 348, 38.667, 0.356, 0.371, 62.0, 124, 129, 2, positive
3, 132, 396, 44.0, 0.505, 0.558, 20.0, 200, 221, 10, positive
2, 46, 92, 23.0, 0.587, 0.761, 18.0, 54, 70, 3, positive
10, 131, 1310, 13.1, 0.415, 0.857, 2.74, 543, 1123, 198, negative
7, 107, 749, 15.286, 0.27, 0.654, 1.6, 202, 490, 126, negative
5, 9, 45, 1.8, 0.267, 0.778, 1.71, 12, 35, 7, negative
9, 19, 171, 2.111, 0.292, 0.76, 2.63, 50, 130, 19, negative
9, 55, 495, 6.111, 0.299, 1.0, 1.92, 148, 495, 77, negative
9, 96, 864, 10.667, 0.281, 0.815, 1.96, 243, 704, 124, negative
10, 13, 130, 1.3, 0.108, 0.685, 2.33, 14, 89, 6, negative
8, 70, 560, 8.75, 0.341, 0.918, 1.66, 191, 514, 115, negative
9, 82, 738, 9.111, 0.252, 0.74, 2.0, 186, 546, 93, negative
7, 33, 231, 4.714, 0.143, 0.844, 2.36, 33, 195, 14, negative
8, 48, 384, 6.0, 0.31, 0.807, 1.92, 119, 310, 62, negative
9, 20, 180, 2.222, 0.261, 0.556, 2.35, 47, 100, 20, negative
9, 22, 198, 2.444, 0.298, 0.965, 2.11, 59, 191, 28, negative
8, 41, 328, 5.125, 0.335, 0.933, 2.08, 110, 306, 53, negative
11, 21, 231, 1.909, 0.411, 0.68, 3.96, 95, 157, 24, negative
10, 21, 210, 2.1, 0.324, 0.6, 3.4, 68, 126, 20, negative
2, 157, 314, 78.5, 0.506, 0.551, 26.5, 159, 173, 6, positive
9, 36, 324, 4.0, 0.549, 0.914, 3.3, 178, 296, 54, negative
1, 32, 32, 32.0, 0.719, 1.0, 5.75, 23, 32, 4, positive
9, 23, 207, 2.556, 0.304, 1.0, 1.62, 63, 207, 39, negative
9, 37, 333, 4.111, 0.381, 0.808, 2.05, 127, 269, 62, negative
9, 32, 288, 3.556, 0.292, 0.826, 1.53, 84, 238, 55, negative
94, 2, 188, 0.021, 0.516, 0.516, 97.0, 97, 97, 1, positive
10, 83, 830, 8.3, 0.295, 0.725, 2.02, 245, 602, 121, negative
12, 43, 516, 3.583, 0.293, 0.791, 2.29, 151, 408, 66, negative
1, 36, 36, 36.0, 0.722, 1.0, 8.67, 26, 36, 3, positive
9, 32, 288, 3.556, 0.365, 0.781, 2.23, 105, 225, 47, negative
4, 2, 8, 0.5, 0.875, 0.875, 7.0, 7, 7, 1, positive
9, 44, 396, 4.889, 0.465, 0.944, 3.35, 184, 374, 55, negative
8, 46, 368, 5.75, 0.348, 0.918, 1.97, 128, 338, 65, negative
8, 45, 360, 5.625, 0.367, 0.897, 2.44, 132, 323, 54, negative
42, 7, 294, 0.167, 0.282, 0.432, 2.18, 83, 127, 38, positive
9, 174, 1566, 19.333, 0.178, 0.737, 1.71, 279, 1154, 163, negative
8, 45, 360, 5.625, 0.156, 0.725, 1.87, 56, 261, 30, negative
7, 27, 189, 3.857, 0.101, 0.619, 3.8, 19, 117, 5, negative
9, 97, 873, 10.778, 0.466, 0.973, 2.42, 407, 849, 168, negative
9, 92, 828, 10.222, 0.365, 0.954, 2.2, 302, 790, 137, negative
3, 213, 639, 71.0, 0.318, 0.379, 11.94, 203, 242, 17, positive
45, 79, 3555, 1.756, 0.087, 0.195, 4.81, 308, 693, 64, positive
6, 22, 132, 3.667, 0.197, 1.0, 2.89, 26, 132, 9, negative
7, 45, 315, 6.429, 0.2, 0.775, 1.91, 63, 244, 33, negative
11, 35, 385, 3.182, 0.335, 0.584, 4.78, 129, 225, 27, negative
9, 21, 189, 2.333, 0.529, 0.958, 3.33, 100, 181, 30, negative
10, 49, 490, 4.9, 0.551, 0.943, 3.07, 270, 462, 88, negative
9, 78, 702, 8.667, 0.349, 0.863, 2.17, 245, 606, 113, negative
9, 82, 738, 9.111, 0.389, 0.92, 2.33, 287, 679, 123, negative
10, 11, 110, 1.1, 0.373, 1.0, 1.58, 41, 110, 26, negative
10, 34, 340, 3.4, 0.356, 0.803, 1.83, 121, 273, 66, negative
10, 126, 1260, 12.6, 0.456, 0.883, 2.85, 575, 1113, 202, negative
10, 85, 850, 8.5, 0.333, 0.696, 2.28, 283, 592, 124, negative
1, 40, 40, 40.0, 1.0, 1.0, 40.0, 40, 40, 1, positive
2, 64, 128, 32.0, 0.531, 0.586, 17.0, 68, 75, 4, positive
7, 47, 329, 6.714, 0.271, 0.878, 2.23, 89, 289, 40, negative
8, 47, 376, 5.875, 0.362, 0.88, 2.0, 136, 331, 68, negative
8, 16, 128, 2.0, 0.477, 0.906, 2.44, 61, 116, 25, negative
12, 8, 96, 0.667, 0.479, 0.5, 46.0, 46, 48, 1, negative
12, 7, 84, 0.583, 0.56, 1.0, 5.22, 47, 84, 9, negative
11, 98, 1078, 8.909, 0.317, 0.643, 2.8, 342, 693, 122, negative
9, 47, 423, 5.222, 0.492, 0.948, 2.42, 208, 401, 86, negative
17, 2, 34, 0.118, 0.706, 0.706, 24.0, 24, 24, 1, positive
8, 21, 168, 2.625, 0.31, 0.744, 1.68, 52, 125, 31, negative
9, 47, 423, 5.222, 0.385, 0.917, 2.51, 163, 388, 65, negative
8, 46, 368, 5.75, 0.318, 0.818, 2.09, 117, 301, 56, negative
9, 36, 324, 4.0, 0.556, 0.923, 3.21, 180, 299, 56, negative
9, 21, 189, 2.333, 0.487, 0.857, 3.29, 92, 162, 28, negative
9, 23, 207, 2.556, 0.3, 1.0, 1.51, 62, 207, 41, negative
9, 82, 738, 9.111, 0.428, 0.936, 2.38, 316, 691, 133, negative
12, 85, 1020, 7.083, 0.305, 0.828, 1.94, 311, 845, 160, negative
9, 82, 738, 9.111, 0.374, 0.866, 2.3, 276, 639, 120, negative
9, 82, 738, 9.111, 0.37, 0.924, 2.39, 273, 682, 114, negative
11, 100, 1100, 9.091, 0.473, 0.882, 3.29, 520, 970, 158, negative
9, 40, 360, 4.444, 0.483, 0.992, 2.85, 174, 357, 61, negative
9, 47, 423, 5.222, 0.371, 0.825, 2.75, 157, 349, 57, negative
9, 42, 378, 4.667, 0.429, 0.976, 2.75, 162, 369, 59, negative
1, 7, 7, 7.0, 1.0, 1.0, 7.0, 7, 7, 1, positive
1, 77, 77, 77.0, 0.403, 1.0, 5.17, 31, 77, 6, positive
6, 13, 78, 2.167, 0.128, 0.577, 1.67, 10, 45, 6, negative
7, 18, 126, 2.571, 0.119, 0.452, 2.14, 15, 57, 7, negative
7, 23, 161, 3.286, 0.093, 0.54, 1.36, 15, 87, 11, negative
7, 121, 847, 17.286, 0.276, 0.607, 1.79, 234, 514, 131, negative
10, 8, 80, 0.8, 0.4, 0.7, 4.0, 32, 56, 8, negative
9, 38, 342, 4.222, 0.444, 0.898, 2.71, 152, 307, 56, negative
8, 24, 192, 3.0, 0.297, 0.974, 1.43, 57, 187, 40, negative
9, 12, 108, 1.333, 0.407, 1.0, 1.63, 44, 108, 27, negative
9, 12, 108, 1.333, 0.407, 1.0, 1.57, 44, 108, 28, negative
9, 104, 936, 11.556, 0.282, 0.904, 1.93, 264, 846, 137, negative
8, 16, 128, 2.0, 0.156, 0.859, 5.0, 20, 110, 4, positive
8, 53, 424, 6.625, 0.337, 0.889, 1.64, 143, 377, 87, negative
8, 99, 792, 12.375, 0.351, 0.962, 1.66, 278, 762, 167, negative
9, 81, 729, 9.0, 0.287, 0.826, 2.22, 209, 602, 94, negative
1, 79, 79, 79.0, 0.608, 1.0, 6.86, 48, 79, 7, positive
9, 100, 900, 11.111, 0.463, 0.908, 2.92, 417, 817, 143, negative
9, 126, 1134, 14.0, 0.466, 0.907, 2.84, 528, 1029, 186, negative
8, 47, 376, 5.875, 0.324, 0.896, 2.18, 122, 337, 56, negative
1, 17, 17, 17.0, 0.824, 1.0, 4.67, 14, 17, 3, positive
7, 35, 245, 5.0, 0.482, 0.841, 2.81, 118, 206, 42, negative
7, 31, 217, 4.429, 0.221, 0.853, 1.78, 48, 185, 27, negative
8, 18, 144, 2.25, 0.215, 0.813, 2.38, 31, 117, 13, negative
10, 19, 190, 1.9, 0.332, 0.695, 3.71, 63, 132, 17, negative
7, 121, 847, 17.286, 0.305, 0.675, 1.79, 258, 572, 144, negative
1, 15, 15, 15.0, 0.867, 1.0, 6.5, 13, 15, 2, positive
10, 67, 670, 6.7, 0.291, 0.649, 2.17, 195, 435, 90, negative
9, 12, 108, 1.333, 0.444, 1.0, 1.78, 48, 108, 27, negative
12, 98, 1176, 8.167, 0.245, 0.624, 2.23, 288, 734, 129, negative
9, 12, 108, 1.333, 0.426, 1.0, 1.59, 46, 108, 29, negative
9, 53, 477, 5.889, 0.317, 0.805, 1.66, 151, 384, 91, negative
9, 33, 297, 3.667, 0.424, 0.97, 1.85, 126, 288, 68, negative
11, 43, 473, 3.909, 0.336, 0.753, 2.74, 159, 356, 58, negative
9, 47, 423, 5.222, 0.286, 0.738, 1.95, 121, 312, 62, negative
8, 44, 352, 5.5, 0.486, 0.952, 2.95, 171, 335, 58, negative
