@relation abalone19
@attribute Sex {M, F, I}
@attribute Length real [0.075, 0.815]
@attribute Diameter real [0.055, 0.65]
@attribute Height real [0.0, 1.13]
@attribute Whole_weight real [0.0020, 2.8255]
@attribute Shucked_weight real [0.0010, 1.488]
@attribute Viscera_weight real [5.0E-4, 0.76]
@attribute Shell_weight real [0.0015, 1.005]
@attribute Class {positive, negative}
@inputs Sex, Length, Diameter, Height, Whole_weight, Shucked_weight, Viscera_weight, Shell_weight
@outputs Class
@data
M, 0.455, 0.365, 0.095, 0.514, 0.2245, 0.101, 0.15, negative
F, 0.53, 0.42, 0.135, 0.677, 0.2565, 0.1415, 0.21, negative
M, 0.44, 0.365, 0.125, 0.516, 0.2155, 0.114, 0.155, negative
I, 0.425, 0.3, 0.095, 0.3515, 0.141, 0.0775, 0.12, negative
F, 0.53, 0.415, 0.15, 0.7775, 0.237, 0.1415, 0.33, negative
M, 0.355, 0.28, 0.095, 0.2455, 0.0955, 0.062, 0.075, negative
I, 0.38, 0.275, 0.1, 0.2255, 0.08, 0.049, 0.085, negative
F, 0.68, 0.55, 0.175, 1.798, 0.815, 0.3925, 0.455, positive
F, 0.54, 0.475, 0.155, 1.217, 0.5305, 0.3075, 0.34, negative
M, 0.355, 0.29, 0.09, 0.3275, 0.134, 0.086, 0.09, negative
I, 0.205, 0.15, 0.055, 0.042, 0.0255, 0.015, 0.012, negative
F, 0.46, 0.375, 0.12, 0.4605, 0.1775, 0.11, 0.15, negative
I, 0.52, 0.41, 0.12, 0.595, 0.2385, 0.111, 0.19, negative
M, 0.555, 0.425, 0.13, 0.7665, 0.264, 0.168, 0.275, negative
M, 0.595, 0.475, 0.14, 0.944, 0.3625, 0.189, 0.315, negative
F, 0.575, 0.45, 0.16, 0.9775, 0.3135, 0.231, 0.33, negative
M, 0.565, 0.425, 0.135, 0.8115, 0.341, 0.1675, 0.255, negative
M, 0.695, 0.56, 0.19, 1.494, 0.588, 0.3425, 0.485, negative
F, 0.545, 0.43, 0.165, 0.802, 0.2935, 0.183, 0.28, negative
M, 0.405, 0.305, 0.085, 0.2605, 0.1145, 0.0595, 0.085, negative
F, 0.515, 0.425, 0.14, 0.766, 0.304, 0.1725, 0.255, negative
I, 0.36, 0.28, 0.08, 0.1755, 0.081, 0.0505, 0.07, negative
M, 0.595, 0.48, 0.165, 1.262, 0.4835, 0.283, 0.41, negative
F, 0.44, 0.35, 0.125, 0.4035, 0.175, 0.063, 0.129, negative
F, 0.325, 0.26, 0.09, 0.1915, 0.085, 0.036, 0.062, negative
F, 0.425, 0.33, 0.115, 0.406, 0.1635, 0.081, 0.1355, negative
F, 0.305, 0.23, 0.08, 0.156, 0.0675, 0.0345, 0.048, negative
F, 0.605, 0.5, 0.185, 1.1185, 0.469, 0.2585, 0.335, negative
F, 0.635, 0.515, 0.19, 1.3715, 0.5065, 0.305, 0.45, negative
M, 0.515, 0.405, 0.13, 0.722, 0.32, 0.131, 0.21, negative
M, 0.705, 0.56, 0.22, 1.981, 0.8175, 0.3085, 0.76, negative
F, 0.53, 0.395, 0.145, 0.775, 0.308, 0.169, 0.255, negative
I, 0.235, 0.16, 0.04, 0.048, 0.0185, 0.018, 0.015, negative
M, 0.57, 0.48, 0.18, 0.9395, 0.399, 0.2, 0.295, negative
M, 0.62, 0.49, 0.19, 1.218, 0.5455, 0.2965, 0.355, negative
F, 0.63, 0.48, 0.15, 1.0525, 0.392, 0.336, 0.285, negative
F, 0.505, 0.41, 0.15, 0.644, 0.285, 0.145, 0.21, negative
M, 0.64, 0.5, 0.185, 1.3035, 0.4445, 0.2635, 0.465, negative
M, 0.56, 0.45, 0.16, 0.922, 0.432, 0.178, 0.26, negative
M, 0.5, 0.4, 0.165, 0.825, 0.254, 0.205, 0.285, negative
F, 0.44, 0.34, 0.14, 0.482, 0.186, 0.1085, 0.16, negative
I, 0.4, 0.3, 0.11, 0.315, 0.109, 0.067, 0.12, negative
I, 0.435, 0.34, 0.11, 0.3795, 0.1495, 0.085, 0.12, negative
F, 0.415, 0.325, 0.105, 0.38, 0.1595, 0.0785, 0.12, negative
F, 0.485, 0.395, 0.16, 0.66, 0.2475, 0.128, 0.235, negative
M, 0.45, 0.35, 0.13, 0.46, 0.174, 0.111, 0.135, negative
F, 0.39, 0.29, 0.125, 0.3055, 0.121, 0.082, 0.09, negative
F, 0.53, 0.415, 0.16, 0.783, 0.2935, 0.158, 0.245, negative
M, 0.565, 0.44, 0.175, 0.9025, 0.31, 0.193, 0.325, negative
I, 0.13, 0.1, 0.03, 0.013, 0.0045, 0.0030, 0.0040, negative
I, 0.32, 0.245, 0.08, 0.1585, 0.0635, 0.0325, 0.05, negative
I, 0.345, 0.27, 0.11, 0.2135, 0.082, 0.0545, 0.07, negative
I, 0.33, 0.25, 0.105, 0.1715, 0.0655, 0.035, 0.06, negative
M, 0.52, 0.45, 0.15, 0.895, 0.3615, 0.186, 0.235, negative
F, 0.45, 0.36, 0.125, 0.4995, 0.2035, 0.1, 0.17, negative
M, 0.59, 0.5, 0.2, 1.187, 0.412, 0.2705, 0.37, negative
M, 0.63, 0.505, 0.225, 1.525, 0.56, 0.3335, 0.45, negative
M, 0.61, 0.5, 0.24, 1.642, 0.532, 0.3345, 0.69, negative
M, 0.635, 0.525, 0.205, 1.484, 0.55, 0.3115, 0.43, negative
F, 0.495, 0.4, 0.155, 0.6445, 0.242, 0.1325, 0.205, negative
F, 0.535, 0.435, 0.16, 0.8105, 0.3155, 0.1795, 0.24, negative
F, 0.565, 0.505, 0.21, 1.2765, 0.501, 0.279, 0.355, negative
I, 0.275, 0.205, 0.075, 0.1105, 0.045, 0.0285, 0.035, negative
I, 0.28, 0.21, 0.085, 0.1065, 0.039, 0.0295, 0.03, negative
F, 0.54, 0.435, 0.175, 0.892, 0.322, 0.174, 0.335, negative
I, 0.2, 0.145, 0.06, 0.037, 0.0125, 0.0095, 0.011, negative
M, 0.45, 0.35, 0.1, 0.3675, 0.1465, 0.1015, 0.12, negative
I, 0.265, 0.21, 0.06, 0.0965, 0.0425, 0.022, 0.03, negative
I, 0.265, 0.205, 0.07, 0.1055, 0.039, 0.041, 0.035, negative
M, 0.5, 0.38, 0.155, 0.5955, 0.2135, 0.161, 0.2, negative
M, 0.62, 0.465, 0.185, 1.274, 0.579, 0.3065, 0.32, negative
M, 0.49, 0.39, 0.14, 0.707, 0.2795, 0.2185, 0.18, negative
F, 0.61, 0.495, 0.185, 1.153, 0.536, 0.2905, 0.245, negative
M, 0.58, 0.465, 0.145, 0.887, 0.4405, 0.1655, 0.265, negative
F, 0.69, 0.56, 0.215, 1.719, 0.68, 0.299, 0.47, negative
F, 0.68, 0.58, 0.2, 1.787, 0.585, 0.453, 0.6, positive
M, 0.685, 0.52, 0.15, 1.343, 0.4635, 0.292, 0.4, negative
F, 0.61, 0.495, 0.185, 1.1085, 0.3705, 0.3135, 0.33, negative
M, 0.485, 0.4, 0.135, 0.663, 0.313, 0.137, 0.2, negative
M, 0.545, 0.425, 0.135, 0.8445, 0.373, 0.21, 0.235, negative
I, 0.345, 0.275, 0.095, 0.1995, 0.0755, 0.0535, 0.07, negative
F, 0.515, 0.415, 0.14, 0.6935, 0.3115, 0.152, 0.2, negative
M, 0.59, 0.5, 0.165, 1.1045, 0.4565, 0.2425, 0.34, negative
F, 0.62, 0.47, 0.14, 1.0325, 0.3605, 0.224, 0.36, negative
I, 0.49, 0.38, 0.12, 0.529, 0.2165, 0.139, 0.155, negative
F, 0.49, 0.39, 0.135, 0.5785, 0.2465, 0.123, 0.2, negative
I, 0.36, 0.275, 0.11, 0.2335, 0.095, 0.0525, 0.085, negative
M, 0.725, 0.565, 0.215, 1.891, 0.6975, 0.4725, 0.58, negative
F, 0.645, 0.55, 0.175, 1.2915, 0.57, 0.3045, 0.33, negative
F, 0.525, 0.41, 0.135, 0.7085, 0.293, 0.1525, 0.235, negative
