@relation abalone19
@attribute Sex {M, F, I}
@attribute Length real [0.075, 0.815]
@attribute Diameter real [0.055, 0.65]
@attribute Height real [0.0, 1.13]
@attribute Whole_weight real [0.0020, 2.8255]
@attribute Shucked_weight real [0.0010, 1.488]
@attribute Viscera_weight real [5.0E-4, 0.76]
@attribute Shell_weight real [0.0015, 1.005]
@attribute Class {positive, negative}
@inputs Sex, Length, Diameter, Height, Whole_weight, Shucked_weight, Viscera_weight, Shell_weight
@outputs Class
@data
I, 0.33, 0.255, 0.08, 0.205, 0.0895, 0.0395, 0.055, negative
M, 0.475, 0.37, 0.125, 0.5095, 0.2165, 0.1125, 0.165, negative
M, 0.59, 0.445, 0.14, 0.931, 0.356, 0.234, 0.28, negative
M, 0.665, 0.525, 0.165, 1.338, 0.5515, 0.3575, 0.35, negative
M, 0.465, 0.355, 0.105, 0.4795, 0.227, 0.124, 0.125, negative
F, 0.45, 0.335, 0.105, 0.425, 0.1865, 0.091, 0.115, negative
I, 0.325, 0.245, 0.07, 0.161, 0.0755, 0.0255, 0.045, negative
F, 0.47, 0.36, 0.12, 0.4775, 0.2105, 0.1055, 0.15, negative
I, 0.245, 0.19, 0.06, 0.086, 0.042, 0.014, 0.025, negative
M, 0.475, 0.355, 0.12, 0.48, 0.234, 0.1015, 0.135, negative
F, 0.4, 0.32, 0.11, 0.353, 0.1405, 0.0985, 0.1, negative
F, 0.555, 0.425, 0.14, 0.788, 0.282, 0.1595, 0.285, negative
F, 0.615, 0.475, 0.17, 1.1025, 0.4695, 0.2355, 0.345, negative
M, 0.58, 0.45, 0.14, 1.013, 0.38, 0.216, 0.36, negative
M, 0.665, 0.535, 0.195, 1.606, 0.5755, 0.388, 0.48, negative
M, 0.47, 0.375, 0.13, 0.523, 0.214, 0.132, 0.145, negative
M, 0.605, 0.47, 0.16, 1.1735, 0.4975, 0.2405, 0.345, negative
F, 0.51, 0.39, 0.135, 0.6335, 0.231, 0.179, 0.2, negative
M, 0.495, 0.395, 0.125, 0.5415, 0.2375, 0.1345, 0.155, negative
I, 0.435, 0.32, 0.08, 0.3325, 0.1485, 0.0635, 0.105, negative
F, 0.53, 0.415, 0.115, 0.5915, 0.233, 0.1585, 0.18, negative
I, 0.385, 0.29, 0.085, 0.2505, 0.112, 0.061, 0.08, negative
F, 0.55, 0.45, 0.145, 0.741, 0.295, 0.1435, 0.2665, negative
M, 0.475, 0.375, 0.13, 0.5175, 0.2075, 0.1165, 0.17, negative
F, 0.565, 0.45, 0.135, 0.9885, 0.387, 0.1495, 0.31, negative
F, 0.725, 0.56, 0.21, 2.141, 0.65, 0.398, 1.005, negative
F, 0.725, 0.575, 0.175, 2.124, 0.765, 0.4515, 0.85, negative
F, 0.68, 0.515, 0.175, 1.6185, 0.5125, 0.409, 0.62, negative
F, 0.645, 0.51, 0.2, 1.5675, 0.621, 0.367, 0.46, negative
F, 0.63, 0.5, 0.185, 1.383, 0.54, 0.3315, 0.38, negative
F, 0.51, 0.4, 0.14, 0.8145, 0.459, 0.1965, 0.195, negative
M, 0.5, 0.405, 0.155, 0.772, 0.346, 0.1535, 0.245, negative
M, 0.42, 0.335, 0.115, 0.369, 0.171, 0.071, 0.12, negative
F, 0.525, 0.415, 0.17, 0.8325, 0.2755, 0.1685, 0.31, negative
M, 0.47, 0.36, 0.135, 0.501, 0.1665, 0.115, 0.165, negative
F, 0.445, 0.325, 0.125, 0.455, 0.1785, 0.1125, 0.14, negative
F, 0.47, 0.35, 0.145, 0.5175, 0.187, 0.1235, 0.18, negative
F, 0.5, 0.37, 0.135, 0.45, 0.1715, 0.1055, 0.155, negative
M, 0.625, 0.505, 0.215, 1.4455, 0.496, 0.287, 0.435, negative
I, 0.16, 0.12, 0.035, 0.021, 0.0075, 0.0045, 0.0050, negative
M, 0.565, 0.425, 0.16, 0.9425, 0.3495, 0.2185, 0.275, negative
I, 0.23, 0.175, 0.065, 0.0645, 0.026, 0.0105, 0.02, negative
I, 0.36, 0.275, 0.085, 0.1975, 0.0745, 0.0415, 0.07, negative
M, 0.59, 0.47, 0.18, 1.1235, 0.4205, 0.2805, 0.36, negative
F, 0.595, 0.455, 0.155, 1.0605, 0.5135, 0.2165, 0.3, negative
M, 0.6, 0.495, 0.165, 1.2415, 0.485, 0.2775, 0.34, negative
M, 0.56, 0.45, 0.175, 1.011, 0.3835, 0.2065, 0.37, negative
I, 0.245, 0.195, 0.06, 0.095, 0.0445, 0.0245, 0.026, negative
M, 0.35, 0.275, 0.11, 0.2925, 0.1225, 0.0635, 0.0905, negative
M, 0.62, 0.485, 0.205, 1.219, 0.3875, 0.2505, 0.385, negative
F, 0.515, 0.425, 0.135, 0.712, 0.2665, 0.1605, 0.25, negative
F, 0.455, 0.355, 0.12, 0.4495, 0.177, 0.104, 0.15, negative
M, 0.44, 0.355, 0.125, 0.4775, 0.132, 0.0815, 0.19, negative
M, 0.36, 0.27, 0.1, 0.217, 0.0885, 0.0495, 0.0715, negative
M, 0.645, 0.515, 0.24, 1.5415, 0.471, 0.369, 0.535, negative
M, 0.56, 0.44, 0.14, 0.971, 0.443, 0.2045, 0.265, negative
I, 0.32, 0.255, 0.1, 0.1755, 0.073, 0.0415, 0.065, negative
M, 0.36, 0.295, 0.105, 0.241, 0.0865, 0.053, 0.095, negative
M, 0.62, 0.465, 0.19, 1.3415, 0.5705, 0.3175, 0.355, negative
M, 0.59, 0.45, 0.185, 1.283, 0.473, 0.276, 0.425, negative
F, 0.46, 0.425, 0.155, 0.746, 0.3005, 0.152, 0.24, negative
F, 0.525, 0.42, 0.16, 0.756, 0.2745, 0.173, 0.275, negative
I, 0.34, 0.26, 0.08, 0.2, 0.08, 0.0555, 0.055, negative
M, 0.61, 0.48, 0.15, 1.2, 0.56, 0.2455, 0.28, negative
M, 0.675, 0.525, 0.185, 1.587, 0.6935, 0.336, 0.395, negative
F, 0.685, 0.545, 0.18, 1.768, 0.7495, 0.392, 0.485, negative
F, 0.59, 0.465, 0.15, 0.997, 0.392, 0.246, 0.34, negative
F, 0.6, 0.48, 0.15, 1.029, 0.4085, 0.2705, 0.295, negative
F, 0.7, 0.575, 0.17, 1.31, 0.5095, 0.314, 0.42, negative
M, 0.535, 0.42, 0.145, 0.791, 0.33, 0.189, 0.25, negative
I, 0.415, 0.325, 0.1, 0.3215, 0.1535, 0.0595, 0.105, negative
M, 0.515, 0.455, 0.135, 0.7225, 0.295, 0.1625, 0.235, negative
M, 0.45, 0.355, 0.115, 0.479, 0.2125, 0.1045, 0.15, negative
M, 0.555, 0.45, 0.145, 0.915, 0.4, 0.246, 0.285, negative
M, 0.585, 0.475, 0.12, 0.945, 0.41, 0.2115, 0.28, negative
M, 0.545, 0.41, 0.14, 0.625, 0.223, 0.16, 0.235, negative
F, 0.67, 0.54, 0.165, 1.5015, 0.518, 0.358, 0.505, negative
M, 0.58, 0.45, 0.175, 1.068, 0.425, 0.203, 0.32, negative
M, 0.565, 0.455, 0.17, 0.9065, 0.342, 0.156, 0.32, negative
I, 0.385, 0.305, 0.095, 0.252, 0.0915, 0.055, 0.09, negative
F, 0.56, 0.455, 0.19, 0.714, 0.283, 0.129, 0.275, negative
M, 0.565, 0.435, 0.185, 0.9815, 0.329, 0.136, 0.39, negative
M, 0.605, 0.5, 0.175, 1.098, 0.4765, 0.232, 0.375, negative
F, 0.64, 0.54, 0.175, 1.221, 0.51, 0.259, 0.39, negative
M, 0.38, 0.285, 0.1, 0.2665, 0.115, 0.061, 0.075, negative
F, 0.67, 0.55, 0.19, 1.3905, 0.5425, 0.3035, 0.4, negative
M, 0.735, 0.59, 0.225, 1.756, 0.637, 0.3405, 0.58, negative
M, 0.55, 0.45, 0.13, 0.92, 0.378, 0.2385, 0.29, negative
M, 0.54, 0.42, 0.135, 0.8075, 0.3485, 0.1795, 0.235, negative
M, 0.625, 0.5, 0.195, 1.369, 0.5875, 0.2185, 0.37, negative
I, 0.68, 0.53, 0.185, 1.1095, 0.439, 0.245, 0.34, negative
M, 0.28, 0.2, 0.08, 0.0915, 0.033, 0.0215, 0.03, negative
M, 0.21, 0.15, 0.05, 0.0385, 0.0155, 0.0085, 0.01, negative
F, 0.57, 0.45, 0.16, 0.9715, 0.3965, 0.255, 0.26, negative
M, 0.445, 0.35, 0.115, 0.3615, 0.1565, 0.0695, 0.117, negative
I, 0.485, 0.39, 0.125, 0.591, 0.287, 0.141, 0.12, negative
I, 0.5, 0.385, 0.15, 0.6265, 0.2605, 0.1665, 0.16, negative
I, 0.515, 0.4, 0.12, 0.659, 0.2705, 0.179, 0.17, negative
M, 0.28, 0.21, 0.08, 0.1085, 0.041, 0.0265, 0.0345, negative
F, 0.41, 0.32, 0.115, 0.387, 0.165, 0.1005, 0.0985, negative
F, 0.57, 0.44, 0.14, 0.9535, 0.3785, 0.201, 0.305, negative
F, 0.61, 0.475, 0.14, 1.133, 0.5275, 0.2355, 0.35, negative
F, 0.645, 0.525, 0.19, 1.4635, 0.6615, 0.3435, 0.435, positive
I, 0.46, 0.355, 0.14, 0.4935, 0.216, 0.133, 0.115, negative
F, 0.66, 0.52, 0.18, 1.514, 0.526, 0.2975, 0.42, positive
I, 0.605, 0.47, 0.14, 0.939, 0.3385, 0.201, 0.32, negative
M, 0.195, 0.145, 0.05, 0.032, 0.01, 0.0080, 0.012, negative
I, 0.495, 0.37, 0.125, 0.4775, 0.185, 0.0705, 0.169, negative
M, 0.46, 0.365, 0.125, 0.467, 0.1895, 0.0945, 0.158, negative
M, 0.38, 0.235, 0.1, 0.258, 0.1055, 0.054, 0.08, negative
M, 0.355, 0.26, 0.085, 0.1905, 0.081, 0.0485, 0.055, negative
F, 0.51, 0.4, 0.13, 0.5735, 0.219, 0.1365, 0.195, negative
M, 0.325, 0.24, 0.085, 0.173, 0.0795, 0.038, 0.05, negative
M, 0.48, 0.375, 0.145, 0.777, 0.216, 0.13, 0.17, negative
F, 0.475, 0.36, 0.125, 0.447, 0.1695, 0.081, 0.14, negative
M, 0.255, 0.18, 0.065, 0.079, 0.034, 0.014, 0.025, negative
I, 0.45, 0.355, 0.12, 0.412, 0.1145, 0.0665, 0.16, positive
M, 0.455, 0.35, 0.12, 0.4835, 0.1815, 0.144, 0.16, negative
F, 0.485, 0.38, 0.15, 0.605, 0.2155, 0.14, 0.18, negative
M, 0.55, 0.425, 0.155, 0.9175, 0.2775, 0.243, 0.335, negative
F, 0.53, 0.41, 0.165, 0.8115, 0.24, 0.169, 0.24, positive
F, 0.49, 0.385, 0.15, 0.7865, 0.241, 0.14, 0.24, negative
M, 0.54, 0.415, 0.145, 0.74, 0.2635, 0.168, 0.245, negative
M, 0.5, 0.375, 0.15, 0.636, 0.2535, 0.145, 0.19, negative
I, 0.255, 0.19, 0.075, 0.0865, 0.0345, 0.0205, 0.025, negative
F, 0.43, 0.325, 0.115, 0.3865, 0.1475, 0.1065, 0.11, negative
F, 0.48, 0.385, 0.135, 0.536, 0.1895, 0.142, 0.173, negative
M, 0.395, 0.295, 0.115, 0.316, 0.1205, 0.0595, 0.1105, negative
M, 0.36, 0.295, 0.13, 0.2765, 0.0895, 0.057, 0.1005, negative
M, 0.355, 0.265, 0.085, 0.201, 0.069, 0.053, 0.0695, negative
I, 0.275, 0.2, 0.065, 0.1035, 0.0475, 0.0205, 0.03, negative
I, 0.25, 0.19, 0.06, 0.0765, 0.036, 0.0115, 0.0245, negative
I, 0.16, 0.11, 0.025, 0.018, 0.0065, 0.0055, 0.0050, negative
M, 0.4, 0.305, 0.085, 0.297, 0.108, 0.0705, 0.1, negative
F, 0.52, 0.4, 0.12, 0.6515, 0.261, 0.2015, 0.165, negative
M, 0.545, 0.42, 0.13, 0.879, 0.374, 0.1695, 0.23, negative
M, 0.525, 0.425, 0.12, 0.8665, 0.2825, 0.176, 0.29, negative
M, 0.445, 0.345, 0.09, 0.3795, 0.143, 0.074, 0.125, negative
M, 0.53, 0.415, 0.13, 0.8425, 0.275, 0.1945, 0.265, negative
F, 0.53, 0.42, 0.13, 1.001, 0.34, 0.226, 0.265, negative
M, 0.535, 0.42, 0.13, 0.8055, 0.301, 0.181, 0.28, negative
F, 0.51, 0.39, 0.105, 0.612, 0.187, 0.15, 0.195, negative
F, 0.58, 0.455, 0.165, 1.1365, 0.369, 0.3005, 0.275, negative
M, 0.62, 0.505, 0.185, 1.5275, 0.69, 0.368, 0.35, negative
F, 0.54, 0.44, 0.135, 0.959, 0.2385, 0.221, 0.3, negative
M, 0.64, 0.51, 0.19, 1.613, 0.6215, 0.361, 0.47, negative
M, 0.515, 0.435, 0.145, 0.8815, 0.292, 0.206, 0.255, negative
F, 0.57, 0.465, 0.16, 0.8935, 0.3145, 0.2575, 0.263, negative
M, 0.44, 0.335, 0.11, 0.394, 0.157, 0.096, 0.122, negative
M, 0.45, 0.335, 0.125, 0.349, 0.119, 0.1055, 0.115, negative
M, 0.425, 0.33, 0.13, 0.4405, 0.152, 0.0935, 0.155, negative
I, 0.37, 0.275, 0.1, 0.22, 0.094, 0.045, 0.065, negative
F, 0.44, 0.34, 0.13, 0.4195, 0.153, 0.1155, 0.13, negative
F, 0.52, 0.41, 0.115, 0.807, 0.2855, 0.179, 0.235, negative
F, 0.49, 0.365, 0.13, 0.6835, 0.165, 0.1315, 0.205, negative
I, 0.255, 0.185, 0.06, 0.088, 0.0365, 0.021, 0.023, negative
I, 0.325, 0.25, 0.08, 0.1735, 0.0765, 0.0345, 0.049, negative
I, 0.395, 0.29, 0.095, 0.319, 0.138, 0.08, 0.082, negative
I, 0.415, 0.32, 0.11, 0.3735, 0.175, 0.0755, 0.109, negative
I, 0.445, 0.335, 0.1, 0.4895, 0.2745, 0.086, 0.1105, negative
I, 0.45, 0.35, 0.13, 0.547, 0.245, 0.1405, 0.1405, negative
M, 0.525, 0.395, 0.13, 0.7635, 0.3375, 0.1425, 0.225, negative
M, 0.59, 0.46, 0.13, 1.102, 0.455, 0.2055, 0.33, negative
F, 0.595, 0.475, 0.16, 1.1405, 0.547, 0.231, 0.271, negative
M, 0.6, 0.475, 0.175, 1.3445, 0.549, 0.2875, 0.36, negative
M, 0.615, 0.51, 0.15, 1.296, 0.545, 0.3315, 0.32, negative
M, 0.63, 0.505, 0.165, 1.26, 0.4525, 0.2755, 0.406, negative
F, 0.64, 0.51, 0.165, 1.486, 0.7595, 0.332, 0.321, negative
F, 0.68, 0.56, 0.195, 1.7775, 0.861, 0.322, 0.415, negative
F, 0.695, 0.56, 0.22, 1.834, 0.8455, 0.422, 0.455, negative
M, 0.73, 0.595, 0.23, 2.8255, 1.1465, 0.419, 0.897, negative
I, 0.205, 0.14, 0.05, 0.046, 0.0165, 0.012, 0.0135, negative
I, 0.265, 0.195, 0.06, 0.092, 0.0345, 0.025, 0.0245, negative
I, 0.295, 0.23, 0.08, 0.1625, 0.065, 0.05, 0.0385, negative
I, 0.32, 0.24, 0.09, 0.1575, 0.07, 0.0265, 0.0425, negative
I, 0.375, 0.28, 0.09, 0.215, 0.084, 0.06, 0.055, negative
I, 0.385, 0.265, 0.08, 0.251, 0.124, 0.037, 0.07, negative
I, 0.41, 0.31, 0.09, 0.3335, 0.1635, 0.061, 0.091, negative
I, 0.415, 0.33, 0.09, 0.3595, 0.17, 0.081, 0.09, negative
I, 0.42, 0.315, 0.1, 0.3435, 0.157, 0.0795, 0.09, negative
I, 0.425, 0.34, 0.1, 0.382, 0.164, 0.096, 0.1, negative
F, 0.445, 0.335, 0.11, 0.4355, 0.2025, 0.1095, 0.1195, negative
M, 0.48, 0.375, 0.115, 0.6765, 0.3205, 0.1065, 0.17, negative
