@relation abalone19
@attribute Sex {M, F, I}
@attribute Length real [0.075, 0.815]
@attribute Diameter real [0.055, 0.65]
@attribute Height real [0.0, 1.13]
@attribute Whole_weight real [0.0020, 2.8255]
@attribute Shucked_weight real [0.0010, 1.488]
@attribute Viscera_weight real [5.0E-4, 0.76]
@attribute Shell_weight real [0.0015, 1.005]
@attribute Class {positive, negative}
@inputs Sex, Length, Diameter, Height, Whole_weight, Shucked_weight, Viscera_weight, Shell_weight
@outputs Class
@data
M, 0.35, 0.265, 0.09, 0.2255, 0.0995, 0.0485, 0.07, negative
F, 0.535, 0.405, 0.145, 0.6845, 0.2725, 0.171, 0.205, negative
F, 0.47, 0.355, 0.1, 0.4755, 0.1675, 0.0805, 0.185, negative
F, 0.615, 0.48, 0.165, 1.1615, 0.513, 0.301, 0.305, negative
F, 0.56, 0.44, 0.14, 0.9285, 0.3825, 0.188, 0.3, negative
F, 0.58, 0.45, 0.185, 0.9955, 0.3945, 0.272, 0.285, negative
M, 0.605, 0.475, 0.18, 0.9365, 0.394, 0.219, 0.295, negative
F, 0.575, 0.445, 0.135, 0.883, 0.381, 0.2035, 0.26, negative
F, 0.525, 0.425, 0.16, 0.8355, 0.3545, 0.2135, 0.245, negative
M, 0.405, 0.31, 0.1, 0.385, 0.173, 0.0915, 0.11, negative
M, 0.47, 0.385, 0.135, 0.5895, 0.2765, 0.12, 0.17, negative
M, 0.45, 0.345, 0.105, 0.4115, 0.18, 0.1125, 0.135, negative
M, 0.505, 0.405, 0.11, 0.625, 0.305, 0.16, 0.175, negative
F, 0.53, 0.41, 0.13, 0.6965, 0.302, 0.1935, 0.2, negative
F, 0.475, 0.39, 0.12, 0.5305, 0.2135, 0.1155, 0.17, negative
M, 0.57, 0.48, 0.175, 1.185, 0.474, 0.261, 0.38, negative
M, 0.62, 0.51, 0.175, 1.615, 0.5105, 0.192, 0.675, negative
F, 0.57, 0.465, 0.18, 1.295, 0.339, 0.2225, 0.44, negative
F, 0.46, 0.355, 0.13, 0.517, 0.2205, 0.114, 0.165, negative
M, 0.595, 0.465, 0.175, 1.115, 0.4015, 0.254, 0.39, negative
M, 0.535, 0.435, 0.15, 0.725, 0.269, 0.1385, 0.25, negative
M, 0.47, 0.37, 0.13, 0.5225, 0.201, 0.133, 0.165, negative
F, 0.475, 0.375, 0.125, 0.5785, 0.2775, 0.085, 0.155, negative
M, 0.55, 0.435, 0.145, 0.843, 0.328, 0.1915, 0.255, negative
M, 0.53, 0.415, 0.14, 0.724, 0.3105, 0.1675, 0.205, negative
F, 0.52, 0.41, 0.155, 0.727, 0.291, 0.1835, 0.235, negative
M, 0.465, 0.36, 0.105, 0.431, 0.172, 0.107, 0.175, negative
F, 0.545, 0.41, 0.125, 0.6935, 0.2975, 0.146, 0.21, negative
M, 0.44, 0.34, 0.105, 0.402, 0.1305, 0.0955, 0.165, negative
I, 0.385, 0.295, 0.085, 0.2535, 0.103, 0.0575, 0.085, negative
M, 0.7, 0.535, 0.16, 1.7255, 0.63, 0.2635, 0.54, positive
I, 0.35, 0.26, 0.095, 0.211, 0.086, 0.056, 0.068, negative
I, 0.265, 0.2, 0.065, 0.0975, 0.04, 0.0205, 0.028, negative
F, 0.405, 0.325, 0.11, 0.3555, 0.151, 0.063, 0.117, negative
M, 0.56, 0.455, 0.155, 0.797, 0.34, 0.19, 0.2425, negative
M, 0.46, 0.35, 0.12, 0.515, 0.224, 0.108, 0.1565, negative
I, 0.175, 0.13, 0.055, 0.0315, 0.0105, 0.0065, 0.0125, negative
F, 0.575, 0.46, 0.19, 0.994, 0.392, 0.2425, 0.34, negative
M, 0.605, 0.465, 0.165, 1.056, 0.4215, 0.2475, 0.34, negative
F, 0.65, 0.545, 0.23, 1.752, 0.5605, 0.2895, 0.815, negative
F, 0.68, 0.57, 0.205, 1.842, 0.625, 0.408, 0.65, negative
M, 0.695, 0.55, 0.215, 1.9565, 0.7125, 0.541, 0.59, negative
F, 0.52, 0.405, 0.115, 0.776, 0.32, 0.1845, 0.22, negative
I, 0.315, 0.21, 0.06, 0.125, 0.06, 0.0375, 0.035, negative
F, 0.56, 0.45, 0.16, 1.0235, 0.429, 0.268, 0.3, negative
M, 0.615, 0.48, 0.18, 1.1595, 0.4845, 0.2165, 0.325, negative
M, 0.61, 0.485, 0.17, 1.0225, 0.419, 0.2405, 0.36, negative
I, 0.355, 0.275, 0.085, 0.22, 0.092, 0.06, 0.15, negative
M, 0.585, 0.46, 0.185, 0.922, 0.3635, 0.213, 0.285, negative
F, 0.5, 0.4, 0.145, 0.63, 0.234, 0.1465, 0.23, negative
I, 0.37, 0.28, 0.095, 0.2655, 0.122, 0.052, 0.08, negative
M, 0.55, 0.405, 0.14, 0.8025, 0.244, 0.1635, 0.255, negative
F, 0.49, 0.375, 0.15, 0.5755, 0.22, 0.144, 0.19, negative
I, 0.425, 0.38, 0.105, 0.3265, 0.1285, 0.0785, 0.1, negative
F, 0.58, 0.465, 0.165, 1.1015, 0.404, 0.2095, 0.35, negative
I, 0.275, 0.215, 0.075, 0.1155, 0.0485, 0.029, 0.035, negative
I, 0.075, 0.055, 0.01, 0.0020, 0.0010, 5.0E-4, 0.0015, negative
F, 0.59, 0.475, 0.16, 1.1015, 0.4775, 0.2555, 0.295, negative
M, 0.47, 0.39, 0.15, 0.6355, 0.2185, 0.0885, 0.255, negative
F, 0.66, 0.53, 0.185, 1.3485, 0.493, 0.245, 0.49, negative
F, 0.535, 0.415, 0.185, 0.8415, 0.314, 0.1585, 0.3, negative
M, 0.485, 0.395, 0.14, 0.6295, 0.2285, 0.127, 0.225, negative
M, 0.61, 0.475, 0.165, 1.116, 0.428, 0.2205, 0.315, negative
F, 0.405, 0.305, 0.095, 0.3485, 0.1455, 0.0895, 0.1, negative
M, 0.55, 0.41, 0.125, 0.7605, 0.2505, 0.1635, 0.195, negative
M, 0.57, 0.435, 0.145, 0.9055, 0.3925, 0.2355, 0.275, negative
M, 0.595, 0.455, 0.195, 1.3305, 0.4595, 0.3235, 0.345, positive
M, 0.63, 0.485, 0.175, 1.3, 0.4335, 0.2945, 0.46, negative
I, 0.3, 0.22, 0.08, 0.121, 0.0475, 0.042, 0.035, negative
F, 0.585, 0.45, 0.17, 0.8685, 0.3325, 0.1635, 0.27, negative
M, 0.57, 0.46, 0.14, 0.9535, 0.4465, 0.2065, 0.245, negative
M, 0.58, 0.455, 0.17, 0.93, 0.408, 0.259, 0.22, negative
M, 0.635, 0.515, 0.17, 1.275, 0.509, 0.286, 0.34, negative
M, 0.745, 0.585, 0.215, 2.499, 0.9265, 0.472, 0.7, negative
F, 0.66, 0.565, 0.195, 1.7605, 0.692, 0.3265, 0.5, negative
F, 0.675, 0.545, 0.195, 1.7345, 0.6845, 0.3695, 0.605, negative
M, 0.63, 0.49, 0.19, 1.1775, 0.4935, 0.3365, 0.285, negative
M, 0.565, 0.465, 0.175, 0.995, 0.3895, 0.183, 0.37, negative
M, 0.605, 0.47, 0.18, 1.1405, 0.3755, 0.2805, 0.385, negative
F, 0.455, 0.37, 0.105, 0.4925, 0.216, 0.1245, 0.135, negative
M, 0.54, 0.42, 0.155, 0.7385, 0.3515, 0.152, 0.215, negative
M, 0.49, 0.42, 0.125, 0.609, 0.239, 0.1435, 0.22, negative
I, 0.465, 0.375, 0.12, 0.471, 0.222, 0.119, 0.14, negative
F, 0.47, 0.375, 0.125, 0.5615, 0.252, 0.137, 0.18, negative
M, 0.59, 0.485, 0.12, 0.911, 0.39, 0.182, 0.29, negative
F, 0.58, 0.46, 0.12, 0.9935, 0.4625, 0.2385, 0.28, negative
F, 0.605, 0.495, 0.17, 1.2385, 0.528, 0.2465, 0.39, negative
F, 0.63, 0.5, 0.17, 1.3135, 0.5595, 0.267, 0.4, negative
F, 0.63, 0.5, 0.155, 1.005, 0.367, 0.199, 0.36, negative
F, 0.61, 0.485, 0.165, 1.0915, 0.3935, 0.2435, 0.33, negative
F, 0.57, 0.45, 0.175, 0.9555, 0.38, 0.1665, 0.295, negative
I, 0.36, 0.275, 0.095, 0.217, 0.084, 0.0435, 0.09, negative
M, 0.39, 0.3, 0.09, 0.3055, 0.143, 0.0645, 0.085, negative
M, 0.5, 0.415, 0.165, 0.6885, 0.249, 0.138, 0.25, negative
F, 0.505, 0.425, 0.14, 0.85, 0.275, 0.1625, 0.285, positive
I, 0.395, 0.295, 0.1, 0.2715, 0.134, 0.0325, 0.085, negative
M, 0.655, 0.53, 0.195, 1.388, 0.567, 0.2735, 0.41, negative
F, 0.68, 0.55, 0.21, 1.7445, 0.5975, 0.305, 0.625, negative
F, 0.53, 0.44, 0.135, 0.7835, 0.313, 0.1715, 0.2185, negative
F, 0.52, 0.405, 0.12, 0.627, 0.2645, 0.1415, 0.181, negative
M, 0.53, 0.415, 0.175, 0.7395, 0.261, 0.1395, 0.2645, negative
M, 0.665, 0.54, 0.175, 1.347, 0.4955, 0.254, 0.415, negative
F, 0.58, 0.44, 0.18, 0.854, 0.3665, 0.1635, 0.245, negative
M, 0.585, 0.455, 0.225, 1.055, 0.3815, 0.221, 0.365, negative
F, 0.455, 0.35, 0.14, 0.5185, 0.221, 0.1265, 0.135, negative
F, 0.49, 0.38, 0.145, 0.6725, 0.249, 0.181, 0.21, negative
