@relation abalone19
@attribute Sex {M, F, I}
@attribute Length real [0.075, 0.815]
@attribute Diameter real [0.055, 0.65]
@attribute Height real [0.0, 1.13]
@attribute Whole_weight real [0.0020, 2.8255]
@attribute Shucked_weight real [0.0010, 1.488]
@attribute Viscera_weight real [5.0E-4, 0.76]
@attribute Shell_weight real [0.0015, 1.005]
@attribute Class {positive, negative}
@inputs Sex, Length, Diameter, Height, Whole_weight, Shucked_weight, Viscera_weight, Shell_weight
@outputs Class
@data
F, 0.545, 0.425, 0.125, 0.768, 0.294, 0.1495, 0.26, negative
F, 0.55, 0.44, 0.15, 0.8945, 0.3145, 0.151, 0.32, positive
F, 0.525, 0.38, 0.14, 0.6065, 0.194, 0.1475, 0.21, negative
M, 0.49, 0.38, 0.135, 0.5415, 0.2175, 0.095, 0.19, negative
M, 0.5, 0.4, 0.13, 0.6645, 0.258, 0.133, 0.24, negative
F, 0.44, 0.34, 0.1, 0.451, 0.188, 0.087, 0.13, negative
M, 0.365, 0.295, 0.08, 0.2555, 0.097, 0.043, 0.1, negative
M, 0.45, 0.32, 0.1, 0.381, 0.1705, 0.075, 0.115, negative
F, 0.565, 0.44, 0.155, 0.9395, 0.4275, 0.214, 0.27, negative
F, 0.55, 0.415, 0.135, 0.7635, 0.318, 0.21, 0.2, negative
F, 0.68, 0.56, 0.165, 1.639, 0.6055, 0.2805, 0.46, negative
F, 0.705, 0.55, 0.2, 1.7095, 0.633, 0.4115, 0.49, negative
F, 0.45, 0.355, 0.105, 0.5225, 0.237, 0.1165, 0.145, negative
I, 0.24, 0.175, 0.045, 0.07, 0.0315, 0.0235, 0.02, negative
M, 0.4, 0.32, 0.095, 0.303, 0.1335, 0.06, 0.1, negative
M, 0.485, 0.36, 0.13, 0.5415, 0.2595, 0.096, 0.16, negative
M, 0.425, 0.325, 0.095, 0.3785, 0.1705, 0.08, 0.1, negative
F, 0.565, 0.44, 0.16, 0.915, 0.354, 0.1935, 0.32, negative
F, 0.595, 0.495, 0.185, 1.285, 0.416, 0.224, 0.485, negative
I, 0.31, 0.235, 0.07, 0.151, 0.063, 0.0405, 0.045, negative
F, 0.6, 0.475, 0.15, 1.0075, 0.4425, 0.221, 0.28, negative
F, 0.575, 0.445, 0.14, 0.941, 0.3845, 0.252, 0.285, negative
M, 0.595, 0.475, 0.16, 1.3175, 0.408, 0.234, 0.58, negative
M, 0.625, 0.465, 0.14, 1.195, 0.4825, 0.205, 0.4, negative
M, 0.56, 0.44, 0.16, 0.8645, 0.3305, 0.2075, 0.26, negative
M, 0.555, 0.44, 0.15, 0.755, 0.307, 0.1525, 0.26, negative
I, 0.36, 0.265, 0.095, 0.2315, 0.105, 0.046, 0.075, negative
M, 0.53, 0.435, 0.16, 0.883, 0.316, 0.164, 0.335, negative
F, 0.5, 0.4, 0.125, 0.6675, 0.261, 0.1315, 0.22, negative
F, 0.435, 0.395, 0.105, 0.3635, 0.136, 0.098, 0.13, negative
M, 0.37, 0.265, 0.075, 0.214, 0.09, 0.051, 0.07, negative
M, 0.375, 0.285, 0.095, 0.253, 0.096, 0.0575, 0.0925, negative
F, 0.565, 0.445, 0.155, 0.826, 0.341, 0.2055, 0.2475, negative
M, 0.65, 0.52, 0.19, 1.3445, 0.519, 0.306, 0.4465, negative
I, 0.28, 0.205, 0.08, 0.127, 0.052, 0.039, 0.042, negative
F, 0.605, 0.485, 0.16, 1.0565, 0.37, 0.2355, 0.355, negative
F, 0.58, 0.455, 0.17, 0.9075, 0.374, 0.2135, 0.285, negative
M, 0.61, 0.485, 0.175, 1.2445, 0.544, 0.297, 0.345, negative
M, 0.525, 0.435, 0.155, 1.065, 0.486, 0.233, 0.285, negative
M, 0.58, 0.475, 0.15, 0.97, 0.385, 0.2165, 0.35, negative
M, 0.64, 0.51, 0.175, 1.368, 0.515, 0.266, 0.57, negative
F, 0.62, 0.475, 0.175, 1.0165, 0.4355, 0.214, 0.325, negative
M, 0.58, 0.45, 0.15, 0.927, 0.276, 0.1815, 0.36, negative
F, 0.45, 0.345, 0.12, 0.4165, 0.1655, 0.095, 0.135, negative
F, 0.53, 0.435, 0.17, 0.8155, 0.2985, 0.155, 0.275, negative
I, 0.405, 0.3, 0.12, 0.324, 0.1265, 0.07, 0.11, negative
F, 0.415, 0.305, 0.13, 0.32, 0.1305, 0.0755, 0.105, negative
M, 0.555, 0.445, 0.135, 0.836, 0.336, 0.1625, 0.275, negative
I, 0.44, 0.35, 0.135, 0.435, 0.1815, 0.083, 0.125, negative
I, 0.295, 0.225, 0.08, 0.124, 0.0485, 0.032, 0.04, negative
I, 0.11, 0.09, 0.03, 0.0080, 0.0025, 0.0020, 0.0030, negative
I, 0.35, 0.26, 0.085, 0.174, 0.0705, 0.0345, 0.06, negative
F, 0.54, 0.475, 0.155, 0.928, 0.394, 0.194, 0.26, negative
F, 0.64, 0.525, 0.215, 1.779, 0.4535, 0.2855, 0.55, negative
M, 0.515, 0.38, 0.175, 0.9565, 0.325, 0.158, 0.31, negative
F, 0.565, 0.455, 0.175, 1.013, 0.342, 0.207, 0.35, positive
F, 0.47, 0.36, 0.13, 0.472, 0.182, 0.114, 0.15, negative
I, 0.165, 0.12, 0.03, 0.0215, 0.0070, 0.0050, 0.0050, negative
F, 0.635, 0.535, 0.19, 1.242, 0.576, 0.2475, 0.39, negative
I, 0.33, 0.255, 0.095, 0.172, 0.066, 0.0255, 0.06, negative
I, 0.355, 0.275, 0.09, 0.251, 0.097, 0.053, 0.08, negative
F, 0.4, 0.325, 0.12, 0.3185, 0.134, 0.0565, 0.095, negative
I, 0.235, 0.175, 0.04, 0.0705, 0.0335, 0.015, 0.02, negative
F, 0.74, 0.6, 0.195, 1.974, 0.598, 0.4085, 0.71, negative
M, 0.6, 0.475, 0.19, 1.0875, 0.403, 0.2655, 0.325, negative
F, 0.62, 0.51, 0.205, 1.3475, 0.4775, 0.2565, 0.48, negative
I, 0.375, 0.305, 0.115, 0.2715, 0.092, 0.074, 0.09, negative
M, 0.605, 0.49, 0.18, 1.227, 0.48, 0.287, 0.35, negative
F, 0.65, 0.525, 0.175, 1.4225, 0.61, 0.2995, 0.445, negative
M, 0.63, 0.515, 0.16, 1.016, 0.4215, 0.244, 0.355, positive
M, 0.63, 0.49, 0.18, 1.13, 0.458, 0.2765, 0.315, negative
F, 0.585, 0.45, 0.16, 1.077, 0.4995, 0.2875, 0.25, negative
M, 0.47, 0.375, 0.12, 0.5565, 0.226, 0.122, 0.195, negative
M, 0.46, 0.38, 0.135, 0.482, 0.207, 0.1225, 0.145, negative
I, 0.365, 0.295, 0.095, 0.25, 0.1075, 0.0545, 0.08, negative
F, 0.5, 0.395, 0.14, 0.7155, 0.3165, 0.176, 0.24, negative
M, 0.47, 0.38, 0.145, 0.5865, 0.2385, 0.144, 0.185, negative
M, 0.535, 0.44, 0.15, 0.6765, 0.256, 0.139, 0.26, negative
M, 0.585, 0.455, 0.15, 0.987, 0.4355, 0.2075, 0.31, negative
F, 0.485, 0.365, 0.12, 0.5885, 0.27, 0.131, 0.175, negative
F, 0.435, 0.325, 0.11, 0.4335, 0.178, 0.0985, 0.155, negative
M, 0.63, 0.515, 0.165, 1.352, 0.488, 0.349, 0.45, negative
I, 0.29, 0.225, 0.07, 0.101, 0.036, 0.0235, 0.035, negative
I, 0.26, 0.2, 0.07, 0.092, 0.037, 0.02, 0.03, negative
M, 0.6, 0.5, 0.16, 1.015, 0.3995, 0.1735, 0.33, positive
F, 0.56, 0.455, 0.125, 0.943, 0.344, 0.129, 0.375, negative
F, 0.575, 0.45, 0.17, 1.0475, 0.3775, 0.1705, 0.385, negative
I, 0.44, 0.345, 0.1, 0.366, 0.122, 0.0905, 0.12, negative
M, 0.5, 0.41, 0.15, 0.662, 0.2815, 0.137, 0.22, negative
F, 0.41, 0.325, 0.105, 0.3635, 0.159, 0.077, 0.12, negative
F, 0.565, 0.455, 0.15, 0.8205, 0.365, 0.159, 0.26, negative
F, 0.675, 0.535, 0.16, 1.41, 0.592, 0.3175, 0.42, negative
F, 0.665, 0.555, 0.195, 1.4385, 0.581, 0.354, 0.36, negative
F, 0.565, 0.49, 0.155, 0.9245, 0.405, 0.2195, 0.255, negative
M, 0.575, 0.47, 0.14, 0.8375, 0.3485, 0.1735, 0.24, negative
I, 0.415, 0.31, 0.11, 0.2965, 0.123, 0.057, 0.0995, negative
I, 0.24, 0.185, 0.07, 0.0715, 0.026, 0.018, 0.025, negative
M, 0.66, 0.545, 0.185, 1.32, 0.5305, 0.2635, 0.455, negative
F, 0.7, 0.585, 0.185, 1.8075, 0.7055, 0.3215, 0.475, negative
M, 0.59, 0.455, 0.145, 1.073, 0.475, 0.19, 0.285, negative
M, 0.58, 0.46, 0.13, 0.921, 0.357, 0.181, 0.29, negative
M, 0.655, 0.53, 0.175, 1.2635, 0.486, 0.2635, 0.415, negative
F, 0.605, 0.485, 0.165, 1.0105, 0.435, 0.209, 0.3, positive
F, 0.62, 0.47, 0.225, 1.115, 0.378, 0.2145, 0.36, negative
M, 0.56, 0.46, 0.235, 0.8395, 0.3325, 0.157, 0.305, negative
M, 0.56, 0.435, 0.18, 0.889, 0.36, 0.204, 0.25, negative
I, 0.56, 0.445, 0.155, 0.8735, 0.3005, 0.209, 0.275, negative
F, 0.275, 0.195, 0.07, 0.08, 0.031, 0.0215, 0.025, negative
I, 0.365, 0.26, 0.115, 0.218, 0.0935, 0.0445, 0.07, negative
M, 0.235, 0.16, 0.06, 0.0545, 0.0265, 0.0095, 0.015, negative
F, 0.375, 0.29, 0.115, 0.2705, 0.093, 0.066, 0.0885, negative
M, 0.42, 0.325, 0.115, 0.2885, 0.1, 0.057, 0.1135, negative
M, 0.32, 0.245, 0.075, 0.1555, 0.0585, 0.038, 0.049, negative
M, 0.205, 0.155, 0.045, 0.0425, 0.017, 0.0055, 0.0155, negative
F, 0.44, 0.34, 0.105, 0.364, 0.148, 0.0805, 0.1175, negative
