@relation ecoli
@attribute a1 real [0.0, 89.0]
@attribute a2 real [1.0, 88.0]
@attribute a3 real [1.0, 48.0]
@attribute a4 real [1.0, 5.0]
@attribute a5 real [0.0, 88.0]
@attribute a6 real [1.0, 94.0]
@attribute a7 real [0.0, 99.0]
@attribute class {cp, im, imS, imL, imU, om, omL, pp}
@inputs a1, a2, a3, a4, a5, a6, a7
@outputs class
@data
67.0, 39.0, 48.0, 5.0, 36.0, 38.0, 46.0, cp
2.0, 44.0, 48.0, 5.0, 46.0, 51.0, 57.0, cp
44.0, 27.0, 48.0, 5.0, 55.0, 52.0, 58.0, cp
4.0, 45.0, 48.0, 5.0, 38.0, 22.0, 0.0, cp
32.0, 42.0, 48.0, 5.0, 35.0, 28.0, 38.0, cp
54.0, 47.0, 48.0, 5.0, 28.0, 33.0, 42.0, cp
36.0, 41.0, 48.0, 5.0, 48.0, 47.0, 54.0, cp
25.0, 37.0, 48.0, 5.0, 41.0, 33.0, 42.0, cp
43.0, 32.0, 48.0, 5.0, 33.0, 45.0, 52.0, cp
35.0, 34.0, 48.0, 5.0, 46.0, 3.0, 27.0, cp
51.0, 49.0, 48.0, 5.0, 53.0, 14.0, 26.0, cp
25.0, 26.0, 48.0, 5.0, 39.0, 32.0, 42.0, cp
61.0, 36.0, 48.0, 5.0, 49.0, 35.0, 44.0, cp
39.0, 31.0, 48.0, 5.0, 38.0, 34.0, 43.0, cp
44.0, 52.0, 48.0, 5.0, 43.0, 47.0, 54.0, im
29.0, 47.0, 48.0, 5.0, 71.0, 65.0, 69.0, im
4.0, 5.0, 48.0, 5.0, 65.0, 82.0, 84.0, im
33.0, 45.0, 48.0, 5.0, 45.0, 88.0, 89.0, im
71.0, 4.0, 48.0, 5.0, 71.0, 7.0, 74.0, im
6.0, 46.0, 48.0, 5.0, 45.0, 81.0, 83.0, im
39.0, 41.0, 48.0, 5.0, 52.0, 72.0, 75.0, im
61.0, 47.0, 48.0, 5.0, 0.0, 8.0, 32.0, im
76.0, 71.0, 48.0, 5.0, 5.0, 71.0, 75.0, imU
77.0, 55.0, 48.0, 5.0, 51.0, 78.0, 74.0, imU
58.0, 6.0, 48.0, 5.0, 59.0, 73.0, 76.0, imU
86.0, 55.0, 48.0, 5.0, 63.0, 81.0, 83.0, imU
77.0, 57.0, 48.0, 5.0, 88.0, 53.0, 2.0, om
68.0, 63.0, 48.0, 5.0, 73.0, 4.0, 3.0, om
73.0, 78.0, 48.0, 5.0, 58.0, 51.0, 31.0, pp
67.0, 61.0, 48.0, 5.0, 51.0, 37.0, 38.0, pp
63.0, 57.0, 48.0, 5.0, 49.0, 7.0, 2.0, pp
68.0, 78.0, 48.0, 5.0, 43.0, 44.0, 42.0, pp
66.0, 71.0, 48.0, 5.0, 41.0, 5.0, 35.0, pp
