@relation ecoli
@attribute a1 real [0.0, 89.0]
@attribute a2 real [1.0, 88.0]
@attribute a3 real [1.0, 48.0]
@attribute a4 real [1.0, 5.0]
@attribute a5 real [0.0, 88.0]
@attribute a6 real [1.0, 94.0]
@attribute a7 real [0.0, 99.0]
@attribute class {cp, im, imS, imL, imU, om, omL, pp}
@inputs a1, a2, a3, a4, a5, a6, a7
@outputs class
@data
49.0, 29.0, 48.0, 5.0, 56.0, 24.0, 35.0, cp
25.0, 4.0, 48.0, 5.0, 46.0, 44.0, 52.0, cp
34.0, 45.0, 48.0, 5.0, 38.0, 24.0, 35.0, cp
41.0, 57.0, 48.0, 5.0, 39.0, 21.0, 32.0, cp
31.0, 23.0, 48.0, 5.0, 73.0, 5.0, 14.0, cp
56.0, 51.0, 48.0, 5.0, 34.0, 37.0, 46.0, cp
36.0, 54.0, 48.0, 5.0, 41.0, 38.0, 46.0, cp
3.0, 37.0, 48.0, 5.0, 59.0, 41.0, 49.0, cp
52.0, 57.0, 48.0, 5.0, 42.0, 47.0, 54.0, cp
44.0, 28.0, 48.0, 5.0, 43.0, 27.0, 37.0, cp
34.0, 46.0, 48.0, 5.0, 52.0, 35.0, 44.0, cp
41.0, 43.0, 48.0, 5.0, 5.0, 24.0, 25.0, cp
31.0, 47.0, 48.0, 5.0, 29.0, 28.0, 39.0, cp
28.0, 33.0, 48.0, 5.0, 45.0, 22.0, 33.0, cp
52.0, 39.0, 48.0, 5.0, 65.0, 71.0, 73.0, im
72.0, 46.0, 48.0, 5.0, 51.0, 66.0, 7.0, im
54.0, 57.0, 48.0, 5.0, 56.0, 81.0, 83.0, im
74.0, 7.0, 48.0, 5.0, 66.0, 65.0, 69.0, im
61.0, 52.0, 48.0, 5.0, 54.0, 67.0, 52.0, im
31.0, 44.0, 48.0, 5.0, 5.0, 79.0, 82.0, im
46.0, 59.0, 48.0, 5.0, 36.0, 76.0, 23.0, im
63.0, 75.0, 48.0, 5.0, 64.0, 73.0, 66.0, im
75.0, 55.0, 1.0, 1.0, 4.0, 47.0, 3.0, imL
81.0, 53.0, 48.0, 5.0, 57.0, 87.0, 88.0, imU
88.0, 42.0, 48.0, 5.0, 52.0, 73.0, 75.0, imU
78.0, 44.0, 48.0, 5.0, 45.0, 73.0, 68.0, imU
68.0, 76.0, 48.0, 5.0, 84.0, 45.0, 27.0, om
52.0, 81.0, 48.0, 5.0, 72.0, 38.0, 38.0, om
68.0, 49.0, 1.0, 5.0, 62.0, 55.0, 28.0, omL
63.0, 1.0, 48.0, 5.0, 35.0, 51.0, 49.0, pp
63.0, 86.0, 48.0, 5.0, 39.0, 47.0, 34.0, pp
64.0, 66.0, 48.0, 5.0, 41.0, 39.0, 2.0, pp
64.0, 78.0, 48.0, 5.0, 5.0, 36.0, 38.0, pp
74.0, 74.0, 48.0, 5.0, 31.0, 53.0, 52.0, pp
