@relation  ecoli
@attribute a1 real[0.0,89.0]
@attribute a2 real[1.0,88.0]
@attribute a3 real[1.0,48.0]
@attribute a4 real[1.0,5.0]
@attribute a5 real[0.0,88.0]
@attribute a6 real[1.0,94.0]
@attribute a7 real[0.0,99.0]
@attribute class{cp,im,imS,imL,imU,om,omL,pp}
@inputs a1,a2,a3,a4,a5,a6,a7
@outputs class
@data
51.0, 54.0, 48.0, 5.0, 41.0, 34.0, 43.0, cp
34.0, 35.0, 48.0, 5.0, 51.0, 49.0, 56.0, cp
24.0, 43.0, 48.0, 5.0, 37.0, 28.0, 38.0, cp
43.0, 37.0, 48.0, 5.0, 53.0, 35.0, 44.0, cp
33.0, 45.0, 48.0, 5.0, 52.0, 32.0, 41.0, cp
38.0, 44.0, 48.0, 5.0, 43.0, 2.0, 31.0, cp
44.0, 28.0, 48.0, 5.0, 43.0, 27.0, 37.0, cp
47.0, 47.0, 48.0, 5.0, 22.0, 16.0, 26.0, cp
48.0, 42.0, 48.0, 5.0, 45.0, 25.0, 35.0, cp
53.0, 38.0, 48.0, 5.0, 44.0, 26.0, 36.0, cp
18.0, 3.0, 48.0, 5.0, 46.0, 24.0, 35.0, cp
4.0, 29.0, 48.0, 5.0, 42.0, 35.0, 44.0, cp
57.0, 54.0, 48.0, 5.0, 37.0, 28.0, 33.0, cp
26.0, 5.0, 48.0, 5.0, 44.0, 32.0, 41.0, cp
58.0, 34.0, 48.0, 5.0, 56.0, 87.0, 81.0, im
72.0, 46.0, 48.0, 5.0, 51.0, 66.0, 7.0, im
52.0, 39.0, 48.0, 5.0, 65.0, 71.0, 73.0, im
6.0, 61.0, 48.0, 5.0, 54.0, 67.0, 71.0, im
5.0, 66.0, 48.0, 5.0, 31.0, 92.0, 92.0, im
64.0, 58.0, 48.0, 5.0, 48.0, 78.0, 73.0, im
63.0, 75.0, 48.0, 5.0, 64.0, 73.0, 66.0, im
62.0, 42.0, 48.0, 5.0, 58.0, 79.0, 81.0, imU
83.0, 48.0, 48.0, 5.0, 65.0, 76.0, 79.0, imU
86.0, 55.0, 48.0, 5.0, 63.0, 81.0, 83.0, imU
52.0, 81.0, 48.0, 5.0, 72.0, 38.0, 38.0, om
64.0, 57.0, 48.0, 5.0, 7.0, 33.0, 26.0, om
63.0, 86.0, 48.0, 5.0, 39.0, 47.0, 34.0, pp
63.0, 65.0, 48.0, 5.0, 39.0, 44.0, 35.0, pp
71.0, 57.0, 48.0, 5.0, 48.0, 35.0, 32.0, pp
67.0, 7.0, 48.0, 5.0, 46.0, 45.0, 33.0, pp
68.0, 67.0, 48.0, 5.0, 49.0, 4.0, 34.0, pp
@relation  ecoli
@attribute a1 real[0.0,89.0]
@attribute a2 real[1.0,88.0]
@attribute a3 real[1.0,48.0]
@attribute a4 real[1.0,5.0]
@attribute a5 real[0.0,88.0]
@attribute a6 real[1.0,94.0]
@attribute a7 real[0.0,99.0]
@attribute class{cp,im,imS,imL,imU,om,omL,pp}
@inputs a1,a2,a3,a4,a5,a6,a7
@outputs class
@data
51.0, 54.0, 48.0, 5.0, 41.0, 34.0, 43.0, cp
34.0, 35.0, 48.0, 5.0, 51.0, 49.0, 56.0, cp
24.0, 43.0, 48.0, 5.0, 37.0, 28.0, 38.0, cp
43.0, 37.0, 48.0, 5.0, 53.0, 35.0, 44.0, cp
33.0, 45.0, 48.0, 5.0, 52.0, 32.0, 41.0, cp
38.0, 44.0, 48.0, 5.0, 43.0, 2.0, 31.0, cp
44.0, 28.0, 48.0, 5.0, 43.0, 27.0, 37.0, cp
47.0, 47.0, 48.0, 5.0, 22.0, 16.0, 26.0, cp
48.0, 42.0, 48.0, 5.0, 45.0, 25.0, 35.0, cp
53.0, 38.0, 48.0, 5.0, 44.0, 26.0, 36.0, cp
18.0, 3.0, 48.0, 5.0, 46.0, 24.0, 35.0, cp
4.0, 29.0, 48.0, 5.0, 42.0, 35.0, 44.0, cp
57.0, 54.0, 48.0, 5.0, 37.0, 28.0, 33.0, cp
26.0, 5.0, 48.0, 5.0, 44.0, 32.0, 41.0, cp
58.0, 34.0, 48.0, 5.0, 56.0, 87.0, 81.0, im
72.0, 46.0, 48.0, 5.0, 51.0, 66.0, 7.0, im
52.0, 39.0, 48.0, 5.0, 65.0, 71.0, 73.0, im
6.0, 61.0, 48.0, 5.0, 54.0, 67.0, 71.0, im
5.0, 66.0, 48.0, 5.0, 31.0, 92.0, 92.0, im
64.0, 58.0, 48.0, 5.0, 48.0, 78.0, 73.0, im
63.0, 75.0, 48.0, 5.0, 64.0, 73.0, 66.0, im
62.0, 42.0, 48.0, 5.0, 58.0, 79.0, 81.0, imU
83.0, 48.0, 48.0, 5.0, 65.0, 76.0, 79.0, imU
86.0, 55.0, 48.0, 5.0, 63.0, 81.0, 83.0, imU
52.0, 81.0, 48.0, 5.0, 72.0, 38.0, 38.0, om
64.0, 57.0, 48.0, 5.0, 7.0, 33.0, 26.0, om
63.0, 86.0, 48.0, 5.0, 39.0, 47.0, 34.0, pp
63.0, 65.0, 48.0, 5.0, 39.0, 44.0, 35.0, pp
71.0, 57.0, 48.0, 5.0, 48.0, 35.0, 32.0, pp
67.0, 7.0, 48.0, 5.0, 46.0, 45.0, 33.0, pp
68.0, 67.0, 48.0, 5.0, 49.0, 4.0, 34.0, pp
