@relation  ecoli
@attribute a1 real[0.0,89.0]
@attribute a2 real[1.0,88.0]
@attribute a3 real[1.0,48.0]
@attribute a4 real[1.0,5.0]
@attribute a5 real[0.0,88.0]
@attribute a6 real[1.0,94.0]
@attribute a7 real[0.0,99.0]
@attribute class{cp,im,imS,imL,imU,om,omL,pp}
@inputs a1,a2,a3,a4,a5,a6,a7
@outputs class
@data
34.0, 51.0, 48.0, 5.0, 44.0, 37.0, 46.0, cp
2.0, 44.0, 48.0, 5.0, 46.0, 51.0, 57.0, cp
25.0, 37.0, 48.0, 5.0, 41.0, 33.0, 42.0, cp
52.0, 44.0, 48.0, 5.0, 37.0, 36.0, 42.0, cp
23.0, 32.0, 48.0, 5.0, 55.0, 25.0, 35.0, cp
49.0, 43.0, 48.0, 5.0, 49.0, 3.0, 4.0, cp
43.0, 39.0, 48.0, 5.0, 47.0, 31.0, 41.0, cp
29.0, 28.0, 48.0, 5.0, 5.0, 42.0, 5.0, cp
33.0, 47.0, 48.0, 5.0, 53.0, 18.0, 29.0, cp
44.0, 35.0, 48.0, 5.0, 55.0, 55.0, 61.0, cp
42.0, 3.0, 48.0, 5.0, 48.0, 26.0, 36.0, cp
3.0, 45.0, 48.0, 5.0, 36.0, 21.0, 32.0, cp
17.0, 38.0, 48.0, 5.0, 45.0, 42.0, 5.0, cp
53.0, 42.0, 48.0, 5.0, 16.0, 29.0, 39.0, cp
7.0, 4.0, 48.0, 5.0, 54.0, 35.0, 44.0, cp
31.0, 44.0, 48.0, 5.0, 5.0, 79.0, 82.0, im
36.0, 45.0, 48.0, 5.0, 38.0, 79.0, 17.0, im
47.0, 59.0, 48.0, 5.0, 52.0, 76.0, 79.0, im
33.0, 37.0, 48.0, 5.0, 46.0, 65.0, 69.0, im
6.0, 46.0, 48.0, 5.0, 45.0, 81.0, 83.0, im
59.0, 56.0, 48.0, 5.0, 55.0, 8.0, 82.0, im
84.0, 44.0, 48.0, 5.0, 48.0, 71.0, 74.0, im
34.0, 51.0, 48.0, 5.0, 67.0, 9.0, 9.0, im
63.0, 49.0, 48.0, 5.0, 54.0, 76.0, 79.0, imS
7.0, 39.0, 1.0, 5.0, 51.0, 82.0, 84.0, imL
79.0, 36.0, 48.0, 5.0, 46.0, 82.0, 7.0, imU
66.0, 48.0, 48.0, 5.0, 54.0, 7.0, 74.0, imU
47.0, 46.0, 48.0, 5.0, 62.0, 74.0, 77.0, imU
79.0, 54.0, 48.0, 5.0, 5.0, 66.0, 68.0, imU
78.0, 68.0, 48.0, 5.0, 83.0, 4.0, 29.0, om
65.0, 51.0, 48.0, 5.0, 66.0, 54.0, 33.0, om
68.0, 49.0, 1.0, 5.0, 62.0, 55.0, 28.0, omL
71.0, 86.0, 48.0, 5.0, 4.0, 54.0, 32.0, pp
69.0, 59.0, 48.0, 5.0, 46.0, 44.0, 52.0, pp
64.0, 81.0, 48.0, 5.0, 37.0, 39.0, 44.0, pp
74.0, 49.0, 48.0, 5.0, 42.0, 54.0, 36.0, pp
62.0, 83.0, 48.0, 5.0, 46.0, 36.0, 4.0, pp
29.0, 39.0, 48.0, 5.0, 52.0, 4.0, 48.0, pp
@relation  ecoli
@attribute a1 real[0.0,89.0]
@attribute a2 real[1.0,88.0]
@attribute a3 real[1.0,48.0]
@attribute a4 real[1.0,5.0]
@attribute a5 real[0.0,88.0]
@attribute a6 real[1.0,94.0]
@attribute a7 real[0.0,99.0]
@attribute class{cp,im,imS,imL,imU,om,omL,pp}
@inputs a1,a2,a3,a4,a5,a6,a7
@outputs class
@data
34.0, 51.0, 48.0, 5.0, 44.0, 37.0, 46.0, cp
2.0, 44.0, 48.0, 5.0, 46.0, 51.0, 57.0, cp
25.0, 37.0, 48.0, 5.0, 41.0, 33.0, 42.0, cp
52.0, 44.0, 48.0, 5.0, 37.0, 36.0, 42.0, cp
23.0, 32.0, 48.0, 5.0, 55.0, 25.0, 35.0, cp
49.0, 43.0, 48.0, 5.0, 49.0, 3.0, 4.0, cp
43.0, 39.0, 48.0, 5.0, 47.0, 31.0, 41.0, cp
29.0, 28.0, 48.0, 5.0, 5.0, 42.0, 5.0, cp
33.0, 47.0, 48.0, 5.0, 53.0, 18.0, 29.0, cp
44.0, 35.0, 48.0, 5.0, 55.0, 55.0, 61.0, cp
42.0, 3.0, 48.0, 5.0, 48.0, 26.0, 36.0, cp
3.0, 45.0, 48.0, 5.0, 36.0, 21.0, 32.0, cp
17.0, 38.0, 48.0, 5.0, 45.0, 42.0, 5.0, cp
53.0, 42.0, 48.0, 5.0, 16.0, 29.0, 39.0, cp
7.0, 4.0, 48.0, 5.0, 54.0, 35.0, 44.0, cp
31.0, 44.0, 48.0, 5.0, 5.0, 79.0, 82.0, im
36.0, 45.0, 48.0, 5.0, 38.0, 79.0, 17.0, im
47.0, 59.0, 48.0, 5.0, 52.0, 76.0, 79.0, im
33.0, 37.0, 48.0, 5.0, 46.0, 65.0, 69.0, im
6.0, 46.0, 48.0, 5.0, 45.0, 81.0, 83.0, im
59.0, 56.0, 48.0, 5.0, 55.0, 8.0, 82.0, im
84.0, 44.0, 48.0, 5.0, 48.0, 71.0, 74.0, im
34.0, 51.0, 48.0, 5.0, 67.0, 9.0, 9.0, im
63.0, 49.0, 48.0, 5.0, 54.0, 76.0, 79.0, imS
7.0, 39.0, 1.0, 5.0, 51.0, 82.0, 84.0, imL
79.0, 36.0, 48.0, 5.0, 46.0, 82.0, 7.0, imU
66.0, 48.0, 48.0, 5.0, 54.0, 7.0, 74.0, imU
47.0, 46.0, 48.0, 5.0, 62.0, 74.0, 77.0, imU
79.0, 54.0, 48.0, 5.0, 5.0, 66.0, 68.0, imU
78.0, 68.0, 48.0, 5.0, 83.0, 4.0, 29.0, om
65.0, 51.0, 48.0, 5.0, 66.0, 54.0, 33.0, om
68.0, 49.0, 1.0, 5.0, 62.0, 55.0, 28.0, omL
71.0, 86.0, 48.0, 5.0, 4.0, 54.0, 32.0, pp
69.0, 59.0, 48.0, 5.0, 46.0, 44.0, 52.0, pp
64.0, 81.0, 48.0, 5.0, 37.0, 39.0, 44.0, pp
74.0, 49.0, 48.0, 5.0, 42.0, 54.0, 36.0, pp
62.0, 83.0, 48.0, 5.0, 46.0, 36.0, 4.0, pp
29.0, 39.0, 48.0, 5.0, 52.0, 4.0, 48.0, pp
