@relation  ecoli
@attribute a1 real[0.0,89.0]
@attribute a2 real[1.0,88.0]
@attribute a3 real[1.0,48.0]
@attribute a4 real[1.0,5.0]
@attribute a5 real[0.0,88.0]
@attribute a6 real[1.0,94.0]
@attribute a7 real[0.0,99.0]
@attribute class{cp,im,imS,imL,imU,om,omL,pp}
@inputs a1,a2,a3,a4,a5,a6,a7
@outputs class
@data
34.0, 46.0, 48.0, 5.0, 52.0, 35.0, 44.0, cp
4.0, 46.0, 48.0, 5.0, 42.0, 35.0, 44.0, cp
29.0, 37.0, 48.0, 5.0, 48.0, 44.0, 52.0, cp
61.0, 36.0, 48.0, 5.0, 49.0, 35.0, 44.0, cp
4.0, 31.0, 48.0, 5.0, 41.0, 29.0, 39.0, cp
24.0, 34.0, 48.0, 5.0, 38.0, 3.0, 4.0, cp
34.0, 55.0, 48.0, 5.0, 58.0, 31.0, 41.0, cp
3.0, 37.0, 48.0, 5.0, 43.0, 18.0, 3.0, cp
41.0, 57.0, 48.0, 5.0, 39.0, 21.0, 32.0, cp
44.0, 56.0, 48.0, 5.0, 5.0, 46.0, 54.0, cp
49.0, 29.0, 48.0, 5.0, 56.0, 24.0, 35.0, cp
4.0, 45.0, 48.0, 5.0, 38.0, 22.0, 0.0, cp
65.0, 55.0, 48.0, 5.0, 34.0, 37.0, 28.0, cp
35.0, 48.0, 48.0, 5.0, 56.0, 4.0, 48.0, cp
33.0, 45.0, 48.0, 5.0, 45.0, 88.0, 89.0, im
1.0, 49.0, 48.0, 5.0, 41.0, 67.0, 21.0, im
39.0, 41.0, 48.0, 5.0, 52.0, 72.0, 75.0, im
7.0, 46.0, 48.0, 5.0, 56.0, 78.0, 73.0, im
11.0, 5.0, 48.0, 5.0, 58.0, 72.0, 68.0, im
44.0, 52.0, 48.0, 5.0, 43.0, 47.0, 54.0, im
73.0, 36.0, 48.0, 5.0, 53.0, 91.0, 92.0, im
6.0, 5.0, 1.0, 5.0, 54.0, 77.0, 8.0, im
78.0, 44.0, 48.0, 5.0, 45.0, 73.0, 68.0, imU
63.0, 51.0, 48.0, 5.0, 64.0, 72.0, 76.0, imU
87.0, 49.0, 48.0, 5.0, 61.0, 76.0, 79.0, imU
69.0, 59.0, 48.0, 5.0, 77.0, 39.0, 21.0, om
75.0, 76.0, 48.0, 5.0, 83.0, 57.0, 3.0, om
67.0, 81.0, 48.0, 5.0, 54.0, 49.0, 23.0, pp
57.0, 59.0, 48.0, 5.0, 39.0, 47.0, 33.0, pp
64.0, 72.0, 48.0, 5.0, 49.0, 42.0, 19.0, pp
63.0, 71.0, 48.0, 5.0, 6.0, 4.0, 39.0, pp
32.0, 39.0, 48.0, 5.0, 53.0, 28.0, 38.0, pp
@relation  ecoli
@attribute a1 real[0.0,89.0]
@attribute a2 real[1.0,88.0]
@attribute a3 real[1.0,48.0]
@attribute a4 real[1.0,5.0]
@attribute a5 real[0.0,88.0]
@attribute a6 real[1.0,94.0]
@attribute a7 real[0.0,99.0]
@attribute class{cp,im,imS,imL,imU,om,omL,pp}
@inputs a1,a2,a3,a4,a5,a6,a7
@outputs class
@data
34.0, 46.0, 48.0, 5.0, 52.0, 35.0, 44.0, cp
4.0, 46.0, 48.0, 5.0, 42.0, 35.0, 44.0, cp
29.0, 37.0, 48.0, 5.0, 48.0, 44.0, 52.0, cp
61.0, 36.0, 48.0, 5.0, 49.0, 35.0, 44.0, cp
4.0, 31.0, 48.0, 5.0, 41.0, 29.0, 39.0, cp
24.0, 34.0, 48.0, 5.0, 38.0, 3.0, 4.0, cp
34.0, 55.0, 48.0, 5.0, 58.0, 31.0, 41.0, cp
3.0, 37.0, 48.0, 5.0, 43.0, 18.0, 3.0, cp
41.0, 57.0, 48.0, 5.0, 39.0, 21.0, 32.0, cp
44.0, 56.0, 48.0, 5.0, 5.0, 46.0, 54.0, cp
49.0, 29.0, 48.0, 5.0, 56.0, 24.0, 35.0, cp
4.0, 45.0, 48.0, 5.0, 38.0, 22.0, 0.0, cp
65.0, 55.0, 48.0, 5.0, 34.0, 37.0, 28.0, cp
35.0, 48.0, 48.0, 5.0, 56.0, 4.0, 48.0, cp
33.0, 45.0, 48.0, 5.0, 45.0, 88.0, 89.0, im
1.0, 49.0, 48.0, 5.0, 41.0, 67.0, 21.0, im
39.0, 41.0, 48.0, 5.0, 52.0, 72.0, 75.0, im
7.0, 46.0, 48.0, 5.0, 56.0, 78.0, 73.0, im
11.0, 5.0, 48.0, 5.0, 58.0, 72.0, 68.0, im
44.0, 52.0, 48.0, 5.0, 43.0, 47.0, 54.0, im
73.0, 36.0, 48.0, 5.0, 53.0, 91.0, 92.0, im
6.0, 5.0, 1.0, 5.0, 54.0, 77.0, 8.0, im
78.0, 44.0, 48.0, 5.0, 45.0, 73.0, 68.0, imU
63.0, 51.0, 48.0, 5.0, 64.0, 72.0, 76.0, imU
87.0, 49.0, 48.0, 5.0, 61.0, 76.0, 79.0, imU
69.0, 59.0, 48.0, 5.0, 77.0, 39.0, 21.0, om
75.0, 76.0, 48.0, 5.0, 83.0, 57.0, 3.0, om
67.0, 81.0, 48.0, 5.0, 54.0, 49.0, 23.0, pp
57.0, 59.0, 48.0, 5.0, 39.0, 47.0, 33.0, pp
64.0, 72.0, 48.0, 5.0, 49.0, 42.0, 19.0, pp
63.0, 71.0, 48.0, 5.0, 6.0, 4.0, 39.0, pp
32.0, 39.0, 48.0, 5.0, 53.0, 28.0, 38.0, pp
