@relation  ecoli
@attribute a1 real[0.0,89.0]
@attribute a2 real[1.0,88.0]
@attribute a3 real[1.0,48.0]
@attribute a4 real[1.0,5.0]
@attribute a5 real[0.0,88.0]
@attribute a6 real[1.0,94.0]
@attribute a7 real[0.0,99.0]
@attribute class{cp,im,imS,imL,imU,om,omL,pp}
@inputs a1,a2,a3,a4,a5,a6,a7
@outputs class
@data
29.0, 41.0, 48.0, 5.0, 48.0, 38.0, 46.0, cp
17.0, 52.0, 48.0, 5.0, 49.0, 37.0, 46.0, cp
34.0, 28.0, 48.0, 5.0, 41.0, 35.0, 44.0, cp
39.0, 31.0, 48.0, 5.0, 38.0, 34.0, 43.0, cp
29.0, 28.0, 48.0, 5.0, 44.0, 23.0, 34.0, cp
42.0, 35.0, 48.0, 5.0, 58.0, 15.0, 27.0, cp
61.0, 45.0, 48.0, 5.0, 48.0, 35.0, 41.0, cp
29.0, 3.0, 48.0, 5.0, 45.0, 3.0, 17.0, cp
22.0, 43.0, 48.0, 5.0, 48.0, 16.0, 28.0, cp
25.0, 4.0, 48.0, 5.0, 46.0, 44.0, 52.0, cp
26.0, 4.0, 48.0, 5.0, 36.0, 26.0, 37.0, cp
32.0, 42.0, 48.0, 5.0, 35.0, 28.0, 38.0, cp
28.0, 38.0, 48.0, 5.0, 5.0, 33.0, 42.0, cp
25.0, 4.0, 48.0, 5.0, 47.0, 33.0, 42.0, cp
49.0, 42.0, 48.0, 5.0, 53.0, 79.0, 81.0, im
3.0, 51.0, 48.0, 5.0, 42.0, 61.0, 34.0, im
36.0, 47.0, 48.0, 5.0, 51.0, 69.0, 72.0, im
37.0, 47.0, 48.0, 5.0, 39.0, 76.0, 79.0, im
31.0, 36.0, 48.0, 5.0, 58.0, 94.0, 94.0, im
61.0, 52.0, 48.0, 5.0, 54.0, 67.0, 52.0, im
45.0, 4.0, 48.0, 5.0, 61.0, 74.0, 77.0, im
67.0, 37.0, 48.0, 5.0, 54.0, 64.0, 68.0, imU
79.0, 41.0, 48.0, 5.0, 66.0, 81.0, 83.0, imU
81.0, 44.0, 48.0, 5.0, 42.0, 67.0, 68.0, imU
61.0, 75.0, 48.0, 5.0, 51.0, 33.0, 33.0, om
56.0, 68.0, 48.0, 5.0, 77.0, 36.0, 45.0, om
66.0, 86.0, 48.0, 5.0, 34.0, 41.0, 36.0, pp
43.0, 59.0, 48.0, 5.0, 52.0, 49.0, 56.0, pp
66.0, 71.0, 48.0, 5.0, 41.0, 5.0, 35.0, pp
61.0, 6.0, 48.0, 5.0, 44.0, 39.0, 38.0, pp
7.0, 64.0, 48.0, 5.0, 47.0, 51.0, 47.0, pp
@relation  ecoli
@attribute a1 real[0.0,89.0]
@attribute a2 real[1.0,88.0]
@attribute a3 real[1.0,48.0]
@attribute a4 real[1.0,5.0]
@attribute a5 real[0.0,88.0]
@attribute a6 real[1.0,94.0]
@attribute a7 real[0.0,99.0]
@attribute class{cp,im,imS,imL,imU,om,omL,pp}
@inputs a1,a2,a3,a4,a5,a6,a7
@outputs class
@data
29.0, 41.0, 48.0, 5.0, 48.0, 38.0, 46.0, cp
17.0, 52.0, 48.0, 5.0, 49.0, 37.0, 46.0, cp
34.0, 28.0, 48.0, 5.0, 41.0, 35.0, 44.0, cp
39.0, 31.0, 48.0, 5.0, 38.0, 34.0, 43.0, cp
29.0, 28.0, 48.0, 5.0, 44.0, 23.0, 34.0, cp
42.0, 35.0, 48.0, 5.0, 58.0, 15.0, 27.0, cp
61.0, 45.0, 48.0, 5.0, 48.0, 35.0, 41.0, cp
29.0, 3.0, 48.0, 5.0, 45.0, 3.0, 17.0, cp
22.0, 43.0, 48.0, 5.0, 48.0, 16.0, 28.0, cp
25.0, 4.0, 48.0, 5.0, 46.0, 44.0, 52.0, cp
26.0, 4.0, 48.0, 5.0, 36.0, 26.0, 37.0, cp
32.0, 42.0, 48.0, 5.0, 35.0, 28.0, 38.0, cp
28.0, 38.0, 48.0, 5.0, 5.0, 33.0, 42.0, cp
25.0, 4.0, 48.0, 5.0, 47.0, 33.0, 42.0, cp
49.0, 42.0, 48.0, 5.0, 53.0, 79.0, 81.0, im
3.0, 51.0, 48.0, 5.0, 42.0, 61.0, 34.0, im
36.0, 47.0, 48.0, 5.0, 51.0, 69.0, 72.0, im
37.0, 47.0, 48.0, 5.0, 39.0, 76.0, 79.0, im
31.0, 36.0, 48.0, 5.0, 58.0, 94.0, 94.0, im
61.0, 52.0, 48.0, 5.0, 54.0, 67.0, 52.0, im
45.0, 4.0, 48.0, 5.0, 61.0, 74.0, 77.0, im
67.0, 37.0, 48.0, 5.0, 54.0, 64.0, 68.0, imU
79.0, 41.0, 48.0, 5.0, 66.0, 81.0, 83.0, imU
81.0, 44.0, 48.0, 5.0, 42.0, 67.0, 68.0, imU
61.0, 75.0, 48.0, 5.0, 51.0, 33.0, 33.0, om
56.0, 68.0, 48.0, 5.0, 77.0, 36.0, 45.0, om
66.0, 86.0, 48.0, 5.0, 34.0, 41.0, 36.0, pp
43.0, 59.0, 48.0, 5.0, 52.0, 49.0, 56.0, pp
66.0, 71.0, 48.0, 5.0, 41.0, 5.0, 35.0, pp
61.0, 6.0, 48.0, 5.0, 44.0, 39.0, 38.0, pp
7.0, 64.0, 48.0, 5.0, 47.0, 51.0, 47.0, pp
