@relation  ecoli
@attribute a1 real[0.0,89.0]
@attribute a2 real[1.0,88.0]
@attribute a3 real[1.0,48.0]
@attribute a4 real[1.0,5.0]
@attribute a5 real[0.0,88.0]
@attribute a6 real[1.0,94.0]
@attribute a7 real[0.0,99.0]
@attribute class{cp,im,imS,imL,imU,om,omL,pp}
@inputs a1,a2,a3,a4,a5,a6,a7
@outputs class
@data
37.0, 44.0, 48.0, 5.0, 42.0, 39.0, 47.0, cp
5.0, 49.0, 48.0, 5.0, 49.0, 46.0, 53.0, cp
23.0, 33.0, 48.0, 5.0, 43.0, 33.0, 43.0, cp
56.0, 51.0, 48.0, 5.0, 34.0, 37.0, 46.0, cp
25.0, 37.0, 48.0, 5.0, 43.0, 26.0, 36.0, cp
51.0, 49.0, 48.0, 5.0, 53.0, 14.0, 26.0, cp
41.0, 43.0, 48.0, 5.0, 45.0, 31.0, 41.0, cp
41.0, 43.0, 48.0, 5.0, 5.0, 24.0, 25.0, cp
34.0, 45.0, 48.0, 5.0, 38.0, 24.0, 35.0, cp
44.0, 27.0, 48.0, 5.0, 55.0, 52.0, 58.0, cp
38.0, 4.0, 48.0, 5.0, 63.0, 25.0, 35.0, cp
3.0, 44.0, 48.0, 5.0, 49.0, 22.0, 33.0, cp
29.0, 52.0, 48.0, 5.0, 42.0, 29.0, 39.0, cp
56.0, 4.0, 48.0, 5.0, 49.0, 37.0, 46.0, cp
4.0, 5.0, 48.0, 5.0, 45.0, 39.0, 47.0, cp
61.0, 66.0, 48.0, 5.0, 46.0, 87.0, 88.0, im
34.0, 49.0, 48.0, 5.0, 58.0, 85.0, 8.0, im
52.0, 54.0, 48.0, 5.0, 62.0, 76.0, 79.0, im
5.0, 37.0, 48.0, 5.0, 66.0, 64.0, 69.0, im
23.0, 48.0, 48.0, 5.0, 59.0, 88.0, 89.0, im
48.0, 41.0, 48.0, 5.0, 51.0, 9.0, 88.0, im
69.0, 39.0, 48.0, 5.0, 57.0, 76.0, 79.0, im
61.0, 47.0, 48.0, 5.0, 0.0, 8.0, 32.0, im
81.0, 52.0, 48.0, 5.0, 57.0, 78.0, 8.0, imU
64.0, 45.0, 48.0, 5.0, 67.0, 61.0, 66.0, imU
77.0, 55.0, 48.0, 5.0, 51.0, 78.0, 74.0, imU
76.0, 41.0, 48.0, 5.0, 5.0, 59.0, 62.0, imU
68.0, 63.0, 48.0, 5.0, 73.0, 4.0, 3.0, om
63.0, 49.0, 48.0, 5.0, 79.0, 45.0, 28.0, om
71.0, 46.0, 1.0, 5.0, 52.0, 59.0, 3.0, omL
67.0, 81.0, 48.0, 5.0, 25.0, 42.0, 25.0, pp
62.0, 78.0, 48.0, 5.0, 47.0, 49.0, 54.0, pp
76.0, 73.0, 48.0, 5.0, 44.0, 39.0, 39.0, pp
73.0, 78.0, 48.0, 5.0, 58.0, 51.0, 31.0, pp
63.0, 57.0, 48.0, 5.0, 49.0, 7.0, 2.0, pp
@relation  ecoli
@attribute a1 real[0.0,89.0]
@attribute a2 real[1.0,88.0]
@attribute a3 real[1.0,48.0]
@attribute a4 real[1.0,5.0]
@attribute a5 real[0.0,88.0]
@attribute a6 real[1.0,94.0]
@attribute a7 real[0.0,99.0]
@attribute class{cp,im,imS,imL,imU,om,omL,pp}
@inputs a1,a2,a3,a4,a5,a6,a7
@outputs class
@data
37.0, 44.0, 48.0, 5.0, 42.0, 39.0, 47.0, cp
5.0, 49.0, 48.0, 5.0, 49.0, 46.0, 53.0, cp
23.0, 33.0, 48.0, 5.0, 43.0, 33.0, 43.0, cp
56.0, 51.0, 48.0, 5.0, 34.0, 37.0, 46.0, cp
25.0, 37.0, 48.0, 5.0, 43.0, 26.0, 36.0, cp
51.0, 49.0, 48.0, 5.0, 53.0, 14.0, 26.0, cp
41.0, 43.0, 48.0, 5.0, 45.0, 31.0, 41.0, cp
41.0, 43.0, 48.0, 5.0, 5.0, 24.0, 25.0, cp
34.0, 45.0, 48.0, 5.0, 38.0, 24.0, 35.0, cp
44.0, 27.0, 48.0, 5.0, 55.0, 52.0, 58.0, cp
38.0, 4.0, 48.0, 5.0, 63.0, 25.0, 35.0, cp
3.0, 44.0, 48.0, 5.0, 49.0, 22.0, 33.0, cp
29.0, 52.0, 48.0, 5.0, 42.0, 29.0, 39.0, cp
56.0, 4.0, 48.0, 5.0, 49.0, 37.0, 46.0, cp
4.0, 5.0, 48.0, 5.0, 45.0, 39.0, 47.0, cp
61.0, 66.0, 48.0, 5.0, 46.0, 87.0, 88.0, im
34.0, 49.0, 48.0, 5.0, 58.0, 85.0, 8.0, im
52.0, 54.0, 48.0, 5.0, 62.0, 76.0, 79.0, im
5.0, 37.0, 48.0, 5.0, 66.0, 64.0, 69.0, im
23.0, 48.0, 48.0, 5.0, 59.0, 88.0, 89.0, im
48.0, 41.0, 48.0, 5.0, 51.0, 9.0, 88.0, im
69.0, 39.0, 48.0, 5.0, 57.0, 76.0, 79.0, im
61.0, 47.0, 48.0, 5.0, 0.0, 8.0, 32.0, im
81.0, 52.0, 48.0, 5.0, 57.0, 78.0, 8.0, imU
64.0, 45.0, 48.0, 5.0, 67.0, 61.0, 66.0, imU
77.0, 55.0, 48.0, 5.0, 51.0, 78.0, 74.0, imU
76.0, 41.0, 48.0, 5.0, 5.0, 59.0, 62.0, imU
68.0, 63.0, 48.0, 5.0, 73.0, 4.0, 3.0, om
63.0, 49.0, 48.0, 5.0, 79.0, 45.0, 28.0, om
71.0, 46.0, 1.0, 5.0, 52.0, 59.0, 3.0, omL
67.0, 81.0, 48.0, 5.0, 25.0, 42.0, 25.0, pp
62.0, 78.0, 48.0, 5.0, 47.0, 49.0, 54.0, pp
76.0, 73.0, 48.0, 5.0, 44.0, 39.0, 39.0, pp
73.0, 78.0, 48.0, 5.0, 58.0, 51.0, 31.0, pp
63.0, 57.0, 48.0, 5.0, 49.0, 7.0, 2.0, pp
