@relation ecoli2
@attribute Mcg real [0.0, 0.89]
@attribute Gvh real [0.16, 1.0]
@attribute Lip real [0.48, 1.0]
@attribute Chg real [0.5, 1.0]
@attribute Aac real [0.0, 0.88]
@attribute Alm1 real [0.03, 1.0]
@attribute Alm2 real [0.0, 0.99]
@attribute Class {positive, negative}
@inputs Mcg, Gvh, Lip, Chg, Aac, Alm1, Alm2
@outputs Class
@data
0.07, 0.4, 0.48, 0.5, 0.54, 0.35, 0.44, negative
0.25, 0.4, 0.48, 0.5, 0.46, 0.44, 0.52, negative
0.25, 0.4, 0.48, 0.5, 0.47, 0.33, 0.42, negative
0.56, 0.51, 0.48, 0.5, 0.34, 0.37, 0.46, negative
0.4, 0.5, 0.48, 0.5, 0.45, 0.39, 0.47, negative
0.28, 0.38, 0.48, 0.5, 0.5, 0.33, 0.42, negative
0.61, 0.45, 0.48, 0.5, 0.48, 0.35, 0.41, negative
0.43, 0.4, 0.48, 0.5, 0.39, 0.28, 0.39, negative
0.23, 0.33, 0.48, 0.5, 0.43, 0.33, 0.43, negative
0.22, 0.36, 0.48, 0.5, 0.35, 0.39, 0.47, negative
0.44, 0.56, 0.48, 0.5, 0.5, 0.46, 0.54, negative
0.25, 0.37, 0.48, 0.5, 0.43, 0.26, 0.36, negative
0.35, 0.48, 0.48, 0.5, 0.56, 0.4, 0.48, negative
0.26, 0.26, 0.48, 0.5, 0.34, 0.25, 0.35, negative
0.37, 0.5, 0.48, 0.5, 0.42, 0.36, 0.45, negative
0.48, 0.42, 0.48, 0.5, 0.45, 0.25, 0.35, negative
0.34, 0.55, 0.48, 0.5, 0.58, 0.31, 0.41, negative
0.4, 0.46, 0.48, 0.5, 0.52, 0.49, 0.56, negative
0.57, 0.54, 0.48, 0.5, 0.37, 0.28, 0.33, negative
0.38, 0.4, 0.48, 0.5, 0.63, 0.25, 0.35, negative
0.44, 0.49, 0.48, 0.5, 0.39, 0.38, 0.4, negative
0.61, 0.36, 0.48, 0.5, 0.49, 0.35, 0.44, negative
0.23, 0.34, 0.48, 0.5, 0.43, 0.26, 0.37, negative
0.0, 0.38, 0.48, 0.5, 0.42, 0.48, 0.55, negative
0.44, 0.35, 0.48, 0.5, 0.44, 0.52, 0.59, negative
0.43, 0.4, 0.48, 0.5, 0.58, 0.75, 0.78, negative
0.29, 0.47, 0.48, 0.5, 0.71, 0.65, 0.69, negative
0.55, 0.47, 0.48, 0.5, 0.57, 0.78, 0.8, negative
0.12, 0.67, 0.48, 0.5, 0.74, 0.58, 0.63, negative
0.84, 0.44, 0.48, 0.5, 0.48, 0.71, 0.74, negative
0.48, 0.45, 0.48, 0.5, 0.6, 0.78, 0.8, negative
0.54, 0.57, 0.48, 0.5, 0.56, 0.81, 0.83, negative
0.33, 0.45, 0.48, 0.5, 0.45, 0.88, 0.89, negative
0.63, 0.54, 0.48, 0.5, 0.65, 0.79, 0.81, negative
0.6, 0.5, 1.0, 0.5, 0.54, 0.77, 0.8, negative
0.74, 0.7, 0.48, 0.5, 0.66, 0.65, 0.69, negative
0.34, 0.67, 0.48, 0.5, 0.52, 0.76, 0.79, negative
0.58, 0.34, 0.48, 0.5, 0.56, 0.87, 0.81, negative
0.59, 0.56, 0.48, 0.5, 0.55, 0.8, 0.82, negative
0.51, 0.4, 0.48, 0.5, 0.57, 0.62, 0.67, negative
0.36, 0.47, 0.48, 0.5, 0.51, 0.69, 0.72, negative
0.61, 0.66, 0.48, 0.5, 0.46, 0.87, 0.88, negative
0.46, 0.59, 0.48, 0.5, 0.36, 0.76, 0.23, negative
0.63, 0.49, 0.48, 0.5, 0.54, 0.76, 0.79, negative
0.7, 0.39, 1.0, 0.5, 0.51, 0.82, 0.84, negative
0.69, 0.43, 0.48, 0.5, 0.59, 0.74, 0.77, negative
0.79, 0.36, 0.48, 0.5, 0.46, 0.82, 0.7, negative
0.75, 0.37, 0.48, 0.5, 0.64, 0.7, 0.74, negative
0.84, 0.49, 0.48, 0.5, 0.55, 0.78, 0.74, negative
0.81, 0.44, 0.48, 0.5, 0.42, 0.67, 0.68, negative
0.73, 0.26, 0.48, 0.5, 0.57, 0.75, 0.78, negative
0.49, 0.61, 1.0, 0.5, 0.56, 0.71, 0.74, negative
0.63, 0.69, 0.48, 0.5, 0.65, 0.41, 0.28, negative
0.74, 0.9, 0.48, 0.5, 0.57, 0.53, 0.29, negative
0.77, 0.57, 0.48, 0.5, 0.88, 0.53, 0.2, negative
0.74, 0.78, 0.48, 0.5, 0.75, 0.54, 0.15, negative
0.52, 0.81, 0.48, 0.5, 0.72, 0.38, 0.38, negative
0.72, 0.86, 0.48, 0.5, 0.17, 0.55, 0.21, positive
0.68, 0.82, 0.48, 0.5, 0.38, 0.65, 0.56, positive
0.32, 0.39, 0.48, 0.5, 0.53, 0.28, 0.38, positive
0.63, 0.57, 0.48, 0.5, 0.49, 0.7, 0.2, positive
0.64, 0.84, 0.48, 0.5, 0.37, 0.45, 0.4, positive
0.64, 0.66, 0.48, 0.5, 0.41, 0.39, 0.2, positive
0.63, 0.8, 0.48, 0.5, 0.46, 0.31, 0.29, positive
0.68, 0.67, 0.48, 0.5, 0.49, 0.4, 0.34, positive
0.56, 0.54, 0.48, 0.5, 0.43, 0.37, 0.3, positive
0.71, 0.57, 0.48, 0.5, 0.48, 0.35, 0.32, positive
0.74, 0.74, 0.48, 0.5, 0.31, 0.53, 0.52, positive
