@relation ecoli2
@attribute Mcg real [0.0, 0.89]
@attribute Gvh real [0.16, 1.0]
@attribute Lip real [0.48, 1.0]
@attribute Chg real [0.5, 1.0]
@attribute Aac real [0.0, 0.88]
@attribute Alm1 real [0.03, 1.0]
@attribute Alm2 real [0.0, 0.99]
@attribute Class {positive, negative}
@inputs Mcg, Gvh, Lip, Chg, Aac, Alm1, Alm2
@outputs Class
@data
0.23, 0.32, 0.48, 0.5, 0.55, 0.25, 0.35, negative
0.29, 0.28, 0.48, 0.5, 0.44, 0.23, 0.34, negative
0.2, 0.44, 0.48, 0.5, 0.46, 0.51, 0.57, negative
0.42, 0.4, 0.48, 0.5, 0.56, 0.18, 0.3, negative
0.39, 0.32, 0.48, 0.5, 0.46, 0.24, 0.35, negative
0.51, 0.5, 0.48, 0.5, 0.46, 0.32, 0.35, negative
0.34, 0.45, 0.48, 0.5, 0.38, 0.24, 0.35, negative
0.31, 0.23, 0.48, 0.5, 0.73, 0.05, 0.14, negative
0.51, 0.54, 0.48, 0.5, 0.41, 0.34, 0.43, negative
0.43, 0.39, 0.48, 0.5, 0.47, 0.31, 0.41, negative
0.34, 0.33, 0.48, 0.5, 0.38, 0.35, 0.44, negative
0.24, 0.35, 0.48, 0.5, 0.31, 0.19, 0.31, negative
0.42, 0.35, 0.48, 0.5, 0.58, 0.15, 0.27, negative
0.37, 0.52, 0.48, 0.5, 0.42, 0.42, 0.36, negative
0.54, 0.47, 0.48, 0.5, 0.28, 0.33, 0.42, negative
0.4, 0.35, 0.48, 0.5, 0.45, 0.33, 0.42, negative
0.52, 0.36, 0.48, 0.5, 0.41, 0.28, 0.38, negative
0.36, 0.41, 0.48, 0.5, 0.48, 0.47, 0.54, negative
0.41, 0.48, 0.48, 0.5, 0.51, 0.44, 0.51, negative
0.29, 0.41, 0.48, 0.5, 0.48, 0.38, 0.46, negative
0.4, 0.42, 0.48, 0.5, 0.37, 0.27, 0.27, negative
0.64, 0.76, 0.48, 0.5, 0.45, 0.35, 0.38, negative
0.35, 0.37, 0.48, 0.5, 0.3, 0.34, 0.43, negative
0.38, 0.26, 0.48, 0.5, 0.54, 0.16, 0.28, negative
0.24, 0.34, 0.48, 0.5, 0.38, 0.3, 0.4, negative
0.49, 0.43, 0.48, 0.5, 0.49, 0.3, 0.4, negative
0.32, 0.33, 0.48, 0.5, 0.6, 0.06, 0.2, negative
0.17, 0.39, 0.48, 0.5, 0.53, 0.3, 0.39, negative
0.28, 0.33, 0.48, 0.5, 0.45, 0.22, 0.33, negative
0.4, 0.46, 0.48, 0.5, 0.42, 0.35, 0.44, negative
0.36, 0.42, 0.48, 0.5, 0.53, 0.32, 0.41, negative
0.16, 0.43, 0.48, 0.5, 0.54, 0.27, 0.37, negative
0.63, 0.47, 0.48, 0.5, 0.51, 0.82, 0.84, negative
0.23, 0.48, 0.48, 0.5, 0.59, 0.88, 0.89, negative
0.27, 0.35, 0.48, 0.5, 0.51, 0.77, 0.79, negative
0.48, 0.41, 0.48, 0.5, 0.51, 0.9, 0.88, negative
0.47, 0.55, 0.48, 0.5, 0.58, 0.71, 0.75, negative
0.49, 0.42, 0.48, 0.5, 0.53, 0.79, 0.81, negative
0.31, 0.5, 0.48, 0.5, 0.57, 0.84, 0.85, negative
0.5, 0.37, 0.48, 0.5, 0.66, 0.64, 0.69, negative
0.6, 0.61, 0.48, 0.5, 0.54, 0.67, 0.71, negative
0.33, 0.37, 0.48, 0.5, 0.46, 0.65, 0.69, negative
0.41, 0.51, 0.48, 0.5, 0.53, 0.75, 0.78, negative
0.37, 0.47, 0.48, 0.5, 0.39, 0.76, 0.79, negative
0.48, 0.49, 0.48, 0.5, 0.52, 0.77, 0.71, negative
0.68, 0.51, 0.48, 0.5, 0.71, 0.75, 0.78, negative
0.1, 0.49, 0.48, 0.5, 0.41, 0.67, 0.21, negative
0.75, 0.55, 1.0, 1.0, 0.4, 0.47, 0.3, negative
0.72, 0.42, 0.48, 0.5, 0.65, 0.77, 0.79, negative
0.78, 0.33, 0.48, 0.5, 0.57, 0.77, 0.79, negative
0.67, 0.37, 0.48, 0.5, 0.54, 0.64, 0.68, negative
0.66, 0.48, 0.48, 0.5, 0.54, 0.7, 0.74, negative
0.77, 0.55, 0.48, 0.5, 0.51, 0.78, 0.74, negative
0.47, 0.46, 0.48, 0.5, 0.62, 0.74, 0.77, negative
0.63, 0.51, 0.48, 0.5, 0.64, 0.72, 0.76, negative
0.67, 0.84, 0.48, 0.5, 0.74, 0.54, 0.37, negative
0.69, 0.59, 0.48, 0.5, 0.77, 0.39, 0.21, negative
0.73, 0.78, 0.48, 0.5, 0.58, 0.51, 0.31, positive
0.63, 1.0, 0.48, 0.5, 0.35, 0.51, 0.49, positive
0.64, 0.72, 0.48, 0.5, 0.49, 0.42, 0.19, positive
0.63, 0.83, 0.48, 0.5, 0.4, 0.39, 0.19, positive
0.74, 0.47, 0.48, 0.5, 0.5, 0.57, 0.42, positive
0.63, 0.65, 0.48, 0.5, 0.39, 0.44, 0.35, positive
0.69, 0.8, 0.48, 0.5, 0.46, 0.57, 0.26, positive
0.62, 0.78, 0.48, 0.5, 0.47, 0.49, 0.54, positive
0.64, 0.81, 0.48, 0.5, 0.37, 0.39, 0.44, positive
0.59, 0.61, 0.48, 0.5, 0.42, 0.42, 0.37, positive
