@relation glass-0-1-2-3_vs_4-5-6
@attribute RI real [1.51115, 1.53393]
@attribute Na real [10.73, 17.38]
@attribute Mg real [0.0, 4.49]
@attribute Al real [0.29, 3.5]
@attribute Si real [69.81, 75.41]
@attribute K real [0.0, 6.21]
@attribute Ca real [5.43, 16.19]
@attribute Ba real [0.0, 3.15]
@attribute Fe real [0.0, 0.51]
@attribute Class {positive, negative}
@inputs RI, Na, Mg, Al, Si, K, Ca, Ba, Fe
@outputs Class
@data
1.51784732, 12.67845, 3.66833, 1.15991, 73.1084, 0.60858, 8.70104, 0.0, 0.0, negative
1.51823458, 12.8713, 3.47975, 1.29152, 72.9516, 0.60237, 8.43204, 0.0, 0.0, negative
1.51919134, 14.417, 3.57853, 1.36856, 72.078, 0.5589, 8.30292, 0.0, 0.0, negative
1.51782454, 12.69175, 3.53812, 1.33967, 72.9516, 0.57132, 8.75484, 0.0, 0.0, negative
1.515706, 12.71835, 3.46179, 1.56116, 73.198, 0.67068, 8.08772, 0.0, 0.1224, negative
1.51720948, 12.8713, 3.47975, 1.33004, 73.0412, 0.5589, 8.43204, 0.0, 0.0, negative
1.51761952, 12.81145, 3.53812, 1.23053, 73.2372, 0.57753, 8.389, 0.0, 0.0, negative
1.52101374, 13.6427, 4.49, 1.09892, 71.7812, 0.0621, 8.75484, 0.0, 0.0, negative
1.51618438, 13.52965, 3.55159, 1.53869, 72.9908, 0.39123, 7.77568, 0.0, 0.0, negative
1.51768786, 12.55875, 3.52016, 1.42955, 73.1476, 0.57132, 8.53964, 0.0, 0.0, negative
1.51807512, 13.4299, 2.86911, 1.1888, 72.8396, 0.55269, 9.0346, 0.0, 0.0, negative
1.51755118, 12.7117, 3.42138, 1.19843, 73.198, 0.58995, 8.63648, 0.0, 0.0, negative
1.51768786, 12.45235, 2.71196, 1.29152, 73.702, 0.5589, 9.05612, 0.0, 0.1224, negative
1.51905466, 13.6028, 3.61894, 1.10855, 72.638, 0.14283, 8.75484, 0.0, 0.0, negative
1.52226664, 14.16805, 3.81201, 0.78113, 71.35, 0.0, 9.69096, 0.0, 0.0, negative
1.5219705, 14.3609, 3.84793, 0.89027, 71.3612, 0.14904, 9.15296, 0.0, 0.0, negative
1.51645774, 13.40995, 3.55159, 1.24979, 72.8116, 0.6831, 8.09848, 0.0, 0.0, negative
1.5162755, 12.99765, 3.57853, 1.53869, 72.8284, 0.60858, 8.04468, 0.0, 0.0, negative
1.5170728, 13.7225, 3.6818, 1.81154, 72.0612, 0.63963, 7.88328, 0.0, 0.0, negative
1.51789288, 13.1905, 3.90181, 1.30115, 72.33, 0.55269, 8.4428, 0.0, 0.1428, negative
1.51711836, 12.89125, 3.61894, 1.57079, 72.9572, 0.60858, 8.10924, 0.0, 0.0, negative
1.51841682, 13.0176, 3.61894, 1.0604, 72.3412, 0.63963, 9.13144, 0.0, 0.0765, negative
1.5184396, 13.25035, 3.75813, 1.32041, 72.4028, 0.57753, 8.42128, 0.0, 0.0, negative
1.51812068, 13.4299, 3.97814, 1.17917, 72.4924, 0.57753, 8.15228, 0.0, 0.0, negative
1.51686778, 13.2304, 3.53812, 1.48091, 72.8396, 0.5589, 8.09848, 0.0, 0.0, negative
1.51625272, 13.35675, 3.57853, 1.49054, 72.722, 0.44712, 8.20608, 0.0, 0.0, negative
1.51591102, 13.0176, 3.57853, 1.5098, 73.1196, 0.68931, 7.9586, 0.0, 0.0, negative
1.51568322, 13.23705, 3.48873, 1.47128, 73.2484, 0.37881, 8.03392, 0.0, 0.0, negative
1.51591102, 12.8181, 3.52016, 1.90142, 72.862, 0.68931, 7.96936, 0.0, 0.0, negative
1.51591102, 13.23705, 3.34056, 1.47128, 73.0972, 0.39123, 8.21684, 0.0, 0.0, negative
1.51654886, 12.7516, 2.85115, 1.43918, 73.2708, 0.57132, 8.78712, 0.11025, 0.1122, negative
1.5177562, 13.52965, 3.40791, 1.51943, 72.0388, 0.57753, 8.78712, 0.0, 0.0, negative
1.51654886, 13.40995, 3.38995, 1.27868, 72.638, 0.52164, 8.64724, 0.0, 0.0, negative
1.5132002, 12.99765, 0.0, 3.0185, 70.7004, 6.21, 6.92564, 0.0, 0.0, positive
1.51299518, 14.4008, 1.74212, 1.53869, 74.5476, 0.0, 7.59276, 0.0, 0.0, positive
1.51887242, 14.99265, 0.78126, 1.74092, 72.498, 0.0, 9.9492, 0.0, 0.0, positive
1.51509094, 15.15225, 0.0, 2.25131, 73.5004, 0.0, 8.3352, 0.63, 0.0, positive
1.51130946, 13.68925, 3.20137, 1.81154, 72.8116, 1.75743, 5.43, 1.1907, 0.0, positive
1.52315506, 13.4432, 3.34056, 1.23053, 72.3804, 0.60237, 8.83016, 0.0, 0.0, positive
1.5161616, 14.95275, 0.0, 2.27057, 73.2988, 0.0, 8.7118, 0.67095, 0.0, positive
1.51622994, 14.2013, 0.0, 2.79059, 73.4612, 0.03726, 9.04536, 0.40005, 0.459, positive
1.51609326, 15.126, 0.0, 2.51132, 73.0524, 0.04968, 8.83016, 0.5292, 0.0, positive
1.51727782, 14.70005, 0.0, 2.34119, 73.282, 0.0, 8.94852, 0.6615, 0.0, positive
