@relation glass-0-1-2-3_vs_4-5-6
@attribute RI real [1.51115, 1.53393]
@attribute Na real [10.73, 17.38]
@attribute Mg real [0.0, 4.49]
@attribute Al real [0.29, 3.5]
@attribute Si real [69.81, 75.41]
@attribute K real [0.0, 6.21]
@attribute Ca real [5.43, 16.19]
@attribute Ba real [0.0, 3.15]
@attribute Fe real [0.0, 0.51]
@attribute Class {positive, negative}
@inputs RI, Na, Mg, Al, Si, K, Ca, Ba, Fe
@outputs Class
@data
1.52222108, 13.21045, 3.7716, 0.79076, 71.9884, 0.13041, 10.2452, 0.0, 0.0, negative
1.52099096, 13.68925, 3.592, 1.12139, 71.9604, 0.08694, 9.40044, 0.0, 0.0, negative
1.51898632, 13.58285, 3.34954, 1.23053, 72.078, 0.58995, 8.90548, 0.0, 0.0, negative
1.52210718, 13.72915, 3.83895, 0.72014, 71.7588, 0.16767, 9.74476, 0.0, 0.0, negative
1.51750562, 12.81145, 3.56955, 1.3493, 73.0188, 0.621, 8.59344, 0.0, 0.0, negative
1.5215149, 13.05085, 3.65037, 0.87101, 72.218, 0.19251, 9.85236, 0.0, 0.0867, negative
1.5177562, 12.85135, 3.47975, 1.23053, 72.9684, 0.60858, 8.56116, 0.09135, 0.1122, negative
1.51777898, 13.21045, 3.38995, 1.33004, 72.7612, 0.58995, 8.59344, 0.0, 0.0, negative
1.52171992, 13.5097, 3.8614, 0.88064, 71.7924, 0.22977, 9.54032, 0.0, 0.0561, negative
1.51750562, 12.8181, 3.55159, 1.49054, 72.75, 0.54027, 8.51812, 0.0, 0.0969, negative
1.51761952, 12.61195, 3.592, 1.31078, 73.2876, 0.57753, 8.4966, 0.0, 0.0, negative
1.51768786, 12.65185, 3.56057, 1.30115, 73.0804, 0.60858, 8.69028, 0.0, 0.0714, negative
1.51566044, 13.29025, 3.44832, 1.21127, 72.7388, 0.5589, 8.57192, 0.0, 0.0, negative
1.51818902, 13.7225, 0.0, 0.55964, 74.4524, 0.0, 10.99292, 0.0, 0.0, negative
1.51629828, 12.7117, 3.33158, 1.49054, 73.282, 0.67068, 8.23836, 0.0, 0.0, negative
1.52725546, 13.8023, 3.15198, 0.65915, 70.5716, 0.08073, 11.63852, 0.0, 0.0, negative
1.51645774, 13.4432, 3.60996, 1.53869, 72.3916, 0.65826, 8.03392, 0.0, 0.0, negative
1.51743728, 12.19965, 3.25076, 1.15991, 73.5508, 0.621, 8.89472, 0.0, 0.1224, negative
1.52474966, 11.4482, 0.0, 1.87895, 72.19, 0.8073, 13.24176, 0.0, 0.1734, negative
1.51839404, 12.85135, 3.66833, 1.24016, 72.5708, 0.621, 8.67952, 0.0, 0.1785, negative
1.5159338, 13.09075, 3.52016, 1.55153, 72.8676, 0.6831, 8.04468, 0.0, 0.459, negative
1.51613882, 13.922, 3.52016, 1.24979, 72.8788, 0.3726, 7.93708, 0.0, 0.0714, negative
1.51591102, 12.858, 3.52016, 2.1197, 72.6604, 0.68931, 7.96936, 0.0, 0.0, negative
1.51632106, 13.3368, 3.56955, 1.57079, 72.8676, 0.60858, 7.89404, 0.0, 0.0, negative
1.52739214, 11.0226, 0.0, 0.74903, 73.0804, 0.0, 14.96336, 0.0, 0.0, negative
1.51859906, 13.35675, 3.43036, 1.42955, 72.2628, 0.50922, 8.6042, 0.0, 0.0, negative
1.5173006, 12.3526, 2.72094, 1.62857, 72.8676, 0.70173, 9.22828, 0.0, 0.0, negative
1.51805234, 12.99765, 3.79854, 1.07966, 73.0692, 0.5589, 8.37824, 0.0, 0.0612, negative
1.5277794, 12.63855, 0.0, 0.66878, 72.022, 0.0621, 14.40384, 0.0, 0.0, negative
1.52067204, 13.5496, 2.08785, 1.6703, 72.1788, 0.52785, 9.5726, 0.2709, 0.0867, negative
1.5167311, 12.7915, 3.52016, 1.53869, 73.3604, 0.65826, 7.9048, 0.0, 0.0, negative
1.51645774, 13.03755, 3.39893, 1.25942, 73.0076, 0.52164, 8.58268, 0.0, 0.0, negative
1.51643496, 12.15975, 3.52016, 1.3493, 72.89, 0.57132, 8.52888, 0.0, 0.0, negative
1.5196925, 12.63855, 0.0, 1.65104, 73.7524, 0.37881, 11.53092, 0.0, 0.0, positive
1.5151365, 14.00845, 2.68053, 3.5, 69.8884, 1.68291, 5.87116, 2.1987, 0.0, positive
1.52119598, 12.97105, 0.32777, 1.5098, 73.3884, 0.13041, 11.27268, 0.0, 0.1428, positive
1.51666276, 12.858, 0.0, 1.8308, 73.8812, 0.96876, 10.17516, 0.0, 0.0, positive
1.51994308, 13.2703, 0.0, 1.76018, 73.03, 0.47196, 11.31572, 0.0, 0.0, positive
1.51853072, 14.08825, 2.19112, 1.66067, 72.6716, 0.0, 9.32512, 0.0, 0.0, positive
1.52064926, 14.3609, 0.0, 2.02019, 73.422, 0.0, 8.4428, 1.64115, 0.0, positive
1.51556932, 13.8688, 0.0, 2.54021, 73.2316, 0.14283, 9.4112, 0.80955, 0.0051, positive
1.51602492, 14.853, 0.0, 2.37971, 73.282, 0.0, 8.75484, 0.63945, 0.459, positive
1.51837126, 14.321, 3.25974, 2.21921, 71.2492, 1.45935, 5.78508, 1.62855, 0.0, positive
