@relation vehicle
@attribute Compactness integer [73, 119]
@attribute Circularity integer [33, 59]
@attribute Distance_circularity integer [40, 112]
@attribute Radius_ratio integer [104, 333]
@attribute Praxis_aspect_ratio integer [47, 138]
@attribute Max_length_aspect_ratio integer [2, 55]
@attribute Scatter_ratio integer [112, 265]
@attribute Elongatedness integer [26, 61]
@attribute Praxis_rectangular integer [17, 29]
@attribute Length_rectangular integer [118, 188]
@attribute Major_variance integer [130, 320]
@attribute Minor_variance integer [184, 1018]
@attribute Gyration_radius integer [109, 268]
@attribute Major_skewness integer [59, 135]
@attribute Minor_skewness integer [0, 22]
@attribute Minor_kurtosis integer [0, 41]
@attribute Major_kurtosis integer [176, 206]
@attribute Hollows_ratio integer [181, 211]
@attribute Class {van, saab, bus, opel}
@inputs Compactness, Circularity, Distance_circularity, Radius_ratio, Praxis_aspect_ratio, Max_length_aspect_ratio, Scatter_ratio, Elongatedness, Praxis_rectangular, Length_rectangular, Major_variance, Minor_variance, Gyration_radius, Major_skewness, Minor_skewness, Minor_kurtosis, Major_kurtosis, Hollows_ratio
@outputs Class
@data
104, 54, 100, 186, 61, 10, 216, 31, 24, 173, 225, 686, 220, 74, 5, 11, 185, 195, saab
93, 37, 76, 183, 63, 8, 164, 40, 20, 134, 191, 405, 139, 67, 4, 7, 192, 197, saab
78, 38, 63, 115, 51, 6, 142, 47, 19, 130, 162, 299, 146, 77, 2, 4, 181, 185, saab
98, 55, 101, 228, 70, 9, 210, 31, 24, 168, 236, 661, 245, 72, 1, 6, 188, 197, opel
103, 50, 98, 212, 63, 9, 193, 34, 22, 161, 214, 567, 185, 64, 5, 5, 198, 204, opel
89, 41, 75, 143, 56, 7, 146, 46, 19, 137, 170, 317, 156, 76, 18, 5, 184, 188, opel
86, 44, 78, 164, 68, 9, 142, 46, 18, 147, 168, 305, 171, 70, 1, 11, 190, 201, van
79, 40, 80, 133, 55, 7, 147, 47, 19, 135, 172, 311, 144, 76, 8, 30, 181, 193, opel
80, 37, 57, 116, 55, 6, 125, 54, 18, 125, 142, 229, 132, 81, 8, 5, 178, 184, opel
90, 46, 80, 143, 62, 11, 159, 43, 20, 156, 169, 366, 186, 74, 17, 7, 185, 193, van
80, 43, 68, 120, 54, 8, 150, 45, 19, 145, 171, 329, 176, 85, 4, 8, 179, 183, bus
89, 40, 79, 154, 64, 9, 144, 46, 19, 139, 168, 311, 149, 71, 8, 7, 188, 197, van
82, 45, 68, 139, 64, 6, 147, 46, 19, 143, 169, 320, 184, 80, 0, 1, 181, 184, bus
93, 37, 73, 174, 68, 7, 151, 43, 19, 131, 175, 347, 135, 68, 1, 22, 196, 205, bus
91, 42, 66, 169, 66, 7, 145, 44, 19, 140, 169, 325, 159, 67, 4, 0, 201, 207, bus
107, 55, 98, 199, 59, 7, 240, 27, 26, 168, 258, 866, 245, 80, 3, 1, 186, 184, bus
92, 46, 79, 176, 64, 8, 162, 41, 20, 149, 183, 396, 178, 67, 2, 10, 191, 198, opel
85, 42, 64, 121, 55, 7, 149, 46, 19, 146, 167, 323, 172, 85, 1, 6, 179, 182, bus
89, 36, 72, 141, 56, 7, 138, 48, 18, 126, 163, 286, 130, 72, 1, 1, 187, 192, opel
105, 54, 106, 215, 68, 10, 208, 32, 24, 166, 217, 640, 218, 69, 14, 23, 189, 199, saab
81, 44, 68, 120, 53, 6, 151, 45, 19, 147, 170, 333, 178, 86, 4, 5, 179, 183, bus
100, 52, 104, 189, 59, 10, 208, 32, 24, 163, 220, 642, 197, 70, 1, 22, 187, 198, saab
93, 42, 64, 158, 68, 9, 134, 49, 18, 142, 163, 268, 170, 71, 7, 13, 192, 201, van
96, 37, 74, 199, 74, 5, 165, 39, 20, 128, 188, 419, 136, 72, 1, 3, 196, 200, bus
85, 45, 65, 128, 56, 8, 151, 45, 19, 145, 170, 332, 186, 81, 1, 10, 179, 184, bus
93, 41, 75, 124, 51, 7, 140, 49, 18, 141, 164, 284, 149, 77, 5, 15, 184, 185, van
103, 55, 103, 211, 65, 11, 212, 31, 24, 165, 229, 673, 249, 72, 5, 16, 188, 196, opel
94, 43, 68, 170, 67, 6, 142, 46, 18, 142, 164, 310, 177, 65, 10, 8, 198, 203, bus
86, 39, 60, 140, 60, 7, 119, 55, 17, 134, 140, 212, 141, 61, 7, 8, 200, 207, van
