@relation vehicle
@attribute Compactness integer [73, 119]
@attribute Circularity integer [33, 59]
@attribute Distance_circularity integer [40, 112]
@attribute Radius_ratio integer [104, 333]
@attribute Praxis_aspect_ratio integer [47, 138]
@attribute Max_length_aspect_ratio integer [2, 55]
@attribute Scatter_ratio integer [112, 265]
@attribute Elongatedness integer [26, 61]
@attribute Praxis_rectangular integer [17, 29]
@attribute Length_rectangular integer [118, 188]
@attribute Major_variance integer [130, 320]
@attribute Minor_variance integer [184, 1018]
@attribute Gyration_radius integer [109, 268]
@attribute Major_skewness integer [59, 135]
@attribute Minor_skewness integer [0, 22]
@attribute Minor_kurtosis integer [0, 41]
@attribute Major_kurtosis integer [176, 206]
@attribute Hollows_ratio integer [181, 211]
@attribute Class {van, saab, bus, opel}
@inputs Compactness, Circularity, Distance_circularity, Radius_ratio, Praxis_aspect_ratio, Max_length_aspect_ratio, Scatter_ratio, Elongatedness, Praxis_rectangular, Length_rectangular, Major_variance, Minor_variance, Gyration_radius, Major_skewness, Minor_skewness, Minor_kurtosis, Major_kurtosis, Hollows_ratio
@outputs Class
@data
91, 41, 84, 141, 57, 9, 149, 45, 19, 143, 170, 330, 158, 72, 9, 14, 189, 199, van
86, 36, 70, 143, 61, 9, 133, 50, 18, 130, 153, 266, 127, 66, 2, 10, 194, 202, van
87, 39, 70, 148, 61, 7, 143, 46, 18, 136, 164, 307, 141, 69, 1, 2, 192, 199, bus
99, 53, 105, 219, 66, 11, 204, 32, 23, 165, 221, 623, 224, 68, 0, 6, 191, 201, saab
92, 38, 71, 174, 66, 7, 154, 43, 19, 133, 181, 355, 130, 70, 4, 24, 189, 195, saab
97, 44, 96, 195, 63, 9, 185, 36, 22, 144, 202, 512, 165, 66, 4, 8, 191, 199, saab
77, 38, 63, 135, 59, 5, 130, 52, 18, 130, 145, 247, 139, 79, 13, 21, 183, 187, opel
93, 45, 86, 201, 69, 7, 184, 35, 22, 145, 203, 523, 183, 72, 0, 4, 194, 197, bus
89, 40, 76, 188, 76, 7, 150, 44, 19, 136, 174, 342, 148, 72, 3, 8, 193, 197, bus
89, 41, 84, 141, 58, 9, 149, 45, 19, 145, 172, 330, 162, 72, 4, 18, 188, 200, van
97, 50, 108, 211, 65, 10, 214, 31, 24, 156, 232, 683, 218, 72, 7, 29, 188, 197, opel
89, 42, 80, 151, 62, 6, 144, 46, 19, 139, 166, 308, 170, 74, 17, 13, 185, 189, saab
95, 42, 85, 174, 66, 9, 153, 44, 19, 144, 168, 347, 150, 65, 11, 5, 196, 204, van
94, 42, 68, 150, 64, 7, 128, 52, 18, 143, 154, 246, 159, 69, 14, 5, 192, 196, van
80, 44, 68, 135, 59, 8, 150, 45, 19, 145, 170, 329, 173, 80, 7, 12, 180, 185, bus
89, 40, 77, 159, 65, 9, 144, 46, 19, 141, 168, 314, 143, 70, 0, 5, 190, 200, van
88, 35, 50, 121, 58, 5, 114, 59, 17, 122, 132, 192, 138, 74, 21, 4, 182, 187, opel
95, 47, 88, 162, 64, 11, 159, 43, 20, 157, 176, 371, 185, 71, 12, 13, 189, 198, van
90, 48, 78, 142, 59, 11, 160, 43, 20, 160, 173, 370, 185, 76, 10, 11, 183, 192, van
90, 36, 57, 130, 57, 6, 121, 56, 17, 127, 137, 216, 132, 68, 22, 23, 190, 195, saab
86, 36, 77, 165, 60, 7, 150, 45, 19, 128, 174, 331, 131, 66, 0, 32, 196, 203, saab
91, 40, 76, 171, 67, 7, 149, 44, 19, 135, 169, 332, 144, 68, 4, 17, 192, 200, bus
90, 43, 72, 172, 59, 8, 154, 42, 19, 144, 174, 360, 158, 61, 15, 9, 203, 209, saab
85, 36, 78, 149, 55, 7, 147, 45, 19, 128, 168, 321, 134, 64, 10, 24, 197, 203, opel
108, 51, 103, 197, 60, 11, 211, 31, 24, 160, 222, 661, 187, 67, 7, 3, 190, 200, opel
106, 54, 103, 161, 47, 4, 247, 27, 27, 166, 266, 892, 242, 85, 4, 11, 181, 183, bus
78, 36, 60, 116, 56, 6, 123, 55, 17, 124, 141, 221, 121, 78, 3, 16, 178, 185, opel
103, 46, 106, 209, 66, 10, 203, 33, 23, 149, 217, 612, 210, 70, 9, 10, 191, 199, saab
111, 54, 103, 171, 50, 11, 221, 30, 25, 172, 227, 727, 201, 69, 15, 6, 190, 198, opel
103, 55, 100, 194, 62, 11, 212, 31, 24, 175, 217, 666, 219, 73, 10, 14, 187, 194, opel
87, 47, 81, 149, 62, 9, 147, 45, 19, 152, 171, 325, 181, 72, 0, 6, 188, 198, van
100, 50, 81, 197, 67, 6, 186, 34, 22, 158, 206, 531, 198, 74, 6, 1, 197, 198, bus
86, 41, 66, 133, 56, 6, 136, 49, 18, 136, 155, 274, 162, 74, 5, 14, 183, 189, saab
107, 54, 98, 210, 66, 11, 218, 31, 24, 169, 221, 704, 216, 71, 14, 0, 188, 197, saab
85, 35, 47, 110, 55, 3, 117, 57, 17, 122, 136, 203, 139, 89, 5, 9, 180, 184, van
93, 45, 73, 164, 59, 7, 159, 42, 20, 146, 182, 379, 188, 65, 11, 15, 195, 201, opel
104, 58, 103, 230, 69, 11, 219, 30, 25, 176, 231, 716, 246, 71, 7, 4, 187, 196, opel
84, 44, 80, 140, 58, 11, 156, 44, 20, 157, 166, 349, 176, 74, 5, 17, 183, 193, van
112, 50, 110, 186, 56, 11, 214, 31, 24, 159, 232, 676, 203, 71, 18, 27, 191, 202, saab
100, 44, 93, 193, 62, 8, 186, 35, 22, 147, 202, 521, 151, 66, 0, 2, 193, 198, opel
91, 40, 98, 192, 64, 9, 177, 38, 21, 135, 194, 465, 165, 66, 9, 35, 195, 205, saab
90, 42, 63, 126, 55, 7, 152, 45, 19, 142, 173, 336, 173, 81, 0, 15, 180, 184, bus
95, 45, 105, 208, 64, 10, 187, 36, 22, 150, 202, 520, 158, 64, 7, 32, 198, 211, saab
99, 55, 101, 219, 68, 10, 224, 30, 25, 178, 228, 737, 213, 74, 11, 20, 187, 196, opel
81, 47, 69, 146, 64, 6, 151, 44, 19, 147, 171, 340, 195, 75, 5, 0, 183, 188, bus
93, 42, 88, 188, 62, 10, 183, 36, 21, 141, 208, 504, 168, 70, 3, 12, 189, 197, opel
96, 47, 77, 204, 72, 6, 167, 38, 20, 150, 188, 429, 182, 69, 6, 16, 199, 203, bus
87, 43, 70, 169, 72, 7, 152, 44, 19, 145, 177, 341, 171, 76, 6, 12, 184, 187, bus
104, 53, 108, 206, 61, 11, 217, 31, 24, 168, 226, 694, 209, 67, 0, 9, 188, 201, saab
101, 53, 91, 194, 65, 6, 204, 32, 23, 161, 231, 636, 214, 78, 5, 14, 192, 192, bus
92, 43, 70, 124, 52, 6, 139, 49, 18, 144, 164, 282, 172, 79, 4, 16, 183, 185, van
90, 41, 62, 147, 60, 6, 128, 52, 18, 141, 149, 246, 157, 61, 13, 4, 201, 208, van
107, 56, 105, 202, 61, 11, 221, 30, 25, 179, 234, 725, 212, 72, 15, 1, 189, 196, opel
83, 46, 71, 156, 70, 6, 151, 44, 19, 147, 174, 338, 198, 80, 3, 11, 181, 186, bus
82, 39, 86, 140, 54, 7, 153, 45, 19, 134, 174, 338, 139, 71, 11, 18, 183, 189, opel
102, 51, 108, 193, 57, 10, 212, 31, 24, 162, 219, 663, 184, 66, 7, 21, 191, 201, opel
105, 54, 96, 185, 57, 10, 219, 30, 25, 170, 231, 706, 217, 75, 5, 12, 187, 195, opel
107, 55, 103, 167, 49, 7, 252, 27, 28, 172, 269, 904, 239, 83, 5, 30, 179, 186, bus
86, 40, 66, 139, 59, 7, 122, 54, 17, 139, 145, 225, 143, 63, 7, 11, 202, 208, van
88, 44, 84, 135, 55, 12, 155, 44, 20, 158, 176, 351, 164, 75, 7, 11, 183, 195, van
86, 40, 66, 138, 59, 4, 137, 49, 18, 133, 162, 279, 151, 74, 6, 14, 186, 190, saab
89, 36, 68, 141, 59, 8, 139, 47, 18, 130, 166, 291, 127, 73, 7, 1, 189, 196, van
88, 40, 79, 183, 62, 7, 176, 38, 21, 138, 200, 462, 150, 66, 0, 29, 189, 199, opel
108, 56, 103, 234, 73, 10, 221, 30, 25, 174, 232, 718, 214, 73, 8, 3, 187, 197, saab
106, 52, 108, 207, 64, 12, 221, 31, 25, 168, 229, 709, 200, 73, 22, 38, 190, 205, saab
86, 44, 77, 155, 60, 7, 152, 44, 19, 141, 174, 345, 161, 72, 9, 0, 187, 192, opel
85, 38, 75, 132, 54, 7, 147, 46, 19, 131, 171, 318, 145, 75, 7, 25, 183, 188, saab
84, 42, 76, 156, 64, 7, 151, 44, 19, 143, 179, 339, 157, 75, 0, 20, 187, 193, bus
100, 58, 109, 230, 70, 11, 226, 30, 25, 182, 234, 752, 207, 72, 0, 13, 187, 198, opel
105, 51, 80, 207, 71, 6, 195, 33, 22, 159, 214, 579, 188, 75, 6, 20, 194, 194, bus
86, 45, 70, 122, 56, 7, 148, 45, 19, 144, 170, 324, 186, 84, 9, 5, 180, 183, bus
106, 57, 107, 235, 67, 6, 262, 26, 28, 171, 285, 987, 260, 86, 9, 31, 180, 184, bus
83, 42, 71, 152, 64, 7, 149, 45, 19, 142, 172, 331, 158, 74, 2, 2, 184, 190, bus
95, 42, 96, 197, 65, 9, 178, 37, 21, 141, 199, 474, 149, 67, 1, 29, 193, 200, opel
94, 45, 85, 163, 68, 10, 157, 44, 20, 156, 170, 357, 176, 73, 17, 11, 187, 195, van
102, 51, 104, 217, 67, 10, 204, 32, 23, 162, 220, 621, 195, 68, 3, 19, 188, 197, saab
91, 43, 72, 142, 56, 7, 149, 45, 19, 140, 168, 327, 165, 72, 13, 23, 186, 191, saab
96, 45, 101, 201, 66, 9, 192, 34, 22, 143, 218, 552, 195, 73, 3, 19, 189, 197, saab
85, 43, 66, 123, 56, 6, 148, 46, 19, 145, 166, 319, 171, 85, 6, 11, 179, 182, bus
90, 39, 85, 160, 59, 7, 163, 41, 20, 131, 189, 396, 158, 71, 7, 13, 186, 192, saab
86, 43, 68, 150, 64, 9, 138, 48, 18, 143, 161, 285, 174, 69, 6, 0, 192, 201, van
83, 40, 53, 114, 53, 6, 132, 53, 18, 140, 142, 247, 157, 86, 8, 7, 176, 183, van
85, 43, 66, 123, 55, 7, 150, 45, 19, 146, 172, 326, 173, 83, 4, 15, 180, 183, bus
97, 37, 70, 173, 66, 7, 151, 43, 19, 129, 167, 346, 119, 65, 0, 16, 201, 208, bus
